,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Sarunas Jasikevicius,32.0,3,10,1,5,7,8,1,7,6,1,0,4,2,14,lithuania,2004-08-15,angola,200408150,Group B,20040,mens-olympics
1,Arvydas Macijauskas,29.0,3,7,2,5,2,3,2,6,2,1,0,3,3,10,lithuania,2004-08-15,angola,200408150,Group B,20040,mens-olympics
2,Saulius Stombergas,28.0,2,10,1,5,3,4,0,2,2,1,0,3,1,8,lithuania,2004-08-15,angola,200408150,Group B,20040,mens-olympics
3,Eurelijus Zukauskas,26.0,5,8,0,0,5,10,5,11,1,0,1,2,4,15,lithuania,2004-08-15,angola,200408150,Group B,20040,mens-olympics
4,Ksistof Lavrinovic,23.0,5,8,2,3,3,6,4,9,0,1,1,1,1,15,lithuania,2004-08-15,angola,200408150,Group B,20040,mens-olympics
5,Ramunas Siskauskas,22.0,0,3,0,1,7,12,3,3,0,0,0,0,1,7,lithuania,2004-08-15,angola,200408150,Group B,20040,mens-olympics
6,Darius Songaila,18.0,2,3,0,0,3,3,0,4,1,1,1,2,5,7,lithuania,2004-08-15,angola,200408150,Group B,20040,mens-olympics
7,Mindaugas Zukauskas,11.0,0,0,0,0,1,2,1,1,0,0,0,1,1,1,lithuania,2004-08-15,angola,200408150,Group B,20040,mens-olympics
8,Vidas Ginevicius,8.0,0,1,0,1,0,0,1,2,0,0,0,0,2,0,lithuania,2004-08-15,angola,200408150,Group B,20040,mens-olympics
9,Dainius Salenga,3.0,0,0,0,0,1,2,1,2,0,0,0,0,0,1,lithuania,2004-08-15,angola,200408150,Group B,20040,mens-olympics
10,Totals,,20,50,6,20,32,50,18,47,12,5,3,16,20,78,lithuania,2004-08-15,angola,200408150,Group B,20040,mens-olympics
0,Miguel Lutonda,30.0,6,13,3,8,2,4,0,4,6,1,0,1,4,17,angola,2004-08-15,lithuania,200408150,Group B,20040,mens-olympics
1,Edmar Victoriano,29.0,3,11,3,8,0,0,0,1,0,1,0,2,5,9,angola,2004-08-15,lithuania,200408150,Group B,20040,mens-olympics
2,Victor de Carvalho,24.0,3,6,3,5,0,0,0,3,3,0,0,1,3,9,angola,2004-08-15,lithuania,200408150,Group B,20040,mens-olympics
3,Abdel Moussa,22.0,1,5,0,0,0,0,1,3,0,0,1,3,4,2,angola,2004-08-15,lithuania,200408150,Group B,20040,mens-olympics
4,Victor Muzadi,21.0,4,8,1,1,0,0,0,2,1,2,1,0,4,9,angola,2004-08-15,lithuania,200408150,Group B,20040,mens-olympics
5,Angelo Victoriano,18.0,3,8,2,2,0,0,0,3,0,0,0,0,4,8,angola,2004-08-15,lithuania,200408150,Group B,20040,mens-olympics
6,Carlos Almeida,18.0,1,3,1,3,1,2,0,2,1,0,0,0,2,4,angola,2004-08-15,lithuania,200408150,Group B,20040,mens-olympics
7,Joaquim Gomes,15.0,5,7,2,2,2,4,3,3,0,1,1,2,4,14,angola,2004-08-15,lithuania,200408150,Group B,20040,mens-olympics
8,Walter Costa,11.0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,angola,2004-08-15,lithuania,200408150,Group B,20040,mens-olympics
9,Valter Monteiro,9.0,0,1,0,0,1,2,0,0,0,0,0,1,3,1,angola,2004-08-15,lithuania,200408150,Group B,20040,mens-olympics
10,Eduardo Mingas,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,angola,2004-08-15,lithuania,200408150,Group B,20040,mens-olympics
11,Totals,,26,63,15,29,6,12,4,21,12,5,3,11,37,73,angola,2004-08-15,lithuania,200408150,Group B,20040,mens-olympics
