,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Sean Marks,34.0,3,10,0,1,7,10,1,9,2,0,2,2,3,13,new zealand,2004-08-15,italy,200408154,Group A,20044
1,Mark Dickel,34.0,2,5,1,4,5,6,1,7,4,0,0,2,3,10,new zealand,2004-08-15,italy,200408154,Group A,20044
2,Phill Jones,33.0,7,17,1,5,0,0,2,7,1,0,0,3,3,15,new zealand,2004-08-15,italy,200408154,Group A,20044
3,Pero Cameron,33.0,3,11,2,8,0,0,1,5,5,1,0,2,3,8,new zealand,2004-08-15,italy,200408154,Group A,20044
4,Kirk Penney,24.0,7,12,5,9,1,1,0,0,0,0,0,1,2,20,new zealand,2004-08-15,italy,200408154,Group A,20044
5,Dillon Boucher,19.0,1,1,0,0,1,2,0,7,3,1,0,2,2,3,new zealand,2004-08-15,italy,200408154,Group A,20044
6,Ed Book,7.0,0,2,0,1,0,0,1,1,0,0,0,1,2,0,new zealand,2004-08-15,italy,200408154,Group A,20044
7,Paul Henare,6.0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,new zealand,2004-08-15,italy,200408154,Group A,20044
8,Aaron Olson,5.0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,new zealand,2004-08-15,italy,200408154,Group A,20044
9,Tony Rampton,5.0,0,2,0,0,0,0,1,2,0,0,0,1,1,0,new zealand,2004-08-15,italy,200408154,Group A,20044
10,Totals,,23,63,9,29,14,19,7,39,15,2,2,14,21,69,new zealand,2004-08-15,italy,200408154,Group A,20044
0,Gianluca Basile,30.0,6,18,4,13,0,0,1,2,1,0,0,0,2,16,italy,2004-08-15,new zealand,200408154,Group A,20044
1,Massimo Bulleri,27.0,4,7,2,2,2,5,0,3,1,1,0,2,1,12,italy,2004-08-15,new zealand,200408154,Group A,20044
2,Giacomo Galanda,24.0,5,11,2,5,3,4,1,6,0,2,0,1,5,15,italy,2004-08-15,new zealand,200408154,Group A,20044
3,Matteo Soragna,22.0,1,4,0,2,0,0,1,2,1,1,0,2,1,2,italy,2004-08-15,new zealand,200408154,Group A,20044
4,Denis Marconato,20.0,1,1,0,0,2,4,0,5,1,0,0,1,3,4,italy,2004-08-15,new zealand,200408154,Group A,20044
5,Roberto Chiacig,18.0,3,5,0,0,1,2,3,9,0,0,0,3,3,7,italy,2004-08-15,new zealand,200408154,Group A,20044
6,Michele Mian,16.0,0,4,0,2,2,2,0,1,1,0,0,0,1,2,italy,2004-08-15,new zealand,200408154,Group A,20044
7,Gianmarco Pozzecco,15.0,0,3,0,1,1,2,0,3,7,1,0,1,3,1,italy,2004-08-15,new zealand,200408154,Group A,20044
8,Luca Garri,13.0,4,7,1,2,0,0,0,0,1,0,0,0,4,9,italy,2004-08-15,new zealand,200408154,Group A,20044
9,Nikola Radulovic,11.0,1,2,1,2,0,0,0,0,1,0,0,0,0,3,italy,2004-08-15,new zealand,200408154,Group A,20044
10,Alex Righetti,4.0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,italy,2004-08-15,new zealand,200408154,Group A,20044
11,Totals,,25,64,10,31,11,19,6,31,14,5,0,10,24,71,italy,2004-08-15,new zealand,200408154,Group A,20044
