,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Yao Ming,26.0,6,13,0,0,3,4,2,7,1,0,0,3,3,15,china,2004-08-19,argentina,2004081913,Group A,200413,mens-olympics
1,Wei Liu,25.0,5,7,0,2,0,1,1,3,2,0,0,5,3,10,china,2004-08-19,argentina,2004081913,Group A,200413,mens-olympics
2,Mo Ke,23.0,3,3,1,1,0,2,0,2,1,1,0,1,1,7,china,2004-08-19,argentina,2004081913,Group A,200413,mens-olympics
3,Zhu Fangyu,19.0,2,8,2,5,0,0,1,2,0,0,0,3,2,6,china,2004-08-19,argentina,2004081913,Group A,200413,mens-olympics
4,Du Feng,19.0,0,1,0,1,0,0,1,2,1,0,0,1,0,0,china,2004-08-19,argentina,2004081913,Group A,200413,mens-olympics
5,Li Nan,18.0,1,7,0,6,4,4,1,2,0,0,0,1,3,6,china,2004-08-19,argentina,2004081913,Group A,200413,mens-olympics
6,Yi Jianlian,15.0,1,3,0,0,2,4,1,6,0,0,0,2,3,4,china,2004-08-19,argentina,2004081913,Group A,200413,mens-olympics
7,Chen Ke,15.0,1,7,1,5,0,0,1,1,1,0,0,2,2,3,china,2004-08-19,argentina,2004081913,Group A,200413,mens-olympics
8,Bateer Mengke,14.0,0,0,0,0,0,0,1,2,1,0,1,1,1,0,china,2004-08-19,argentina,2004081913,Group A,200413,mens-olympics
9,Zhang Jinsong,11.0,1,6,1,4,1,2,0,1,0,1,0,3,1,4,china,2004-08-19,argentina,2004081913,Group A,200413,mens-olympics
10,Guo Shiqiang,11.0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,china,2004-08-19,argentina,2004081913,Group A,200413,mens-olympics
11,Zhang Yunsong,5.0,1,2,0,0,0,0,1,1,0,0,0,0,0,2,china,2004-08-19,argentina,2004081913,Group A,200413,mens-olympics
12,Totals,,21,57,5,24,10,17,10,30,8,2,1,23,20,57,china,2004-08-19,argentina,2004081913,Group A,200413,mens-olympics
0,Fabricio Oberto,26.0,3,4,0,0,0,0,3,5,2,0,0,1,2,6,argentina,2004-08-19,china,2004081913,Group A,200413,mens-olympics
1,Manu Ginobili,22.0,6,8,2,4,0,0,0,5,2,2,0,1,0,14,argentina,2004-08-19,china,2004081913,Group A,200413,mens-olympics
2,Andres Nocioni,21.0,6,12,2,6,3,3,2,6,1,0,0,3,2,17,argentina,2004-08-19,china,2004081913,Group A,200413,mens-olympics
3,Luis Scola,21.0,6,7,0,0,3,4,1,4,4,2,0,1,4,15,argentina,2004-08-19,china,2004081913,Group A,200413,mens-olympics
4,Carlos Delfino,20.0,2,10,0,4,2,4,1,6,0,0,0,2,2,6,argentina,2004-08-19,china,2004081913,Group A,200413,mens-olympics
5,Alejandro Montecchia,20.0,1,4,1,4,0,0,0,2,2,1,0,1,2,3,argentina,2004-08-19,china,2004081913,Group A,200413,mens-olympics
6,Hugo Sconochini,20.0,1,3,1,3,0,0,0,2,4,2,1,2,4,3,argentina,2004-08-19,china,2004081913,Group A,200413,mens-olympics
7,Ruben Wolkowyski,18.0,3,8,0,4,0,2,1,2,2,0,0,2,2,6,argentina,2004-08-19,china,2004081913,Group A,200413,mens-olympics
8,Gabriel Fernandez,16.0,2,5,0,2,2,3,4,4,0,0,0,1,1,6,argentina,2004-08-19,china,2004081913,Group A,200413,mens-olympics
9,Walter Herrmann,12.0,2,7,0,2,0,0,2,3,0,0,0,0,0,4,argentina,2004-08-19,china,2004081913,Group A,200413,mens-olympics
10,Pepe Sanchez,5.0,1,2,0,0,0,0,0,2,0,2,0,0,0,2,argentina,2004-08-19,china,2004081913,Group A,200413,mens-olympics
11,Totals,,33,70,6,29,10,16,14,41,17,9,1,14,19,82,argentina,2004-08-19,china,2004081913,Group A,200413,mens-olympics
