,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Carlos Arroyo,37.0,6.0,15.0,1.0,1.0,3.0,4.0,0.0,1,6,1,0,4,2.0,16,puerto rico,2004-08-19,angola,2004081912,Group B,200412,mens-olympics
1,Eddie Casiano,29.0,6.0,13.0,3.0,5.0,0.0,0.0,0.0,6,1,0,0,2,3.0,15,puerto rico,2004-08-19,angola,2004081912,Group B,200412,mens-olympics
2,Rolando Hourruitiner,28.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,4,1,3,0,1,3.0,4,puerto rico,2004-08-19,angola,2004081912,Group B,200412,mens-olympics
3,Daniel Santiago,25.0,5.0,6.0,0.0,0.0,6.0,8.0,5.0,10,2,2,2,1,4.0,16,puerto rico,2004-08-19,angola,2004081912,Group B,200412,mens-olympics
4,Sharif Fajardo,25.0,3.0,9.0,0.0,0.0,3.0,6.0,2.0,9,0,0,0,0,0.0,9,puerto rico,2004-08-19,angola,2004081912,Group B,200412,mens-olympics
5,Larry Ayuso,24.0,3.0,8.0,2.0,6.0,9.0,10.0,0.0,4,2,1,0,3,2.0,17,puerto rico,2004-08-19,angola,2004081912,Group B,200412,mens-olympics
6,Piculin Ortiz,14.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,2,0,1,0,0,0.0,6,puerto rico,2004-08-19,angola,2004081912,Group B,200412,mens-olympics
7,Bobby Joe Hatton,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.0,0,puerto rico,2004-08-19,angola,2004081912,Group B,200412,mens-olympics
8,Christian Dalmau,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,2.0,0,puerto rico,2004-08-19,angola,2004081912,Group B,200412,mens-olympics
9,Jorge Rivera,,,,,,,,,2,0,0,0,0,,0,puerto rico,2004-08-19,angola,2004081912,Group B,200412,mens-olympics
10,Totals,,,,,,,,,39,12,8,2,12,,83,puerto rico,2004-08-19,angola,2004081912,Group B,200412,mens-olympics
0,Edmar Victoriano,30.0,4.0,13.0,2.0,8.0,2.0,4.0,0.0,2,2,0,0,4,3.0,12,angola,2004-08-19,puerto rico,2004081912,Group B,200412,mens-olympics
1,Joaquim Gomes,24.0,3.0,6.0,1.0,2.0,1.0,1.0,1.0,4,2,0,2,3,4.0,8,angola,2004-08-19,puerto rico,2004081912,Group B,200412,mens-olympics
2,Abdel Moussa,23.0,4.0,6.0,0.0,0.0,1.0,2.0,2.0,6,1,0,0,0,4.0,9,angola,2004-08-19,puerto rico,2004081912,Group B,200412,mens-olympics
3,Walter Costa,22.0,3.0,9.0,1.0,7.0,0.0,0.0,0.0,1,7,3,0,0,3.0,7,angola,2004-08-19,puerto rico,2004081912,Group B,200412,mens-olympics
4,Victor de Carvalho,21.0,5.0,6.0,4.0,5.0,0.0,0.0,0.0,3,0,0,0,0,1.0,14,angola,2004-08-19,puerto rico,2004081912,Group B,200412,mens-olympics
5,Valter Monteiro,20.0,2.0,7.0,2.0,6.0,0.0,0.0,0.0,1,0,2,1,1,1.0,6,angola,2004-08-19,puerto rico,2004081912,Group B,200412,mens-olympics
6,Miguel Lutonda,18.0,4.0,5.0,3.0,4.0,0.0,0.0,2.0,2,1,0,0,0,1.0,11,angola,2004-08-19,puerto rico,2004081912,Group B,200412,mens-olympics
7,Angelo Victoriano,16.0,3.0,7.0,2.0,5.0,1.0,1.0,0.0,2,1,1,0,0,3.0,9,angola,2004-08-19,puerto rico,2004081912,Group B,200412,mens-olympics
8,Victor Muzadi,15.0,1.0,5.0,0.0,2.0,0.0,0.0,2.0,4,1,1,0,1,4.0,2,angola,2004-08-19,puerto rico,2004081912,Group B,200412,mens-olympics
9,Carlos Almeida,7.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0,0,1,0,3,1.0,2,angola,2004-08-19,puerto rico,2004081912,Group B,200412,mens-olympics
10,Totals,,30.0,68.0,15.0,41.0,5.0,8.0,7.0,25,15,8,3,12,25.0,80,angola,2004-08-19,puerto rico,2004081912,Group B,200412,mens-olympics
