,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Milos Vujanic,37.0,7,15,5,12,2,2,0,3,1,2,0,4,4,21,serbia and montenegro,2004-08-19,new-zealand,2004081916,Group A,200416
1,Dejan Bodiroga,28.0,10,12,1,2,4,4,1,6,0,1,0,0,1,25,serbia and montenegro,2004-08-19,new-zealand,2004081916,Group A,200416
2,Igor Rakocevic,26.0,4,9,1,3,2,3,0,2,2,0,0,2,2,11,serbia and montenegro,2004-08-19,new-zealand,2004081916,Group A,200416
3,Vladimir Radmanovic,23.0,2,4,1,2,2,4,1,4,0,0,1,3,0,7,serbia and montenegro,2004-08-19,new-zealand,2004081916,Group A,200416
4,Dejan Tomasevic,21.0,3,5,0,0,1,1,3,4,1,1,0,4,4,7,serbia and montenegro,2004-08-19,new-zealand,2004081916,Group A,200416
5,Predrag Drobnjak,14.0,2,3,0,1,1,2,0,1,1,0,0,1,3,5,serbia and montenegro,2004-08-19,new-zealand,2004081916,Group A,200416
6,Sasha Pavlovic,12.0,2,2,0,0,0,0,0,2,1,1,0,2,5,4,serbia and montenegro,2004-08-19,new-zealand,2004081916,Group A,200416
7,Vule Avdalovic,12.0,0,2,0,2,2,2,0,2,1,0,0,0,4,2,serbia and montenegro,2004-08-19,new-zealand,2004081916,Group A,200416
8,Nenad Krstic,11.0,1,3,0,0,1,2,0,2,1,0,0,1,4,3,serbia and montenegro,2004-08-19,new-zealand,2004081916,Group A,200416
9,Djuro Ostojic,7.0,1,1,0,0,0,0,1,1,0,0,0,1,2,2,serbia and montenegro,2004-08-19,new-zealand,2004081916,Group A,200416
10,Vlado Scepanovic,5.0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,serbia and montenegro,2004-08-19,new-zealand,2004081916,Group A,200416
11,Petar Popovic,4.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,serbia and montenegro,2004-08-19,new-zealand,2004081916,Group A,200416
12,Totals,,32,58,8,23,15,20,6,27,8,5,1,21,29,87,serbia and montenegro,2004-08-19,new-zealand,2004081916,Group A,200416
0,Pero Cameron,33.0,5,7,3,4,1,2,0,3,3,1,0,2,3,14,new-zealand,2004-08-19,serbia and montenegro,2004081916,Group A,200416
1,Mark Dickel,30.0,4,7,0,2,4,6,2,4,6,2,0,2,2,12,new-zealand,2004-08-19,serbia and montenegro,2004081916,Group A,200416
2,Phill Jones,24.0,6,15,2,8,0,0,0,1,0,1,0,3,5,14,new-zealand,2004-08-19,serbia and montenegro,2004081916,Group A,200416
3,Sean Marks,23.0,4,6,1,2,1,2,0,5,0,1,1,1,4,10,new-zealand,2004-08-19,serbia and montenegro,2004081916,Group A,200416
4,Tony Rampton,22.0,1,7,0,1,4,8,1,2,1,1,0,0,3,6,new-zealand,2004-08-19,serbia and montenegro,2004081916,Group A,200416
5,Kirk Penney,21.0,6,6,2,2,1,2,0,1,1,3,0,1,2,15,new-zealand,2004-08-19,serbia and montenegro,2004081916,Group A,200416
6,Ed Book,21.0,5,8,3,4,0,0,2,3,0,0,0,1,2,13,new-zealand,2004-08-19,serbia and montenegro,2004081916,Group A,200416
7,Dillon Boucher,17.0,2,4,0,0,2,6,1,3,3,1,0,2,2,6,new-zealand,2004-08-19,serbia and montenegro,2004081916,Group A,200416
8,Paul Henare,9.0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,new-zealand,2004-08-19,serbia and montenegro,2004081916,Group A,200416
9,Totals,,33,62,11,24,13,26,6,22,14,10,1,12,25,90,new-zealand,2004-08-19,serbia and montenegro,2004081916,Group A,200416
