,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Tim Duncan,34.0,7,11,0,1,4,6,3,11,2,0,1,1,4,18,united states,2004-08-19,australia,2004081914,Group B,200414
1,Shawn Marion,27.0,8,10,0,2,0,0,1,8,0,0,1,1,1,16,united states,2004-08-19,australia,2004081914,Group B,200414
2,Stephon Marbury,27.0,0,4,0,3,1,2,0,1,5,0,0,1,3,1,united states,2004-08-19,australia,2004081914,Group B,200414
3,Allen Iverson,23.0,6,11,3,5,1,2,0,0,2,1,0,1,1,16,united states,2004-08-19,australia,2004081914,Group B,200414
4,Dwyane Wade,18.0,5,8,0,0,2,4,0,0,4,2,0,1,0,12,united states,2004-08-19,australia,2004081914,Group B,200414
5,LeBron James,18.0,4,8,0,2,0,0,0,1,5,0,0,1,1,8,united states,2004-08-19,australia,2004081914,Group B,200414
6,Richard Jefferson,16.0,1,3,0,1,0,0,1,4,2,0,0,1,2,2,united states,2004-08-19,australia,2004081914,Group B,200414
7,Lamar Odom,15.0,2,3,0,1,0,0,0,1,2,3,0,0,2,4,united states,2004-08-19,australia,2004081914,Group B,200414
8,Carlos Boozer,11.0,3,4,0,0,0,0,1,5,0,0,0,0,2,6,united states,2004-08-19,australia,2004081914,Group B,200414
9,Amare Stoudemire,7.0,3,4,0,0,0,1,2,3,1,1,0,0,2,6,united states,2004-08-19,australia,2004081914,Group B,200414
10,Carmelo Anthony,2.0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,united states,2004-08-19,australia,2004081914,Group B,200414
11,Emeka Okafor,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united states,2004-08-19,australia,2004081914,Group B,200414
12,Totals,,39,68,3,17,8,15,8,34,23,7,2,7,18,89,united states,2004-08-19,australia,2004081914,Group B,200414
0,Shane Heal,34.0,7,17,3,10,0,0,0,1,7,0,0,3,2,17,australia,2004-08-19,united states,2004081914,Group B,200414
1,Andrew Bogut,31.0,4,7,1,2,2,3,1,8,1,0,1,1,3,11,australia,2004-08-19,united states,2004081914,Group B,200414
2,Jason Smith,26.0,3,4,3,4,0,0,3,4,1,0,0,1,1,9,australia,2004-08-19,united states,2004081914,Group B,200414
3,David Andersen,25.0,3,5,0,0,2,2,0,8,0,0,0,2,1,8,australia,2004-08-19,united states,2004081914,Group B,200414
4,Glen Saville,24.0,2,4,1,2,0,2,0,2,0,0,0,0,2,5,australia,2004-08-19,united states,2004081914,Group B,200414
5,Matt Nielsen,22.0,5,10,0,0,2,4,0,2,3,0,1,4,5,12,australia,2004-08-19,united states,2004081914,Group B,200414
6,C.J. Bruton,21.0,3,6,1,1,1,2,0,0,2,0,0,2,3,8,australia,2004-08-19,united states,2004081914,Group B,200414
7,Brett Maher,15.0,3,7,3,7,0,0,0,3,1,1,0,0,0,9,australia,2004-08-19,united states,2004081914,Group B,200414
8,Tony Ronaldson,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,australia,2004-08-19,united states,2004081914,Group B,200414
9,Totals,,30,60,12,26,7,13,4,28,15,1,2,13,17,79,australia,2004-08-19,united states,2004081914,Group B,200414
