,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Dimos Dikoudis,22.0,7,12,0,0,1,1,5,8,0,2,0,2,2,15,greece,2004-08-21,angola,2004082118,Group B,200418,mens-olympics
1,Dimitris Diamantidis,22.0,3,9,1,5,0,1,2,4,3,2,0,3,4,7,greece,2004-08-21,angola,2004082118,Group B,200418,mens-olympics
2,Fragiskos Alvertis,18.0,4,6,3,3,2,3,0,3,0,0,0,1,1,13,greece,2004-08-21,angola,2004082118,Group B,200418,mens-olympics
3,Kostas Tsartsaris,18.0,5,8,0,0,3,3,2,5,1,0,0,1,3,13,greece,2004-08-21,angola,2004082118,Group B,200418,mens-olympics
4,Lazaros Papadopoulos,18.0,1,3,0,0,0,0,0,8,1,0,0,3,4,2,greece,2004-08-21,angola,2004082118,Group B,200418,mens-olympics
5,Theodoros Papaloukas,18.0,0,1,0,0,1,2,0,2,2,3,0,0,2,1,greece,2004-08-21,angola,2004082118,Group B,200418,mens-olympics
6,Nikos Hatzivrettas,17.0,4,6,1,3,1,1,1,1,0,0,0,1,0,10,greece,2004-08-21,angola,2004082118,Group B,200418,mens-olympics
7,Antonis Fotsis,16.0,3,5,1,1,3,3,2,5,0,1,1,0,0,10,greece,2004-08-21,angola,2004082118,Group B,200418,mens-olympics
8,Vassilis Spanoulis,16.0,2,4,1,2,0,0,0,1,2,0,0,1,2,5,greece,2004-08-21,angola,2004082118,Group B,200418,mens-olympics
9,Michalis Kakiouzis,15.0,3,6,2,2,2,2,1,3,0,0,0,1,2,10,greece,2004-08-21,angola,2004082118,Group B,200418,mens-olympics
10,Nikos Zisis,11.0,0,1,0,0,0,0,0,1,1,1,0,1,2,0,greece,2004-08-21,angola,2004082118,Group B,200418,mens-olympics
11,Dimitrios Papanikolaou,10.0,1,3,0,0,0,0,0,1,0,1,1,1,1,2,greece,2004-08-21,angola,2004082118,Group B,200418,mens-olympics
12,Totals,,33,64,9,16,13,16,13,42,10,10,2,15,23,88,greece,2004-08-21,angola,2004082118,Group B,200418,mens-olympics
0,Walter Costa,35.0,4,9,1,4,3,6,1,5,1,1,0,1,1,12,angola,2004-08-21,greece,2004082118,Group B,200418,mens-olympics
1,Valter Monteiro,34.0,2,9,2,6,0,0,1,4,1,2,1,2,4,6,angola,2004-08-21,greece,2004082118,Group B,200418,mens-olympics
2,Abdel Moussa,25.0,2,3,0,0,4,6,0,2,0,0,1,2,1,8,angola,2004-08-21,greece,2004082118,Group B,200418,mens-olympics
3,Edmar Victoriano,25.0,2,7,2,5,0,0,0,0,1,0,0,1,3,6,angola,2004-08-21,greece,2004082118,Group B,200418,mens-olympics
4,Angelo Victoriano,17.0,1,5,0,2,1,2,0,1,0,0,0,1,2,3,angola,2004-08-21,greece,2004082118,Group B,200418,mens-olympics
5,Joaquim Gomes,16.0,3,5,0,1,1,2,1,2,1,2,1,2,2,7,angola,2004-08-21,greece,2004082118,Group B,200418,mens-olympics
6,Victor Muzadi,16.0,2,6,1,2,1,1,3,4,1,1,0,3,2,6,angola,2004-08-21,greece,2004082118,Group B,200418,mens-olympics
7,Carlos Almeida,16.0,2,6,0,4,1,2,0,0,0,1,0,2,0,5,angola,2004-08-21,greece,2004082118,Group B,200418,mens-olympics
8,Olimpio Cipriano,11.0,1,3,0,0,1,2,1,2,0,1,0,1,2,3,angola,2004-08-21,greece,2004082118,Group B,200418,mens-olympics
9,Eduardo Mingas,5.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,angola,2004-08-21,greece,2004082118,Group B,200418,mens-olympics
10,Totals,,19,55,6,24,12,21,7,20,5,8,3,15,17,56,angola,2004-08-21,greece,2004082118,Group B,200418,mens-olympics
