,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Tim Duncan,32.0,6,7,0,0,4,5,5,12,1,0,2,2,3,16,united states,2004-08-21,lithuania,2004082122,Group B,200422
1,Stephon Marbury,32.0,2,14,1,7,3,4,0,1,3,1,0,0,2,8,united states,2004-08-21,lithuania,2004082122,Group B,200422
2,Lamar Odom,29.0,4,7,2,3,1,2,4,6,0,4,1,2,4,11,united states,2004-08-21,lithuania,2004082122,Group B,200422
3,Allen Iverson,26.0,4,12,1,3,2,4,0,0,2,2,0,2,2,11,united states,2004-08-21,lithuania,2004082122,Group B,200422
4,Richard Jefferson,22.0,6,8,3,5,5,9,1,1,2,2,1,1,3,20,united states,2004-08-21,lithuania,2004082122,Group B,200422
5,Dwyane Wade,16.0,3,6,0,1,0,0,1,1,1,3,1,2,2,6,united states,2004-08-21,lithuania,2004082122,Group B,200422
6,Carlos Boozer,13.0,2,3,0,0,6,7,4,5,0,1,0,1,3,10,united states,2004-08-21,lithuania,2004082122,Group B,200422
7,Shawn Marion,11.0,1,3,0,0,1,2,0,5,2,0,1,0,2,3,united states,2004-08-21,lithuania,2004082122,Group B,200422
8,Carmelo Anthony,10.0,2,5,1,2,0,0,0,0,0,0,0,1,1,5,united states,2004-08-21,lithuania,2004082122,Group B,200422
9,LeBron James,6.0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,united states,2004-08-21,lithuania,2004082122,Group B,200422
10,Amare Stoudemire,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,united states,2004-08-21,lithuania,2004082122,Group B,200422
11,Totals,,30,67,8,21,22,33,15,31,11,13,6,12,24,90,united states,2004-08-21,lithuania,2004082122,Group B,200422
0,Ramunas Siskauskas,34.0,5,9,0,2,4,6,3,6,1,1,0,2,2,14,lithuania,2004-08-21,united states,2004082122,Group B,200422
1,Sarunas Jasikevicius,32.0,9,14,7,12,3,3,1,2,4,1,0,4,2,28,lithuania,2004-08-21,united states,2004082122,Group B,200422
2,Saulius Stombergas,32.0,2,4,2,3,10,12,2,10,0,0,0,3,4,16,lithuania,2004-08-21,united states,2004082122,Group B,200422
3,Eurelijus Zukauskas,20.0,4,7,1,1,2,2,1,3,2,0,2,4,4,11,lithuania,2004-08-21,united states,2004082122,Group B,200422
4,Darius Songaila,20.0,1,2,0,0,5,6,0,3,0,1,0,2,4,7,lithuania,2004-08-21,united states,2004082122,Group B,200422
5,Ksistof Lavrinovic,19.0,1,5,1,4,0,0,1,2,0,1,0,1,4,3,lithuania,2004-08-21,united states,2004082122,Group B,200422
6,Arvydas Macijauskas,16.0,3,7,2,5,0,0,0,1,0,0,0,3,3,8,lithuania,2004-08-21,united states,2004082122,Group B,200422
7,Mindaugas Zukauskas,13.0,2,2,0,0,0,0,0,1,0,0,0,0,3,4,lithuania,2004-08-21,united states,2004082122,Group B,200422
8,Robertas Javtokas,12.0,1,4,0,0,1,2,1,4,0,0,0,2,1,3,lithuania,2004-08-21,united states,2004082122,Group B,200422
9,Dainius Salenga,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lithuania,2004-08-21,united states,2004082122,Group B,200422
10,Totals,,28,54,13,27,25,31,9,32,7,4,2,21,27,94,lithuania,2004-08-21,united states,2004082122,Group B,200422
