,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Pero Cameron,37.0,6,11,4,8,2,2,2,9,1,2,0,1,3,18,new zealand,2004-08-23,spain,2004082329,Group A,200429
1,Mark Dickel,34.0,3,6,1,2,1,2,1,4,5,2,0,3,0,8,new zealand,2004-08-23,spain,2004082329,Group A,200429
2,Phill Jones,33.0,9,21,2,10,3,3,2,6,0,4,0,0,3,23,new zealand,2004-08-23,spain,2004082329,Group A,200429
3,Sean Marks,27.0,4,12,0,3,5,6,4,10,1,0,1,5,5,13,new zealand,2004-08-23,spain,2004082329,Group A,200429
4,Kirk Penney,25.0,2,12,2,10,0,0,0,2,0,1,0,1,1,6,new zealand,2004-08-23,spain,2004082329,Group A,200429
5,Dillon Boucher,17.0,3,5,0,0,0,0,1,1,1,2,0,1,5,6,new zealand,2004-08-23,spain,2004082329,Group A,200429
6,Ed Book,14.0,3,6,0,2,2,2,3,4,0,1,0,0,4,8,new zealand,2004-08-23,spain,2004082329,Group A,200429
7,Tony Rampton,7.0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,new zealand,2004-08-23,spain,2004082329,Group A,200429
8,Paul Henare,6.0,1,1,0,0,0,0,1,3,1,0,0,1,0,2,new zealand,2004-08-23,spain,2004082329,Group A,200429
9,Totals,,31,75,9,35,13,15,15,40,9,12,1,13,21,84,new zealand,2004-08-23,spain,2004082329,Group A,200429
0,Jose Calderon,33.0,1,4,1,4,0,0,0,0,3,2,0,3,2,3,spain,2004-08-23,new zealand,2004082329,Group A,200429
1,Jorge Garbajosa,31.0,6,10,2,3,3,4,2,5,0,2,0,3,2,17,spain,2004-08-23,new zealand,2004082329,Group A,200429
2,Pau Gasol,24.0,3,8,2,2,6,12,0,10,1,0,1,3,3,14,spain,2004-08-23,new zealand,2004082329,Group A,200429
3,Juan Carlos Navarro,22.0,4,10,2,5,0,0,0,1,2,1,0,2,0,10,spain,2004-08-23,new zealand,2004082329,Group A,200429
4,Carlos Jimenez,20.0,2,3,0,0,2,2,1,7,1,0,0,0,1,6,spain,2004-08-23,new zealand,2004082329,Group A,200429
5,Rudy Fernandez,18.0,6,7,3,3,0,0,0,1,0,1,1,3,3,15,spain,2004-08-23,new zealand,2004082329,Group A,200429
6,Felipe Reyes,16.0,2,3,0,0,0,0,1,4,0,0,0,3,2,4,spain,2004-08-23,new zealand,2004082329,Group A,200429
7,Oscar Yebra,10.0,3,5,2,4,2,2,0,0,0,0,0,0,1,10,spain,2004-08-23,new zealand,2004082329,Group A,200429
8,Rodrigo De La Fuente,10.0,1,2,1,2,0,0,0,1,1,0,0,0,0,3,spain,2004-08-23,new zealand,2004082329,Group A,200429
9,Jaume Comas,7.0,1,1,1,1,0,0,0,0,2,1,0,0,0,3,spain,2004-08-23,new zealand,2004082329,Group A,200429
10,Iker Iturbe,5.0,1,4,0,2,1,1,0,0,0,0,0,1,1,3,spain,2004-08-23,new zealand,2004082329,Group A,200429
11,Roberto Duenas,5.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,spain,2004-08-23,new zealand,2004082329,Group A,200429
12,Totals,,30,59,14,26,14,21,4,29,10,7,2,18,15,88,spain,2004-08-23,new zealand,2004082329,Group A,200429
