,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Larry Ayuso,31.0,3,12,1,7,4,4,0,1,0,0,0,1,3,11,puerto rico,2004-08-23,greece,2004082328,Group B,200428
1,Carlos Arroyo,28.0,3,13,1,5,3,5,1,2,4,0,0,0,4,10,puerto rico,2004-08-23,greece,2004082328,Group B,200428
2,Bobby Joe Hatton,27.0,2,6,0,2,5,8,2,5,2,1,0,0,2,9,puerto rico,2004-08-23,greece,2004082328,Group B,200428
3,Sharif Fajardo,27.0,3,10,0,1,0,0,6,9,1,2,0,2,2,6,puerto rico,2004-08-23,greece,2004082328,Group B,200428
4,Eddie Casiano,23.0,1,7,1,5,2,2,0,0,0,0,0,0,3,5,puerto rico,2004-08-23,greece,2004082328,Group B,200428
5,Daniel Santiago,18.0,3,5,0,0,2,2,3,6,0,0,0,3,5,8,puerto rico,2004-08-23,greece,2004082328,Group B,200428
6,Peter John Ramos,18.0,1,4,0,0,3,5,1,4,0,0,0,0,1,5,puerto rico,2004-08-23,greece,2004082328,Group B,200428
7,Piculin Ortiz,14.0,1,2,0,1,0,0,0,2,0,1,0,1,0,2,puerto rico,2004-08-23,greece,2004082328,Group B,200428
8,Christian Dalmau,12.0,0,1,0,1,2,4,0,1,0,2,0,0,0,2,puerto rico,2004-08-23,greece,2004082328,Group B,200428
9,Jorge Rivera,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,puerto rico,2004-08-23,greece,2004082328,Group B,200428
10,Totals,,17,60,3,22,21,30,13,30,7,6,0,7,21,58,puerto rico,2004-08-23,greece,2004082328,Group B,200428
0,Theodoros Papaloukas,27.0,1,3,0,1,1,2,3,7,4,1,0,3,3,3,greece,2004-08-23,puerto rico,2004082328,Group B,200428
1,Lazaros Papadopoulos,22.0,6,8,0,0,1,1,0,2,2,1,0,1,3,13,greece,2004-08-23,puerto rico,2004082328,Group B,200428
2,Dimos Dikoudis,20.0,2,7,0,1,2,2,0,8,1,0,0,1,4,6,greece,2004-08-23,puerto rico,2004082328,Group B,200428
3,Nikos Zisis,20.0,2,5,1,3,1,2,0,1,0,0,0,0,3,6,greece,2004-08-23,puerto rico,2004082328,Group B,200428
4,Michalis Kakiouzis,16.0,5,7,4,5,2,2,1,6,0,0,0,1,0,16,greece,2004-08-23,puerto rico,2004082328,Group B,200428
5,Vassilis Spanoulis,16.0,2,3,1,2,1,2,0,1,1,1,0,1,3,6,greece,2004-08-23,puerto rico,2004082328,Group B,200428
6,Antonis Fotsis,15.0,1,4,1,4,2,2,1,3,0,0,4,1,1,5,greece,2004-08-23,puerto rico,2004082328,Group B,200428
7,Fragiskos Alvertis,14.0,5,8,1,3,1,2,0,1,0,0,0,1,1,12,greece,2004-08-23,puerto rico,2004082328,Group B,200428
8,Nikos Hatzivrettas,14.0,2,5,0,0,2,2,2,2,1,0,0,2,2,6,greece,2004-08-23,puerto rico,2004082328,Group B,200428
9,Dimitrios Papanikolaou,13.0,1,4,0,0,1,2,0,3,0,0,0,0,4,3,greece,2004-08-23,puerto rico,2004082328,Group B,200428
10,Dimitris Diamantidis,13.0,1,2,0,0,0,0,2,3,1,0,0,0,0,2,greece,2004-08-23,puerto rico,2004082328,Group B,200428
11,Kostas Tsartsaris,11.0,0,2,0,1,0,0,2,5,0,0,1,1,2,0,greece,2004-08-23,puerto rico,2004082328,Group B,200428
12,Totals,,28,58,8,20,14,19,11,42,10,3,5,12,26,78,greece,2004-08-23,puerto rico,2004082328,Group B,200428
