,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Dejan Tomasevic,29.0,4,9,0,0,1,3,6,11,4,0,0,1,2,9,serbia and montenegro,2004-08-23,china,2004082327,Group A,200427
1,Dejan Bodiroga,29.0,2,8,0,1,2,2,2,7,1,0,1,0,2,6,serbia and montenegro,2004-08-23,china,2004082327,Group A,200427
2,Milos Vujanic,27.0,4,11,4,9,0,0,0,1,1,1,1,1,1,12,serbia and montenegro,2004-08-23,china,2004082327,Group A,200427
3,Predrag Drobnjak,26.0,6,14,2,5,3,4,1,6,2,0,4,1,5,17,serbia and montenegro,2004-08-23,china,2004082327,Group A,200427
4,Vladimir Radmanovic,25.0,1,5,0,2,0,0,2,3,2,1,0,1,2,2,serbia and montenegro,2004-08-23,china,2004082327,Group A,200427
5,Vlado Scepanovic,24.0,3,10,2,6,1,2,1,2,3,2,0,1,0,9,serbia and montenegro,2004-08-23,china,2004082327,Group A,200427
6,Nenad Krstic,13.0,2,3,0,0,0,0,0,0,0,1,0,1,5,4,serbia and montenegro,2004-08-23,china,2004082327,Group A,200427
7,Vule Avdalovic,13.0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,serbia and montenegro,2004-08-23,china,2004082327,Group A,200427
8,Igor Rakocevic,9.0,2,3,1,1,0,0,0,0,2,1,0,1,1,5,serbia and montenegro,2004-08-23,china,2004082327,Group A,200427
9,Petar Popovic,5.0,1,1,0,0,0,0,1,1,0,1,0,0,0,2,serbia and montenegro,2004-08-23,china,2004082327,Group A,200427
10,Totals,,25,64,9,24,7,11,13,31,15,8,6,9,19,66,serbia and montenegro,2004-08-23,china,2004082327,Group A,200427
0,Yao Ming,40.0,9,12,0,0,9,10,3,13,2,0,2,3,2,27,china,2004-08-23,serbia and montenegro,2004082327,Group A,200427
1,Du Feng,32.0,3,10,1,6,5,6,2,5,1,2,0,1,2,12,china,2004-08-23,serbia and montenegro,2004082327,Group A,200427
2,Wei Liu,31.0,1,6,0,1,0,0,0,4,3,1,0,0,1,2,china,2004-08-23,serbia and montenegro,2004082327,Group A,200427
3,Li Nan,26.0,5,10,4,9,0,0,1,2,0,1,0,2,4,14,china,2004-08-23,serbia and montenegro,2004082327,Group A,200427
4,Mo Ke,23.0,2,8,0,1,2,2,2,4,0,0,0,0,2,6,china,2004-08-23,serbia and montenegro,2004082327,Group A,200427
5,Zhu Fangyu,22.0,2,4,0,1,2,2,0,2,0,1,0,1,0,6,china,2004-08-23,serbia and montenegro,2004082327,Group A,200427
6,Guo Shiqiang,15.0,0,2,0,1,0,0,0,1,2,0,0,2,3,0,china,2004-08-23,serbia and montenegro,2004082327,Group A,200427
7,Yi Jianlian,4.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,china,2004-08-23,serbia and montenegro,2004082327,Group A,200427
8,Zhang Jinsong,4.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,china,2004-08-23,serbia and montenegro,2004082327,Group A,200427
9,Chen Ke,3.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,china,2004-08-23,serbia and montenegro,2004082327,Group A,200427
10,Totals,,22,54,5,19,18,20,8,33,8,5,2,11,16,67,china,2004-08-23,serbia and montenegro,2004082327,Group A,200427
