,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Saulius Stombergas,34.0,2,5,2,2,2,2,1,6,1,3,1,0,4,8,lithuania,2004-08-26,china,2004082633,Quarter-Finals,200433,mens-olympics
1,Ramunas Siskauskas,30.0,3,11,3,6,0,0,0,1,4,0,0,3,2,9,lithuania,2004-08-26,china,2004082633,Quarter-Finals,200433,mens-olympics
2,Sarunas Jasikevicius,26.0,3,10,1,5,0,0,0,4,3,0,0,2,1,7,lithuania,2004-08-26,china,2004082633,Quarter-Finals,200433,mens-olympics
3,Arvydas Macijauskas,25.0,11,16,4,4,6,6,1,2,2,3,0,1,1,32,lithuania,2004-08-26,china,2004082633,Quarter-Finals,200433,mens-olympics
4,Robertas Javtokas,22.0,6,9,0,0,2,4,1,4,0,1,3,0,4,14,lithuania,2004-08-26,china,2004082633,Quarter-Finals,200433,mens-olympics
5,Mindaugas Zukauskas,20.0,1,3,1,1,0,0,1,4,2,0,0,0,2,3,lithuania,2004-08-26,china,2004082633,Quarter-Finals,200433,mens-olympics
6,Darius Songaila,17.0,4,6,0,0,2,2,1,5,0,0,0,1,3,10,lithuania,2004-08-26,china,2004082633,Quarter-Finals,200433,mens-olympics
7,Eurelijus Zukauskas,17.0,4,5,0,0,0,0,2,8,0,3,0,1,3,8,lithuania,2004-08-26,china,2004082633,Quarter-Finals,200433,mens-olympics
8,Ksistof Lavrinovic,8.0,2,6,0,2,0,0,1,1,1,1,0,1,0,4,lithuania,2004-08-26,china,2004082633,Quarter-Finals,200433,mens-olympics
9,Totals,,36,71,11,20,12,14,8,35,13,11,4,9,20,95,lithuania,2004-08-26,china,2004082633,Quarter-Finals,200433,mens-olympics
0,Yao Ming,33.0,8,14,0,1,13,15,6,11,2,0,1,4,4,29,china,2004-08-26,lithuania,2004082633,Quarter-Finals,200433,mens-olympics
1,Li Nan,32.0,7,17,5,13,0,0,1,4,3,2,0,4,3,19,china,2004-08-26,lithuania,2004082633,Quarter-Finals,200433,mens-olympics
2,Zhu Fangyu,29.0,3,13,3,10,1,2,1,2,2,0,0,3,2,10,china,2004-08-26,lithuania,2004082633,Quarter-Finals,200433,mens-olympics
3,Du Feng,22.0,0,3,0,1,1,2,2,7,0,0,0,1,2,1,china,2004-08-26,lithuania,2004082633,Quarter-Finals,200433,mens-olympics
4,Wei Liu,21.0,1,3,1,2,0,0,1,4,4,1,0,1,1,3,china,2004-08-26,lithuania,2004082633,Quarter-Finals,200433,mens-olympics
5,Guo Shiqiang,19.0,0,3,0,1,0,0,0,2,3,1,0,0,4,0,china,2004-08-26,lithuania,2004082633,Quarter-Finals,200433,mens-olympics
6,Mo Ke,18.0,3,4,1,1,1,1,0,3,0,1,0,1,1,8,china,2004-08-26,lithuania,2004082633,Quarter-Finals,200433,mens-olympics
7,Chen Ke,9.0,0,4,0,3,0,0,0,1,1,0,0,0,0,0,china,2004-08-26,lithuania,2004082633,Quarter-Finals,200433,mens-olympics
8,Bateer Mengke,7.0,1,4,0,0,0,0,1,2,0,0,0,1,2,2,china,2004-08-26,lithuania,2004082633,Quarter-Finals,200433,mens-olympics
9,Zhang Jinsong,4.0,1,2,1,2,0,0,0,0,0,0,0,0,1,3,china,2004-08-26,lithuania,2004082633,Quarter-Finals,200433,mens-olympics
10,Yi Jianlian,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,china,2004-08-26,lithuania,2004082633,Quarter-Finals,200433,mens-olympics
11,Totals,,24,67,11,34,16,20,12,36,15,5,1,15,21,75,china,2004-08-26,lithuania,2004082633,Quarter-Finals,200433,mens-olympics
