,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Allen Iverson,32.0,4,10,3,8,5,6,1,2,4,1,0,0,2,16,united states,2004-08-26,spain,2004082635,Quarter-Finals,200435
1,Stephon Marbury,30.0,10,15,6,9,5,6,0,2,4,2,0,2,3,31,united states,2004-08-26,spain,2004082635,Quarter-Finals,200435
2,Shawn Marion,24.0,3,7,0,0,2,2,2,6,1,0,1,1,4,8,united states,2004-08-26,spain,2004082635,Quarter-Finals,200435
3,Carlos Boozer,22.0,5,8,0,0,2,3,3,4,1,1,0,1,3,12,united states,2004-08-26,spain,2004082635,Quarter-Finals,200435
4,Lamar Odom,22.0,4,6,0,0,3,6,4,6,1,2,0,1,5,11,united states,2004-08-26,spain,2004082635,Quarter-Finals,200435
5,Tim Duncan,21.0,4,6,0,0,1,1,1,4,2,0,2,1,4,9,united states,2004-08-26,spain,2004082635,Quarter-Finals,200435
6,Richard Jefferson,21.0,2,6,2,3,0,0,0,1,2,0,1,0,3,6,united states,2004-08-26,spain,2004082635,Quarter-Finals,200435
7,Dwyane Wade,15.0,2,9,0,1,0,0,0,3,1,2,0,2,2,4,united states,2004-08-26,spain,2004082635,Quarter-Finals,200435
8,LeBron James,7.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,united states,2004-08-26,spain,2004082635,Quarter-Finals,200435
9,Amare Stoudemire,5.0,1,1,0,0,0,1,0,1,0,0,0,1,1,2,united states,2004-08-26,spain,2004082635,Quarter-Finals,200435
10,Carmelo Anthony,2.0,1,1,1,1,0,0,0,1,0,0,0,0,0,3,united states,2004-08-26,spain,2004082635,Quarter-Finals,200435
11,Totals,,36,71,12,22,18,25,11,30,16,8,4,9,27,102,united states,2004-08-26,spain,2004082635,Quarter-Finals,200435
0,Pau Gasol,40.0,9,17,0,1,11,11,2,6,1,1,2,1,4,29,spain,2004-08-26,united states,2004082635,Quarter-Finals,200435
1,Jose Calderon,35.0,8,14,2,5,1,1,3,7,0,0,0,1,3,19,spain,2004-08-26,united states,2004082635,Quarter-Finals,200435
2,Juan Carlos Navarro,30.0,5,18,2,8,5,5,0,3,0,2,0,2,0,17,spain,2004-08-26,united states,2004082635,Quarter-Finals,200435
3,Jorge Garbajosa,23.0,5,8,2,3,0,0,0,4,0,0,0,1,2,12,spain,2004-08-26,united states,2004082635,Quarter-Finals,200435
4,Rodrigo De La Fuente,23.0,1,3,0,2,0,0,0,3,0,0,0,0,2,2,spain,2004-08-26,united states,2004082635,Quarter-Finals,200435
5,Carlos Jimenez,17.0,1,2,0,1,1,2,1,4,1,0,0,1,5,3,spain,2004-08-26,united states,2004082635,Quarter-Finals,200435
6,Rudy Fernandez,10.0,2,4,1,3,1,2,0,0,1,1,0,2,0,6,spain,2004-08-26,united states,2004082635,Quarter-Finals,200435
7,Roberto Duenas,10.0,1,1,0,0,0,0,1,4,0,0,1,1,1,2,spain,2004-08-26,united states,2004082635,Quarter-Finals,200435
8,Felipe Reyes,6.0,1,2,0,0,0,2,3,5,0,0,0,1,1,2,spain,2004-08-26,united states,2004082635,Quarter-Finals,200435
9,Jaume Comas,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,spain,2004-08-26,united states,2004082635,Quarter-Finals,200435
10,Totals,,34,70,7,23,19,23,10,36,3,4,3,10,18,94,spain,2004-08-26,united states,2004082635,Quarter-Finals,200435
