,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Demond Greene,27.0,3,6,3,6,0,0,0,0,0,0,0,0,2,9,germany,2008-08-10,angola,200808100,Group B,20080,mens-olympics
1,Dirk Nowitzki,23.0,7,9,3,3,6,6,0,6,0,0,0,1,1,23,germany,2008-08-10,angola,200808100,Group B,20080,mens-olympics
2,Steffen Hamann,23.0,4,8,1,1,4,6,0,3,4,2,1,2,2,13,germany,2008-08-10,angola,200808100,Group B,20080,mens-olympics
3,Pascal Roller,20.0,1,3,1,3,0,0,0,3,0,0,0,5,2,3,germany,2008-08-10,angola,200808100,Group B,20080,mens-olympics
4,Konrad Wysocki,20.0,0,1,0,0,0,0,2,4,3,1,0,1,1,0,germany,2008-08-10,angola,200808100,Group B,20080,mens-olympics
5,Chris Kaman,18.0,10,12,0,0,4,5,1,2,1,0,0,0,2,24,germany,2008-08-10,angola,200808100,Group B,20080,mens-olympics
6,Jan Jagla,18.0,4,7,2,3,0,0,4,11,2,1,0,2,3,10,germany,2008-08-10,angola,200808100,Group B,20080,mens-olympics
7,Robert Garrett,17.0,1,4,1,2,0,0,0,2,1,0,0,0,0,3,germany,2008-08-10,angola,200808100,Group B,20080,mens-olympics
8,Sven Schultze,13.0,1,4,0,2,0,0,0,2,0,1,0,0,2,2,germany,2008-08-10,angola,200808100,Group B,20080,mens-olympics
9,Patrick Femerling,8.0,0,0,0,0,1,2,2,3,1,0,1,1,2,1,germany,2008-08-10,angola,200808100,Group B,20080,mens-olympics
10,Tim Ohlbrecht,7.0,3,4,0,0,1,3,2,3,0,1,0,0,2,7,germany,2008-08-10,angola,200808100,Group B,20080,mens-olympics
11,Phillip Zwiener,6.0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,germany,2008-08-10,angola,200808100,Group B,20080,mens-olympics
12,Totals,,34,58,11,20,16,22,11,39,13,6,2,14,19,95,germany,2008-08-10,angola,200808100,Group B,20080,mens-olympics
0,Carlos Morais,32.0,5,13,2,6,2,2,1,2,0,1,0,1,1,14,angola,2008-08-10,germany,200808100,Group B,20080,mens-olympics
1,Olimpio Cipriano,32.0,1,6,1,3,4,5,0,2,2,2,0,1,3,7,angola,2008-08-10,germany,200808100,Group B,20080,mens-olympics
2,Eduardo Mingas,31.0,9,15,4,8,2,2,0,1,1,3,0,1,1,24,angola,2008-08-10,germany,200808100,Group B,20080,mens-olympics
3,Joaquim Gomes,29.0,1,7,0,2,0,0,3,8,1,0,0,1,2,2,angola,2008-08-10,germany,200808100,Group B,20080,mens-olympics
4,Armando Costa,25.0,1,5,0,2,4,4,1,2,2,1,0,3,0,6,angola,2008-08-10,germany,200808100,Group B,20080,mens-olympics
5,Milton Barros,17.0,3,7,2,4,2,2,2,4,0,1,0,1,2,10,angola,2008-08-10,germany,200808100,Group B,20080,mens-olympics
6,Felizardo Ambrosio,16.0,0,1,0,0,3,4,0,1,1,0,0,0,3,3,angola,2008-08-10,germany,200808100,Group B,20080,mens-olympics
7,Carlos Almeida,9.0,0,5,0,3,0,0,0,1,0,0,0,2,1,0,angola,2008-08-10,germany,200808100,Group B,20080,mens-olympics
8,Luis Costa,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,angola,2008-08-10,germany,200808100,Group B,20080,mens-olympics
9,Abdel Moussa,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,angola,2008-08-10,germany,200808100,Group B,20080,mens-olympics
10,Vladimir Jeronimo,2.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,angola,2008-08-10,germany,200808100,Group B,20080,mens-olympics
11,Totals,,20,60,9,29,17,19,7,22,7,8,0,10,15,66,angola,2008-08-10,germany,200808100,Group B,20080,mens-olympics
