,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,JR Holden,37.0,9,19,1,5,0,0,1,3,3,5,0,3,0,19,russia,2008-08-10,iran,200808104,Group A,20084,mens-olympics
1,Andrei Kirilenko,34.0,5,7,1,2,4,5,2,5,0,1,3,2,3,15,russia,2008-08-10,iran,200808104,Group A,20084,mens-olympics
2,Alexey Savrasenko,30.0,5,10,0,0,1,2,1,3,4,1,0,1,4,11,russia,2008-08-10,iran,200808104,Group A,20084,mens-olympics
3,Viktor Khryapa,20.0,4,5,0,1,0,2,0,5,1,1,0,1,1,8,russia,2008-08-10,iran,200808104,Group A,20084,mens-olympics
4,Sergey Bykov,18.0,4,9,1,2,0,0,2,2,1,1,0,0,0,9,russia,2008-08-10,iran,200808104,Group A,20084,mens-olympics
5,Sergei Monia,15.0,1,3,0,1,0,0,2,6,0,1,0,0,4,2,russia,2008-08-10,iran,200808104,Group A,20084,mens-olympics
6,Viktor Keirou,15.0,1,1,0,0,0,0,0,0,1,0,0,1,1,2,russia,2008-08-10,iran,200808104,Group A,20084,mens-olympics
7,Zakhar Pashutin,15.0,1,4,0,1,0,0,2,3,0,0,0,1,1,2,russia,2008-08-10,iran,200808104,Group A,20084,mens-olympics
8,Nikita Morgunov,10.0,0,3,0,1,0,0,0,1,2,1,0,1,3,0,russia,2008-08-10,iran,200808104,Group A,20084,mens-olympics
9,Andrey Vorontsevich,5.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,russia,2008-08-10,iran,200808104,Group A,20084,mens-olympics
10,Vitaly Fridzon,2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,russia,2008-08-10,iran,200808104,Group A,20084,mens-olympics
11,Totals,,31,62,4,14,5,9,10,29,12,11,4,10,17,71,russia,2008-08-10,iran,200808104,Group A,20084,mens-olympics
0,Samad Nik Bahrami,40.0,6,16,2,6,2,4,1,4,1,0,1,7,3,16,iran,2008-08-10,russia,200808104,Group A,20084,mens-olympics
1,Hamed Afagh,36.0,3,7,2,5,0,0,2,3,0,0,0,1,1,8,iran,2008-08-10,russia,200808104,Group A,20084,mens-olympics
2,Hamed Haddadi,34.0,4,8,0,0,1,4,3,8,2,1,2,2,3,9,iran,2008-08-10,russia,200808104,Group A,20084,mens-olympics
3,Mahdi Kamrany,28.0,3,8,3,4,2,2,1,3,3,0,0,3,1,11,iran,2008-08-10,russia,200808104,Group A,20084,mens-olympics
4,Oshin Sahakian,25.0,1,4,0,0,0,0,0,2,1,1,0,2,3,2,iran,2008-08-10,russia,200808104,Group A,20084,mens-olympics
5,Amir Amini,16.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,iran,2008-08-10,russia,200808104,Group A,20084,mens-olympics
6,Iman Zandi,8.0,0,2,0,0,0,0,1,3,0,0,0,1,1,0,iran,2008-08-10,russia,200808104,Group A,20084,mens-olympics
7,Ali Doraghi,6.0,1,1,0,0,1,2,2,5,0,0,0,1,1,3,iran,2008-08-10,russia,200808104,Group A,20084,mens-olympics
8,Javad Davari,5.0,0,1,0,1,0,0,0,2,0,0,0,4,0,0,iran,2008-08-10,russia,200808104,Group A,20084,mens-olympics
9,Saeid Davarpanah,2.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,iran,2008-08-10,russia,200808104,Group A,20084,mens-olympics
10,Totals,,18,47,7,16,6,12,10,31,8,2,3,22,14,49,iran,2008-08-10,russia,200808104,Group A,20084,mens-olympics
