,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Kobe Bryant,27.0,6,14,1,7,0,0,1,2,3,2,0,3,1,13,united states,2008-08-10,china,200808103,Group B,20083
1,LeBron James,25.0,8,12,1,3,1,3,1,6,3,1,3,0,2,18,united states,2008-08-10,china,200808103,Group B,20083
2,Dwight Howard,21.0,5,10,0,0,3,5,0,2,0,0,0,0,1,13,united states,2008-08-10,china,200808103,Group B,20083
3,Dwyane Wade,20.0,7,7,0,0,5,5,0,0,2,2,0,1,1,19,united states,2008-08-10,china,200808103,Group B,20083
4,Chris Paul,20.0,1,2,1,2,0,0,0,3,6,2,0,1,3,3,united states,2008-08-10,china,200808103,Group B,20083
5,Deron Williams,19.0,3,7,1,3,2,2,0,4,1,0,0,0,1,9,united states,2008-08-10,china,200808103,Group B,20083
6,Carmelo Anthony,14.0,0,3,0,2,3,4,0,4,0,1,0,1,3,3,united states,2008-08-10,china,200808103,Group B,20083
7,Chris Bosh,13.0,4,4,0,0,1,2,4,8,0,3,0,1,3,9,united states,2008-08-10,china,200808103,Group B,20083
8,Michael Redd,13.0,3,9,3,7,0,0,1,3,1,0,0,0,0,9,united states,2008-08-10,china,200808103,Group B,20083
9,Jason Kidd,13.0,0,0,0,0,0,0,0,2,0,2,1,3,0,0,united states,2008-08-10,china,200808103,Group B,20083
10,Carlos Boozer,8.0,1,2,0,0,3,4,1,3,1,1,0,2,2,5,united states,2008-08-10,china,200808103,Group B,20083
11,Tayshaun Prince,8.0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,united states,2008-08-10,china,200808103,Group B,20083
12,Totals,,38,70,7,24,18,25,9,40,17,14,4,12,17,101,united states,2008-08-10,china,200808103,Group B,20083
0,Yao Ming,31.0,3,10,1,3,6,6,5,10,1,0,3,1,4,13,china,2008-08-10,united states,200808103,Group B,20083
1,Sun Yue,27.0,3,8,2,5,0,0,0,1,2,1,1,1,3,8,china,2008-08-10,united states,200808103,Group B,20083
2,Yi Jianlian,26.0,4,13,0,4,1,1,1,3,0,0,0,2,3,9,china,2008-08-10,united states,200808103,Group B,20083
3,Zhu Fangyu,25.0,4,6,3,3,0,0,4,8,2,0,0,0,2,11,china,2008-08-10,united states,200808103,Group B,20083
4,Wei Liu,21.0,1,9,1,3,3,4,1,3,2,0,0,3,1,6,china,2008-08-10,united states,200808103,Group B,20083
5,Wang Zhizhi,18.0,4,9,0,3,0,0,1,5,1,0,2,1,1,8,china,2008-08-10,united states,200808103,Group B,20083
6,Chen Jianghua,17.0,1,3,0,0,0,0,0,2,2,1,0,3,1,2,china,2008-08-10,united states,200808103,Group B,20083
7,Wang Shipeng,9.0,0,1,0,0,2,2,1,1,1,0,0,3,1,2,china,2008-08-10,united states,200808103,Group B,20083
8,Li Nan,8.0,2,5,2,3,0,0,0,0,0,0,0,1,2,6,china,2008-08-10,united states,200808103,Group B,20083
9,Zhang Qingpeng,8.0,1,4,1,3,2,2,0,2,1,0,0,2,1,5,china,2008-08-10,united states,200808103,Group B,20083
10,Du Feng,6.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,china,2008-08-10,united states,200808103,Group B,20083
11,Wang Lei,6.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,china,2008-08-10,united states,200808103,Group B,20083
12,Totals,,23,68,10,27,14,15,13,37,12,2,6,18,20,70,china,2008-08-10,united states,200808103,Group B,20083
