,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,David Barlow,26.0,3,8,0,4,0,0,0,3,0,0,0,1,2,6,australia,2008-08-12,argentina,200808127,Group A,20087
1,Andrew Bogut,25.0,3,10,0,1,1,2,1,4,2,2,3,2,3,7,australia,2008-08-12,argentina,200808127,Group A,20087
2,Patty Mills,24.0,9,17,0,3,4,4,1,2,1,2,0,0,2,22,australia,2008-08-12,argentina,200808127,Group A,20087
3,Brad Newley,21.0,5,6,1,1,0,0,0,2,1,0,0,2,1,11,australia,2008-08-12,argentina,200808127,Group A,20087
4,C.J. Bruton,21.0,1,2,0,1,0,0,2,3,2,1,0,0,3,2,australia,2008-08-12,argentina,200808127,Group A,20087
5,David Andersen,20.0,4,8,0,1,2,2,2,6,1,0,0,1,1,10,australia,2008-08-12,argentina,200808127,Group A,20087
6,Chris Anstey,15.0,0,2,0,0,0,0,0,1,1,0,0,1,4,0,australia,2008-08-12,argentina,200808127,Group A,20087
7,Matt Nielsen,13.0,1,5,0,1,1,2,1,3,0,0,0,3,4,3,australia,2008-08-12,argentina,200808127,Group A,20087
8,Mark Worthington,13.0,1,3,0,0,0,0,1,4,0,0,0,0,4,2,australia,2008-08-12,argentina,200808127,Group A,20087
9,Glen Saville,9.0,1,1,1,1,0,0,0,1,0,0,0,0,2,3,australia,2008-08-12,argentina,200808127,Group A,20087
10,Shawn Redhage,7.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,australia,2008-08-12,argentina,200808127,Group A,20087
11,Joe Ingles,6.0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,australia,2008-08-12,argentina,200808127,Group A,20087
12,Totals,,29,64,2,13,8,10,8,29,9,5,3,10,27,68,australia,2008-08-12,argentina,200808127,Group A,20087
0,Pablo Prigioni,35.0,3,5,2,4,0,0,0,4,3,0,0,2,2,8,argentina,2008-08-12,australia,200808127,Group A,20087
1,Luis Scola,34.0,7,13,0,0,3,5,2,7,2,1,0,4,2,17,argentina,2008-08-12,australia,200808127,Group A,20087
2,Manu Ginobili,33.0,5,10,3,6,8,8,0,4,7,1,0,3,3,21,argentina,2008-08-12,australia,200808127,Group A,20087
3,Fabricio Oberto,30.0,5,7,0,0,2,3,2,4,2,1,0,0,3,12,argentina,2008-08-12,australia,200808127,Group A,20087
4,Andres Nocioni,26.0,2,7,2,4,0,0,1,8,1,0,1,2,4,6,argentina,2008-08-12,australia,200808127,Group A,20087
5,Carlos Delfino,21.0,4,6,3,5,3,4,0,4,3,0,0,2,1,14,argentina,2008-08-12,australia,200808127,Group A,20087
6,Roman Gonzalez,8.0,2,4,0,0,0,2,2,3,0,0,0,1,2,4,argentina,2008-08-12,australia,200808127,Group A,20087
7,Paulo Quinteros,5.0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,argentina,2008-08-12,australia,200808127,Group A,20087
8,Juan Gutierrez,4.0,0,2,0,0,0,0,1,2,0,0,0,0,1,0,argentina,2008-08-12,australia,200808127,Group A,20087
9,Leo Gutierrez,3.0,1,2,1,2,0,0,0,0,0,0,0,0,0,3,argentina,2008-08-12,australia,200808127,Group A,20087
10,Antonio Porta,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argentina,2008-08-12,australia,200808127,Group A,20087
11,Federico Kammerichs,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argentina,2008-08-12,australia,200808127,Group A,20087
12,Totals,,29,57,11,22,16,22,9,37,18,3,1,14,18,85,argentina,2008-08-12,australia,200808127,Group A,20087
