,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Deron Williams,22.0,2,6,1,2,2,2,0,1,4,2,0,1,2,7,united states,2008-08-12,angola,200808126,Group B,20086,mens-olympics
1,Carmelo Anthony,21.0,4,6,1,2,3,5,1,6,0,0,1,1,3,12,united states,2008-08-12,angola,200808126,Group B,20086,mens-olympics
2,Chris Paul,21.0,3,4,0,1,0,0,2,4,3,1,0,0,0,6,united states,2008-08-12,angola,200808126,Group B,20086,mens-olympics
3,LeBron James,20.0,5,7,0,0,2,5,0,2,5,3,1,1,1,12,united states,2008-08-12,angola,200808126,Group B,20086,mens-olympics
4,Kobe Bryant,18.0,4,13,0,8,0,0,0,4,1,2,0,1,2,8,united states,2008-08-12,angola,200808126,Group B,20086,mens-olympics
5,Dwyane Wade,16.0,6,8,2,3,5,7,3,5,0,1,0,1,3,19,united states,2008-08-12,angola,200808126,Group B,20086,mens-olympics
6,Dwight Howard,15.0,6,6,0,0,2,4,1,3,1,0,2,2,3,14,united states,2008-08-12,angola,200808126,Group B,20086,mens-olympics
7,Jason Kidd,15.0,0,0,0,0,0,0,0,4,3,2,0,1,2,0,united states,2008-08-12,angola,200808126,Group B,20086,mens-olympics
8,Chris Bosh,14.0,3,4,0,0,2,2,0,2,0,0,0,1,1,8,united states,2008-08-12,angola,200808126,Group B,20086,mens-olympics
9,Tayshaun Prince,14.0,3,6,1,3,0,0,0,1,0,1,0,0,0,7,united states,2008-08-12,angola,200808126,Group B,20086,mens-olympics
10,Michael Redd,14.0,1,4,0,2,0,0,0,0,1,1,0,1,1,2,united states,2008-08-12,angola,200808126,Group B,20086,mens-olympics
11,Carlos Boozer,11.0,1,4,0,0,0,0,0,2,0,0,0,2,3,2,united states,2008-08-12,angola,200808126,Group B,20086,mens-olympics
12,Totals,,38,68,5,21,16,25,7,34,18,13,4,12,21,97,united states,2008-08-12,angola,200808126,Group B,20086,mens-olympics
0,Carlos Morais,29.0,7,13,3,8,7,9,0,3,0,1,0,10,4,24,angola,2008-08-12,united states,200808126,Group B,20086,mens-olympics
1,Eduardo Mingas,28.0,4,13,0,5,0,0,5,7,1,1,0,1,2,8,angola,2008-08-12,united states,200808126,Group B,20086,mens-olympics
2,Joaquim Gomes,25.0,1,5,0,0,2,2,2,8,1,1,0,5,3,4,angola,2008-08-12,united states,200808126,Group B,20086,mens-olympics
3,Armando Costa,24.0,3,4,1,2,2,4,1,4,2,0,0,2,1,9,angola,2008-08-12,united states,200808126,Group B,20086,mens-olympics
4,Felizardo Ambrosio,23.0,1,7,0,1,0,0,3,6,2,3,1,0,2,2,angola,2008-08-12,united states,200808126,Group B,20086,mens-olympics
5,Carlos Almeida,21.0,2,9,2,8,2,2,1,3,1,0,0,1,1,8,angola,2008-08-12,united states,200808126,Group B,20086,mens-olympics
6,Milton Barros,18.0,1,3,1,2,2,2,1,3,1,0,0,5,5,5,angola,2008-08-12,united states,200808126,Group B,20086,mens-olympics
7,Luis Costa,15.0,3,4,1,2,2,2,1,2,0,0,0,0,1,9,angola,2008-08-12,united states,200808126,Group B,20086,mens-olympics
8,Leonel Paulo,8.0,1,2,0,0,0,0,0,1,0,0,0,0,3,2,angola,2008-08-12,united states,200808126,Group B,20086,mens-olympics
9,Vladimir Jeronimo,6.0,0,2,0,2,0,0,0,1,0,0,0,1,0,0,angola,2008-08-12,united states,200808126,Group B,20086,mens-olympics
10,Abdel Moussa,4.0,2,2,1,1,0,0,0,0,0,0,0,0,1,5,angola,2008-08-12,united states,200808126,Group B,20086,mens-olympics
11,Totals,,25,64,9,31,17,21,14,38,8,6,1,25,23,76,angola,2008-08-12,united states,200808126,Group B,20086,mens-olympics
