,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Dirk Nowitzki,35.0,5.0,15.0,1.0,6.0,0.0,0.0,1.0,5,1,0,0,4,3.0,11,germany,2008-08-14,spain,2008081417,Group B,200817
1,Steffen Hamann,27.0,4.0,6.0,1.0,2.0,6.0,7.0,0.0,0,3,1,0,1,3.0,15,germany,2008-08-14,spain,2008081417,Group B,200817
2,Chris Kaman,23.0,3.0,8.0,0.0,0.0,2.0,2.0,2.0,10,0,0,0,3,3.0,8,germany,2008-08-14,spain,2008081417,Group B,200817
3,Pascal Roller,23.0,1.0,5.0,1.0,4.0,0.0,0.0,0.0,0,1,1,0,1,1.0,3,germany,2008-08-14,spain,2008081417,Group B,200817
4,Demond Greene,20.0,3.0,4.0,3.0,4.0,0.0,0.0,0.0,1,0,0,0,4,3.0,9,germany,2008-08-14,spain,2008081417,Group B,200817
5,Robert Garrett,20.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1,0,0,0,0,1.0,2,germany,2008-08-14,spain,2008081417,Group B,200817
6,Sven Schultze,19.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,4,2,1,0,3,5.0,2,germany,2008-08-14,spain,2008081417,Group B,200817
7,Konrad Wysocki,15.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,3,0,0,0,0,3.0,2,germany,2008-08-14,spain,2008081417,Group B,200817
8,Jan Jagla,9.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,2,0,0,0,1,0.0,5,germany,2008-08-14,spain,2008081417,Group B,200817
9,Patrick Femerling,9.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,4,1,0,1,1,1.0,2,germany,2008-08-14,spain,2008081417,Group B,200817
10,Tim Ohlbrecht,,,,,,,,,0,0,0,0,0,,0,germany,2008-08-14,spain,2008081417,Group B,200817
11,Totals,,,,,,,,,30,8,3,1,18,,59,germany,2008-08-14,spain,2008081417,Group B,200817
0,Alex Mumbru,29.0,4.0,6.0,3.0,3.0,3.0,4.0,0.0,2,1,0,0,1,1.0,14,spain,2008-08-14,germany,2008081417,Group B,200817
1,Pau Gasol,25.0,5.0,10.0,0.0,1.0,3.0,6.0,1.0,5,3,1,1,1,1.0,13,spain,2008-08-14,germany,2008081417,Group B,200817
2,Jose Calderon,22.0,5.0,8.0,3.0,4.0,2.0,2.0,0.0,3,0,0,1,0,0.0,15,spain,2008-08-14,germany,2008081417,Group B,200817
3,Rudy Fernandez,22.0,1.0,7.0,1.0,5.0,0.0,2.0,2.0,3,2,1,0,3,3.0,3,spain,2008-08-14,germany,2008081417,Group B,200817
4,Jorge Garbajosa,21.0,2.0,8.0,2.0,5.0,0.0,0.0,0.0,6,1,2,1,0,2.0,6,spain,2008-08-14,germany,2008081417,Group B,200817
5,Marc Gasol,20.0,1.0,5.0,0.0,0.0,5.0,6.0,4.0,8,0,1,0,1,3.0,7,spain,2008-08-14,germany,2008081417,Group B,200817
6,Juan Carlos Navarro,18.0,1.0,5.0,0.0,2.0,0.0,0.0,2.0,4,0,0,0,1,1.0,2,spain,2008-08-14,germany,2008081417,Group B,200817
7,Felipe Reyes,14.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,3,1,1,0,1,2.0,2,spain,2008-08-14,germany,2008081417,Group B,200817
8,Ricky Rubio,13.0,3.0,7.0,0.0,2.0,1.0,1.0,2.0,5,3,2,0,0,3.0,7,spain,2008-08-14,germany,2008081417,Group B,200817
9,Berni Rodriguez,11.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,1.0,0,spain,2008-08-14,germany,2008081417,Group B,200817
10,Raul Lopez,6.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,1,0,0,0,0,1.0,3,spain,2008-08-14,germany,2008081417,Group B,200817
11,Totals,,24.0,64.0,9.0,24.0,15.0,25.0,14.0,41,11,8,3,8,18.0,72,spain,2008-08-14,germany,2008081417,Group B,200817
