,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,JR Holden,39.0,7,18,3,8,3,4,0,4,6,0,0,6,2,20,russia,2008-08-16,australia,2008081620,Group A,200820
1,Andrei Kirilenko,36.0,1,10,0,5,4,4,2,6,5,3,1,3,2,6,russia,2008-08-16,australia,2008081620,Group A,200820
2,Viktor Khryapa,30.0,7,8,6,6,1,2,0,9,0,1,2,4,3,21,russia,2008-08-16,australia,2008081620,Group A,200820
3,Alexey Savrasenko,20.0,7,10,0,0,2,2,2,4,0,1,0,0,4,16,russia,2008-08-16,australia,2008081620,Group A,200820
4,Zakhar Pashutin,18.0,2,3,1,2,0,0,1,1,0,0,0,1,3,5,russia,2008-08-16,australia,2008081620,Group A,200820
5,Sergey Bykov,16.0,2,5,1,2,0,0,0,2,0,2,0,0,2,5,russia,2008-08-16,australia,2008081620,Group A,200820
6,Andrey Vorontsevich,12.0,1,2,1,2,0,0,2,6,0,0,0,0,2,3,russia,2008-08-16,australia,2008081620,Group A,200820
7,Nikita Morgunov,9.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,russia,2008-08-16,australia,2008081620,Group A,200820
8,Vitaly Fridzon,8.0,1,3,0,1,1,1,0,0,0,2,0,1,3,3,russia,2008-08-16,australia,2008081620,Group A,200820
9,Viktor Keirou,8.0,0,0,0,0,1,2,0,0,1,1,0,0,2,1,russia,2008-08-16,australia,2008081620,Group A,200820
10,Sergei Monia,5.0,0,3,0,0,0,0,0,2,0,0,0,1,4,0,russia,2008-08-16,australia,2008081620,Group A,200820
11,Totals,,28,63,12,27,12,15,7,34,12,10,3,16,28,80,russia,2008-08-16,australia,2008081620,Group A,200820
0,Brad Newley,35.0,3,8,0,2,3,5,1,4,0,1,0,0,4,9,australia,2008-08-16,russia,2008081620,Group A,200820
1,C.J. Bruton,30.0,5,12,4,8,8,8,1,4,6,2,0,0,2,22,australia,2008-08-16,russia,2008081620,Group A,200820
2,Andrew Bogut,28.0,8,13,2,3,4,6,2,8,2,1,0,1,2,22,australia,2008-08-16,russia,2008081620,Group A,200820
3,Patty Mills,28.0,3,9,0,4,0,0,1,2,1,0,0,1,2,6,australia,2008-08-16,russia,2008081620,Group A,200820
4,Matt Nielsen,24.0,1,3,1,2,8,10,0,2,1,1,0,5,4,11,australia,2008-08-16,russia,2008081620,Group A,200820
5,David Andersen,16.0,4,5,1,1,2,2,1,5,1,1,0,2,3,11,australia,2008-08-16,russia,2008081620,Group A,200820
6,Mark Worthington,16.0,2,3,1,1,1,1,0,5,3,0,0,0,1,6,australia,2008-08-16,russia,2008081620,Group A,200820
7,Chris Anstey,12.0,2,4,2,3,2,2,1,3,0,1,0,2,0,8,australia,2008-08-16,russia,2008081620,Group A,200820
8,David Barlow,12.0,0,2,0,0,0,0,1,3,1,0,0,2,0,0,australia,2008-08-16,russia,2008081620,Group A,200820
9,Totals,,28,59,11,24,28,34,8,36,15,7,0,13,18,95,australia,2008-08-16,russia,2008081620,Group A,200820
