,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Antonis Fotsis,29.0,7.0,10.0,3.0,6.0,0.0,0.0,2.0,4,3,0,0,0,0.0,17,greece,2008-08-18,china,2008081827,Group B,200827,mens-olympics
1,Dimitris Diamantidis,29.0,2.0,5.0,1.0,4.0,0.0,0.0,1.0,4,3,3,1,1,1.0,5,greece,2008-08-18,china,2008081827,Group B,200827,mens-olympics
2,Vassilis Spanoulis,26.0,8.0,10.0,1.0,2.0,2.0,4.0,0.0,0,5,3,0,1,2.0,19,greece,2008-08-18,china,2008081827,Group B,200827,mens-olympics
3,Ioannis Bourousis,24.0,7.0,11.0,1.0,2.0,4.0,4.0,5.0,9,0,1,0,1,0.0,19,greece,2008-08-18,china,2008081827,Group B,200827,mens-olympics
4,Theodoros Papaloukas,24.0,2.0,6.0,0.0,2.0,2.0,3.0,0.0,3,5,0,0,1,1.0,6,greece,2008-08-18,china,2008081827,Group B,200827,mens-olympics
5,Panagiotis Vasilopoulos,23.0,1.0,5.0,1.0,4.0,0.0,0.0,1.0,5,1,0,1,0,2.0,3,greece,2008-08-18,china,2008081827,Group B,200827,mens-olympics
6,Nikos Zisis,16.0,4.0,7.0,0.0,1.0,0.0,2.0,1.0,4,2,0,0,0,0.0,8,greece,2008-08-18,china,2008081827,Group B,200827,mens-olympics
7,Sofoklis Schortsanitis,9.0,3.0,6.0,0.0,0.0,2.0,5.0,1.0,2,0,0,0,3,1.0,8,greece,2008-08-18,china,2008081827,Group B,200827,mens-olympics
8,Michalis Pelekanos,8.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4,0,0,0,0,2.0,0,greece,2008-08-18,china,2008081827,Group B,200827,mens-olympics
9,Kostas Tsartsaris,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,1,2.0,0,greece,2008-08-18,china,2008081827,Group B,200827,mens-olympics
10,Andreas Glyniadakis,6.0,2.0,4.0,0.0,0.0,2.0,2.0,1.0,1,0,0,0,0,3.0,6,greece,2008-08-18,china,2008081827,Group B,200827,mens-olympics
11,Giorgos Printezis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,greece,2008-08-18,china,2008081827,Group B,200827,mens-olympics
12,Totals,,36.0,66.0,7.0,22.0,12.0,20.0,14.0,36,19,7,3,8,14.0,91,greece,2008-08-18,china,2008081827,Group B,200827,mens-olympics
0,Sun Yue,30.0,3.0,7.0,1.0,3.0,2.0,3.0,1.0,2,6,2,1,2,1.0,9,china,2008-08-18,greece,2008081827,Group B,200827,mens-olympics
1,Wang Zhizhi,25.0,5.0,11.0,2.0,5.0,2.0,2.0,2.0,8,1,0,1,3,2.0,14,china,2008-08-18,greece,2008081827,Group B,200827,mens-olympics
2,Yi Jianlian,24.0,4.0,5.0,1.0,1.0,2.0,2.0,1.0,2,0,1,1,1,0.0,11,china,2008-08-18,greece,2008081827,Group B,200827,mens-olympics
3,Li Nan,24.0,2.0,5.0,2.0,5.0,0.0,0.0,1.0,3,0,1,0,0,3.0,6,china,2008-08-18,greece,2008081827,Group B,200827,mens-olympics
4,Wang Shipeng,21.0,5.0,8.0,1.0,2.0,0.0,0.0,0.0,1,2,0,0,2,4.0,11,china,2008-08-18,greece,2008081827,Group B,200827,mens-olympics
5,Yao Ming,18.0,5.0,8.0,0.0,2.0,6.0,8.0,3.0,5,0,0,0,2,1.0,16,china,2008-08-18,greece,2008081827,Group B,200827,mens-olympics
6,Zhang Qingpeng,18.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,1,1,0,0,1,2.0,5,china,2008-08-18,greece,2008081827,Group B,200827,mens-olympics
7,Du Feng,13.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,3,1,0,0,0,2.0,2,china,2008-08-18,greece,2008081827,Group B,200827,mens-olympics
8,Zhu Fangyu,12.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,1,0,1,0,0,0.0,3,china,2008-08-18,greece,2008081827,Group B,200827,mens-olympics
9,Wei Liu,8.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2,0,0,0,0,1.0,0,china,2008-08-18,greece,2008081827,Group B,200827,mens-olympics
10,Wang Lei,7.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0.0,0,china,2008-08-18,greece,2008081827,Group B,200827,mens-olympics
11,Chen Jianghua,,,,,,,,,0,0,0,0,0,,0,china,2008-08-18,greece,2008081827,Group B,200827,mens-olympics
12,Totals,,,,,,,,,29,11,5,3,12,,77,china,2008-08-18,greece,2008081827,Group B,200827,mens-olympics
