,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Jorge Garbajosa,25.0,4,11,1,6,1,2,4,8,0,4,0,1,1,10,spain,2008-08-18,angola,2008081824,Group B,200824,mens-olympics
1,Pau Gasol,24.0,13,14,0,0,5,10,2,9,2,1,0,4,2,31,spain,2008-08-18,angola,2008081824,Group B,200824,mens-olympics
2,Juan Carlos Navarro,22.0,5,16,2,8,0,0,0,1,2,1,0,1,2,12,spain,2008-08-18,angola,2008081824,Group B,200824,mens-olympics
3,Berni Rodriguez,21.0,4,5,1,2,2,2,1,3,5,0,0,0,1,11,spain,2008-08-18,angola,2008081824,Group B,200824,mens-olympics
4,Carlos Jimenez,20.0,1,3,0,0,0,0,0,7,0,2,0,0,1,2,spain,2008-08-18,angola,2008081824,Group B,200824,mens-olympics
5,Alex Mumbru,17.0,2,4,2,3,2,2,1,2,2,4,0,2,2,8,spain,2008-08-18,angola,2008081824,Group B,200824,mens-olympics
6,Felipe Reyes,16.0,3,7,0,0,0,0,4,6,0,1,0,1,2,6,spain,2008-08-18,angola,2008081824,Group B,200824,mens-olympics
7,Rudy Fernandez,14.0,3,5,1,3,2,2,2,4,2,0,0,0,3,9,spain,2008-08-18,angola,2008081824,Group B,200824,mens-olympics
8,Jose Calderon,14.0,0,4,0,4,0,0,0,0,3,1,0,0,1,0,spain,2008-08-18,angola,2008081824,Group B,200824,mens-olympics
9,Raul Lopez,13.0,2,3,1,2,2,2,2,4,2,0,0,0,0,7,spain,2008-08-18,angola,2008081824,Group B,200824,mens-olympics
10,Ricky Rubio,13.0,1,1,0,0,0,0,1,1,5,3,0,0,0,2,spain,2008-08-18,angola,2008081824,Group B,200824,mens-olympics
11,Totals,,38,73,8,28,14,20,17,45,23,17,0,9,15,98,spain,2008-08-18,angola,2008081824,Group B,200824,mens-olympics
0,Eduardo Mingas,36.0,4,9,1,3,1,2,0,5,1,1,0,4,3,10,angola,2008-08-18,spain,2008081824,Group B,200824,mens-olympics
1,Armando Costa,33.0,3,10,1,4,0,0,2,2,5,2,0,3,4,7,angola,2008-08-18,spain,2008081824,Group B,200824,mens-olympics
2,Felizardo Ambrosio,31.0,2,5,0,2,3,5,1,5,0,0,0,0,3,7,angola,2008-08-18,spain,2008081824,Group B,200824,mens-olympics
3,Carlos Morais,29.0,2,10,0,5,4,5,0,4,0,1,0,5,2,8,angola,2008-08-18,spain,2008081824,Group B,200824,mens-olympics
4,Joaquim Gomes,23.0,2,2,0,0,2,2,1,4,0,0,0,3,2,6,angola,2008-08-18,spain,2008081824,Group B,200824,mens-olympics
5,Vladimir Jeronimo,22.0,3,7,2,4,0,0,1,2,2,0,0,4,5,8,angola,2008-08-18,spain,2008081824,Group B,200824,mens-olympics
6,Luis Costa,16.0,1,4,0,0,0,0,0,1,1,2,0,3,1,2,angola,2008-08-18,spain,2008081824,Group B,200824,mens-olympics
7,Leonel Paulo,6.0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,angola,2008-08-18,spain,2008081824,Group B,200824,mens-olympics
8,Milton Barros,3.0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,angola,2008-08-18,spain,2008081824,Group B,200824,mens-olympics
9,Totals,,18,49,4,19,10,14,5,24,10,6,0,25,21,50,angola,2008-08-18,spain,2008081824,Group B,200824,mens-olympics
