,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Tayshaun Prince,21.0,1,3,0,1,0,0,2,6,1,0,1,2,3,2,united states,2008-08-18,germany,2008081829,Group B,200829,mens-olympics
1,Chris Paul,20.0,4,8,2,4,0,0,1,2,3,2,0,0,0,10,united states,2008-08-18,germany,2008081829,Group B,200829,mens-olympics
2,Dwight Howard,19.0,9,10,0,0,4,9,2,10,2,2,0,2,2,22,united states,2008-08-18,germany,2008081829,Group B,200829,mens-olympics
3,Kobe Bryant,19.0,5,10,3,5,0,0,0,2,2,1,0,2,3,13,united states,2008-08-18,germany,2008081829,Group B,200829,mens-olympics
4,Deron Williams,19.0,3,6,1,2,2,2,2,4,5,2,0,1,1,9,united states,2008-08-18,germany,2008081829,Group B,200829,mens-olympics
5,LeBron James,18.0,7,10,4,5,0,0,0,3,0,2,0,0,2,18,united states,2008-08-18,germany,2008081829,Group B,200829,mens-olympics
6,Dwyane Wade,17.0,4,6,0,1,2,4,2,4,1,1,1,2,0,10,united states,2008-08-18,germany,2008081829,Group B,200829,mens-olympics
7,Jason Kidd,17.0,1,1,1,1,0,0,2,5,3,0,0,2,1,3,united states,2008-08-18,germany,2008081829,Group B,200829,mens-olympics
8,Carmelo Anthony,14.0,2,7,0,3,0,0,0,6,2,2,0,0,2,4,united states,2008-08-18,germany,2008081829,Group B,200829,mens-olympics
9,Chris Bosh,13.0,2,3,0,0,3,3,2,4,1,0,0,0,1,7,united states,2008-08-18,germany,2008081829,Group B,200829,mens-olympics
10,Michael Redd,13.0,1,9,0,4,0,0,1,1,0,1,0,1,0,2,united states,2008-08-18,germany,2008081829,Group B,200829,mens-olympics
11,Carlos Boozer,9.0,3,4,0,0,0,0,3,6,0,1,0,1,0,6,united states,2008-08-18,germany,2008081829,Group B,200829,mens-olympics
12,Totals,,42,77,11,26,11,18,17,53,20,14,2,13,15,106,united states,2008-08-18,germany,2008081829,Group B,200829,mens-olympics
0,Steffen Hamann,25.0,0,4,0,1,0,2,3,6,2,1,0,3,3,0,germany,2008-08-18,united states,2008081829,Group B,200829,mens-olympics
1,Dirk Nowitzki,23.0,4,10,1,4,5,5,1,8,1,0,0,2,3,14,germany,2008-08-18,united states,2008081829,Group B,200829,mens-olympics
2,Phillip Zwiener,19.0,1,3,0,2,0,0,0,2,1,1,0,2,0,2,germany,2008-08-18,united states,2008081829,Group B,200829,mens-olympics
3,Sven Schultze,18.0,4,11,1,4,0,0,1,1,1,2,1,1,0,9,germany,2008-08-18,united states,2008081829,Group B,200829,mens-olympics
4,Demond Greene,18.0,2,8,1,5,1,2,0,2,1,1,0,0,0,6,germany,2008-08-18,united states,2008081829,Group B,200829,mens-olympics
5,Pascal Roller,18.0,1,5,1,4,0,0,0,0,1,0,0,2,1,3,germany,2008-08-18,united states,2008081829,Group B,200829,mens-olympics
6,Tim Ohlbrecht,18.0,1,5,0,1,0,0,1,2,0,0,1,0,2,2,germany,2008-08-18,united states,2008081829,Group B,200829,mens-olympics
7,Jan Jagla,17.0,4,10,2,6,0,0,1,6,2,0,1,3,1,10,germany,2008-08-18,united states,2008081829,Group B,200829,mens-olympics
8,Chris Kaman,17.0,3,9,0,0,0,0,4,4,0,0,0,4,2,6,germany,2008-08-18,united states,2008081829,Group B,200829,mens-olympics
9,Konrad Wysocki,14.0,2,5,1,3,0,0,3,5,0,1,0,1,1,5,germany,2008-08-18,united states,2008081829,Group B,200829,mens-olympics
10,Patrick Femerling,8.0,0,3,0,0,0,0,1,2,0,0,0,0,1,0,germany,2008-08-18,united states,2008081829,Group B,200829,mens-olympics
11,Robert Garrett,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,germany,2008-08-18,united states,2008081829,Group B,200829,mens-olympics
12,Totals,,22,73,7,30,6,9,15,38,9,6,3,18,14,57,germany,2008-08-18,united states,2008081829,Group B,200829,mens-olympics
