,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Sarunas Jasikevicius,35.0,6.0,13.0,2.0,5.0,5.0,5.0,1.0,3,6,2,0,3,4.0,19,lithuania,2008-08-22,spain,2008082235,Semi-Finals,200835,mens-olympics
1,Ramunas Siskauskas,34.0,2.0,4.0,0.0,1.0,3.0,4.0,2.0,7,3,1,0,3,5.0,7,lithuania,2008-08-22,spain,2008082235,Semi-Finals,200835,mens-olympics
2,Rimantas Kaukenas,30.0,3.0,11.0,1.0,5.0,4.0,4.0,3.0,3,2,1,0,5,4.0,11,lithuania,2008-08-22,spain,2008082235,Semi-Finals,200835,mens-olympics
3,Ksistof Lavrinovic,26.0,4.0,7.0,4.0,6.0,1.0,1.0,0.0,7,1,1,1,3,5.0,13,lithuania,2008-08-22,spain,2008082235,Semi-Finals,200835,mens-olympics
4,Simas Jasaitis,23.0,6.0,11.0,5.0,10.0,2.0,2.0,4.0,8,2,0,0,1,3.0,19,lithuania,2008-08-22,spain,2008082235,Semi-Finals,200835,mens-olympics
5,Robertas Javtokas,23.0,4.0,4.0,0.0,0.0,7.0,10.0,1.0,4,0,1,1,1,4.0,15,lithuania,2008-08-22,spain,2008082235,Semi-Finals,200835,mens-olympics
6,Marijonas Petravicius,14.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,2,5.0,2,lithuania,2008-08-22,spain,2008082235,Semi-Finals,200835,mens-olympics
7,Linas Kleiza,11.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,1,1,1,0,0,2.0,0,lithuania,2008-08-22,spain,2008082235,Semi-Finals,200835,mens-olympics
8,Mindaugas Lukauskis,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,2.0,0,lithuania,2008-08-22,spain,2008082235,Semi-Finals,200835,mens-olympics
9,Darjus Lavrinovic,,,,,,,,,0,0,0,0,0,,0,lithuania,2008-08-22,spain,2008082235,Semi-Finals,200835,mens-olympics
10,Totals,,,,,,,,,34,15,7,2,18,,86,lithuania,2008-08-22,spain,2008082235,Semi-Finals,200835,mens-olympics
0,Pau Gasol,30.0,7.0,12.0,0.0,0.0,5.0,8.0,3.0,5,2,0,0,6,1.0,19,spain,2008-08-22,lithuania,2008082235,Semi-Finals,200835,mens-olympics
1,Rudy Fernandez,27.0,5.0,12.0,2.0,7.0,6.0,6.0,2.0,4,0,1,0,0,1.0,18,spain,2008-08-22,lithuania,2008082235,Semi-Finals,200835,mens-olympics
2,Carlos Jimenez,26.0,2.0,3.0,0.0,0.0,7.0,7.0,3.0,7,1,1,0,1,4.0,11,spain,2008-08-22,lithuania,2008082235,Semi-Finals,200835,mens-olympics
3,Ricky Rubio,24.0,0.0,6.0,0.0,4.0,4.0,6.0,1.0,6,4,1,0,2,2.0,4,spain,2008-08-22,lithuania,2008082235,Semi-Finals,200835,mens-olympics
4,Raul Lopez,19.0,0.0,3.0,0.0,1.0,7.0,8.0,1.0,2,3,2,0,0,2.0,7,spain,2008-08-22,lithuania,2008082235,Semi-Finals,200835,mens-olympics
5,Felipe Reyes,17.0,5.0,7.0,0.0,0.0,3.0,4.0,4.0,4,2,0,0,1,1.0,13,spain,2008-08-22,lithuania,2008082235,Semi-Finals,200835,mens-olympics
6,Jorge Garbajosa,15.0,3.0,7.0,2.0,3.0,0.0,0.0,0.0,1,1,1,0,0,0.0,8,spain,2008-08-22,lithuania,2008082235,Semi-Finals,200835,mens-olympics
7,Marc Gasol,14.0,2.0,5.0,0.0,0.0,2.0,3.0,0.0,1,0,0,1,0,4.0,6,spain,2008-08-22,lithuania,2008082235,Semi-Finals,200835,mens-olympics
8,Berni Rodriguez,13.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,3.0,2,spain,2008-08-22,lithuania,2008082235,Semi-Finals,200835,mens-olympics
9,Juan Carlos Navarro,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0,1.0,0,spain,2008-08-22,lithuania,2008082235,Semi-Finals,200835,mens-olympics
10,Alex Mumbru,4.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1,1,0,0,0,3.0,3,spain,2008-08-22,lithuania,2008082235,Semi-Finals,200835,mens-olympics
11,Totals,,26.0,61.0,4.0,16.0,35.0,44.0,14.0,33,14,7,1,11,22.0,91,spain,2008-08-22,lithuania,2008082235,Semi-Finals,200835,mens-olympics
