,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Marcelo Huertas,33.0,4,12,0,2,7,9,1,4,10,2,0,2,1,15,brazil,2012-07-29,australia,201207291,Group B,20121
1,Alex Garcia,29.0,1,4,1,2,1,2,0,2,0,0,0,1,3,4,brazil,2012-07-29,australia,201207291,Group B,20121
2,Tiago Splitter,26.0,2,10,0,0,3,3,1,7,0,1,0,1,4,7,brazil,2012-07-29,australia,201207291,Group B,20121
3,Anderson Varejao,25.0,6,7,0,0,0,0,4,7,1,2,0,1,4,12,brazil,2012-07-29,australia,201207291,Group B,20121
4,Leandro Barbosa,25.0,7,15,0,3,2,3,1,4,1,0,0,4,5,16,brazil,2012-07-29,australia,201207291,Group B,20121
5,Nene Hilario,21.0,4,6,0,0,2,2,1,7,1,1,2,1,2,10,brazil,2012-07-29,australia,201207291,Group B,20121
6,Marcelinho Machado,15.0,2,10,1,8,0,0,0,0,0,0,0,2,0,5,brazil,2012-07-29,australia,201207291,Group B,20121
7,Marcus Vinicius,11.0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,brazil,2012-07-29,australia,201207291,Group B,20121
8,Larry Taylor,7.0,1,3,0,0,0,0,2,2,0,0,0,1,2,2,brazil,2012-07-29,australia,201207291,Group B,20121
9,Guilherme Giovannoni,7.0,1,1,0,0,2,2,0,0,0,0,0,0,1,4,brazil,2012-07-29,australia,201207291,Group B,20121
10,Caio Torres,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brazil,2012-07-29,australia,201207291,Group B,20121
11,Totals,,28,68,2,15,17,21,10,35,13,6,2,15,24,75,brazil,2012-07-29,australia,201207291,Group B,20121
0,Joe Ingles,35.0,6,11,1,4,2,2,0,3,2,0,0,6,1,15,australia,2012-07-29,brazil,201207291,Group B,20121
1,Patty Mills,31.0,8,23,1,9,1,2,1,7,4,0,0,3,4,18,australia,2012-07-29,brazil,201207291,Group B,20121
2,Matthew Dellavedova,28.0,2,7,0,2,2,2,0,3,3,1,0,1,4,6,australia,2012-07-29,brazil,201207291,Group B,20121
3,Matt Nielsen,26.0,0,2,0,1,1,2,3,5,4,2,1,3,3,1,australia,2012-07-29,brazil,201207291,Group B,20121
4,David Andersen,24.0,5,11,2,5,2,2,2,8,0,0,0,1,4,14,australia,2012-07-29,brazil,201207291,Group B,20121
5,Brad Newley,22.0,1,4,0,1,1,2,0,2,1,1,0,0,0,3,australia,2012-07-29,brazil,201207291,Group B,20121
6,Aron Baynes,15.0,4,6,0,0,2,2,3,5,0,0,0,4,4,10,australia,2012-07-29,brazil,201207291,Group B,20121
7,Mark Worthington,10.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,australia,2012-07-29,brazil,201207291,Group B,20121
8,Aleks Maric,8.0,2,2,0,0,0,0,0,2,0,0,0,1,4,4,australia,2012-07-29,brazil,201207291,Group B,20121
9,Adam Gibson,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,australia,2012-07-29,brazil,201207291,Group B,20121
10,Totals,,28,66,4,22,11,14,9,36,14,4,1,19,26,71,australia,2012-07-29,brazil,201207291,Group B,20121
