,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Marouan Kechrid,40.0,4,11,2,7,2,2,0,4,3,0,0,4,2,12,tunisia,2012-07-29,nigeria,201207295,Group A,20125
1,Makram Ben Romdhane,33.0,6,14,0,2,0,0,5,12,3,2,1,7,4,12,tunisia,2012-07-29,nigeria,201207295,Group A,20125
2,Salah Mejri,29.0,1,8,0,1,0,2,3,10,3,0,3,0,5,2,tunisia,2012-07-29,nigeria,201207295,Group A,20125
3,Mourad El Mabrouk,24.0,3,5,2,3,0,0,0,1,2,0,0,1,5,8,tunisia,2012-07-29,nigeria,201207295,Group A,20125
4,Amine Rzig,24.0,7,9,4,5,0,0,1,2,1,0,0,3,2,18,tunisia,2012-07-29,nigeria,201207295,Group A,20125
5,Nizar Knioua,16.0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,tunisia,2012-07-29,nigeria,201207295,Group A,20125
6,Mehdi Labeyrie,13.0,2,5,0,3,0,1,0,2,1,0,0,2,0,4,tunisia,2012-07-29,nigeria,201207295,Group A,20125
7,Radhouane Slimane,8.0,0,3,0,2,0,0,1,2,0,0,0,0,1,0,tunisia,2012-07-29,nigeria,201207295,Group A,20125
8,Mohamed Hadidane,8.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,tunisia,2012-07-29,nigeria,201207295,Group A,20125
9,Mokhtar Ghyaza,5.0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,tunisia,2012-07-29,nigeria,201207295,Group A,20125
10,Totals,,23,57,8,23,2,5,10,34,15,2,4,19,25,56,tunisia,2012-07-29,nigeria,201207295,Group A,20125
0,Ike Diogu,32.0,6,12,0,2,1,1,4,10,1,0,0,1,3,13,nigeria,2012-07-29,tunisia,201207295,Group A,20125
1,Alade Aminu,31.0,6,14,0,0,3,7,5,9,0,2,1,2,3,15,nigeria,2012-07-29,tunisia,201207295,Group A,20125
2,Al-Farouq Aminu,30.0,3,9,1,3,3,6,4,9,1,4,1,5,2,10,nigeria,2012-07-29,tunisia,201207295,Group A,20125
3,Derrick Obasohan,26.0,1,6,1,2,3,4,0,3,1,1,0,1,2,6,nigeria,2012-07-29,tunisia,201207295,Group A,20125
4,Tony Skinn,20.0,2,8,0,3,3,3,0,0,3,1,0,0,1,7,nigeria,2012-07-29,tunisia,201207295,Group A,20125
5,Champ Oguchi,19.0,0,1,0,1,1,2,0,1,2,0,0,0,1,1,nigeria,2012-07-29,tunisia,201207295,Group A,20125
6,Adeola Dagunduro,17.0,1,7,0,2,4,6,1,1,1,1,0,1,3,6,nigeria,2012-07-29,tunisia,201207295,Group A,20125
7,Olumide Oyedeji,12.0,1,1,0,0,0,2,0,1,0,1,1,1,1,2,nigeria,2012-07-29,tunisia,201207295,Group A,20125
8,Ejike Ugboaja,6.0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,nigeria,2012-07-29,tunisia,201207295,Group A,20125
9,Koko Archibong,5.0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,nigeria,2012-07-29,tunisia,201207295,Group A,20125
10,Richard Oruche,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nigeria,2012-07-29,tunisia,201207295,Group A,20125
11,Totals,,20,60,2,13,18,31,16,38,9,11,3,12,17,60,nigeria,2012-07-29,tunisia,201207295,Group A,20125
