,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Kevin Durant,28.0,6,13,3,5,7,7,1,9,2,2,2,0,1,22,united states,2012-07-29,france,201207293,Group A,20123
1,LeBron James,25.0,4,6,1,2,0,0,1,5,8,2,0,1,2,9,united states,2012-07-29,france,201207293,Group A,20123
2,Deron Williams,21.0,1,6,0,3,1,2,1,4,6,0,0,3,2,3,united states,2012-07-29,france,201207293,Group A,20123
3,Chris Paul,20.0,2,4,1,2,0,0,0,1,2,2,0,2,2,5,united states,2012-07-29,france,201207293,Group A,20123
4,Russell Westbrook,19.0,2,6,0,0,5,6,0,4,3,0,0,2,4,9,united states,2012-07-29,france,201207293,Group A,20123
5,Carmelo Anthony,17.0,3,10,0,2,3,4,3,9,0,1,0,0,3,9,united states,2012-07-29,france,201207293,Group A,20123
6,Kevin Love,14.0,5,8,1,2,3,4,1,3,0,1,0,0,3,14,united states,2012-07-29,france,201207293,Group A,20123
7,James Harden,14.0,2,5,0,3,1,2,0,0,1,1,0,1,2,5,united states,2012-07-29,france,201207293,Group A,20123
8,Kobe Bryant,12.0,2,6,2,5,4,4,1,1,0,0,0,1,3,10,united states,2012-07-29,france,201207293,Group A,20123
9,Andre Iguodala,11.0,0,1,0,1,1,2,0,1,2,1,1,2,0,1,united states,2012-07-29,france,201207293,Group A,20123
10,Tyson Chandler,11.0,3,5,0,0,2,5,4,9,3,0,1,1,3,8,united states,2012-07-29,france,201207293,Group A,20123
11,Anthony Davis,8.0,1,2,0,0,1,2,1,3,0,0,1,1,1,3,united states,2012-07-29,france,201207293,Group A,20123
12,Totals,,31,72,8,25,28,38,13,49,27,10,5,14,26,98,united states,2012-07-29,france,201207293,Group A,20123
0,Boris Diaw,26.0,4,8,0,2,1,2,2,6,1,0,0,1,4,9,france,2012-07-29,united states,201207293,Group A,20123
1,Tony Parker,26.0,4,11,0,2,2,3,1,1,1,0,0,4,3,10,france,2012-07-29,united states,201207293,Group A,20123
2,Nando De Colo,23.0,3,9,1,5,0,0,0,2,3,3,0,5,3,7,france,2012-07-29,united states,201207293,Group A,20123
3,Florent Pietrus,21.0,2,4,0,2,4,4,1,3,0,0,1,1,1,8,france,2012-07-29,united states,201207293,Group A,20123
4,Ronny Turiaf,21.0,2,4,0,0,3,8,2,9,2,0,0,0,1,7,france,2012-07-29,united states,201207293,Group A,20123
5,Mickael Gelabale,19.0,2,5,0,2,0,0,0,4,2,1,0,1,3,4,france,2012-07-29,united states,201207293,Group A,20123
6,Nicolas Batum,18.0,2,6,0,4,3,4,1,2,0,0,1,2,2,7,france,2012-07-29,united states,201207293,Group A,20123
7,Ali Traore,13.0,5,8,0,0,2,2,1,5,1,0,0,4,1,12,france,2012-07-29,united states,201207293,Group A,20123
8,Yannick Bokolo,12.0,1,2,1,2,1,2,0,0,0,0,0,0,2,4,france,2012-07-29,united states,201207293,Group A,20123
9,Yakhouba Diawara,10.0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,france,2012-07-29,united states,201207293,Group A,20123
10,Kevin Seraphin,8.0,1,5,0,0,1,2,0,1,0,0,1,0,4,3,france,2012-07-29,united states,201207293,Group A,20123
11,Fabien Causeur,5.0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,france,2012-07-29,united states,201207293,Group A,20123
12,Totals,,26,66,2,22,17,27,8,33,10,4,3,18,26,71,france,2012-07-29,united states,201207293,Group A,20123
