,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Luol Deng,40.0,3,13,2,6,4,8,1,8,7,2,0,4,2,12,great britain,2012-07-31,brazil,201207318,Group B,20128,mens-olympics
1,Pops Mensah Bonsu,34.0,5,14,0,0,3,4,3,12,0,1,0,3,2,13,great britain,2012-07-31,brazil,201207318,Group B,20128,mens-olympics
2,Nathan Reinking,32.0,5,14,3,6,0,0,1,3,0,0,1,0,2,13,great britain,2012-07-31,brazil,201207318,Group B,20128,mens-olympics
3,Joel Freeland,30.0,4,9,0,2,1,1,1,3,0,0,0,3,4,9,great britain,2012-07-31,brazil,201207318,Group B,20128,mens-olympics
4,Daniel Clark,22.0,4,7,1,4,0,0,1,5,0,0,0,3,2,9,great britain,2012-07-31,brazil,201207318,Group B,20128,mens-olympics
5,Andrew Sullivan,15.0,1,1,0,0,0,0,1,2,0,1,0,1,3,2,great britain,2012-07-31,brazil,201207318,Group B,20128,mens-olympics
6,Robert Archibald,12.0,0,0,0,0,1,2,0,0,0,0,0,2,2,1,great britain,2012-07-31,brazil,201207318,Group B,20128,mens-olympics
7,Andrew Lawrence,8.0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,great britain,2012-07-31,brazil,201207318,Group B,20128,mens-olympics
8,Mike Lenzly,6.0,1,1,1,1,0,0,0,1,1,0,0,1,0,3,great britain,2012-07-31,brazil,201207318,Group B,20128,mens-olympics
9,Kyle Johnson,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,great britain,2012-07-31,brazil,201207318,Group B,20128,mens-olympics
10,Totals,,23,59,7,19,9,15,8,35,9,4,1,18,21,62,great britain,2012-07-31,brazil,201207318,Group B,20128,mens-olympics
0,Leandro Barbosa,30.0,3,11,1,6,0,0,1,4,0,2,0,1,2,7,brazil,2012-07-31,great britain,201207318,Group B,20128,mens-olympics
1,Nene Hilario,29.0,2,3,0,0,0,1,2,6,0,0,3,4,1,4,brazil,2012-07-31,great britain,201207318,Group B,20128,mens-olympics
2,Tiago Splitter,28.0,9,11,0,0,3,7,2,6,1,1,0,2,3,21,brazil,2012-07-31,great britain,201207318,Group B,20128,mens-olympics
3,Marcus Vinicius,26.0,3,10,2,6,0,0,0,4,2,1,0,2,0,8,brazil,2012-07-31,great britain,201207318,Group B,20128,mens-olympics
4,Marcelo Huertas,25.0,5,13,0,4,3,3,0,2,8,0,0,2,2,13,brazil,2012-07-31,great britain,201207318,Group B,20128,mens-olympics
5,Alex Garcia,21.0,1,3,0,0,0,0,0,2,1,3,0,0,5,2,brazil,2012-07-31,great britain,201207318,Group B,20128,mens-olympics
6,Anderson Varejao,19.0,3,5,0,0,2,2,3,6,0,2,0,0,4,8,brazil,2012-07-31,great britain,201207318,Group B,20128,mens-olympics
7,Larry Taylor,10.0,1,4,0,1,0,0,0,0,1,1,0,0,0,2,brazil,2012-07-31,great britain,201207318,Group B,20128,mens-olympics
8,Raul Neto,6.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,brazil,2012-07-31,great britain,201207318,Group B,20128,mens-olympics
9,Guilherme Giovannoni,5.0,0,3,0,3,0,0,0,0,1,0,0,0,2,0,brazil,2012-07-31,great britain,201207318,Group B,20128,mens-olympics
10,Marcelinho Machado,3.0,1,2,0,1,0,1,0,0,0,0,0,0,1,2,brazil,2012-07-31,great britain,201207318,Group B,20128,mens-olympics
11,Totals,,28,66,3,22,8,14,8,30,14,10,3,12,20,67,brazil,2012-07-31,great britain,201207318,Group B,20128,mens-olympics
