,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Luol Deng,34.0,10,20,2,7,4,4,0,9,7,1,0,4,4,26,great britain,2012-08-02,spain,2012080217,Group B,201217
1,Joel Freeland,32.0,10,19,3,6,2,2,3,7,0,1,1,1,4,25,great britain,2012-08-02,spain,2012080217,Group B,201217
2,Nathan Reinking,29.0,2,6,1,4,0,0,0,0,1,0,0,1,5,5,great britain,2012-08-02,spain,2012080217,Group B,201217
3,Andrew Sullivan,23.0,1,3,0,1,1,3,0,1,1,0,0,2,2,3,great britain,2012-08-02,spain,2012080217,Group B,201217
4,Andrew Lawrence,23.0,1,3,1,1,2,2,0,2,1,1,0,2,4,5,great britain,2012-08-02,spain,2012080217,Group B,201217
5,Pops Mensah Bonsu,21.0,1,5,0,1,1,1,1,4,1,0,0,0,4,3,great britain,2012-08-02,spain,2012080217,Group B,201217
6,Robert Archibald,19.0,1,2,0,0,0,2,1,6,1,0,0,2,3,2,great britain,2012-08-02,spain,2012080217,Group B,201217
7,Daniel Clark,11.0,3,5,2,2,0,0,3,3,0,1,0,1,0,8,great britain,2012-08-02,spain,2012080217,Group B,201217
8,Kyle Johnson,5.0,0,1,0,1,1,2,0,0,0,0,0,0,0,1,great britain,2012-08-02,spain,2012080217,Group B,201217
9,Kieron Achara,2.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,great britain,2012-08-02,spain,2012080217,Group B,201217
10,Totals,,29,65,9,24,11,16,8,32,12,4,1,13,27,78,great britain,2012-08-02,spain,2012080217,Group B,201217
0,Pau Gasol,31.0,6,14,1,2,4,6,1,3,5,0,2,2,0,17,spain,2012-08-02,great britain,2012080217,Group B,201217
1,Rudy Fernandez,29.0,3,6,1,3,2,4,0,4,7,0,1,1,1,9,spain,2012-08-02,great britain,2012080217,Group B,201217
2,Jose Calderon,27.0,6,11,1,4,6,8,0,4,2,2,0,0,2,19,spain,2012-08-02,great britain,2012080217,Group B,201217
3,Fernando San Emeterio,27.0,1,6,0,2,1,2,4,10,3,1,0,1,1,3,spain,2012-08-02,great britain,2012080217,Group B,201217
4,Marc Gasol,25.0,5,10,0,0,2,4,0,3,1,0,0,3,4,12,spain,2012-08-02,great britain,2012080217,Group B,201217
5,Sergio Llull,18.0,1,6,0,3,3,4,0,0,1,0,0,2,1,5,spain,2012-08-02,great britain,2012080217,Group B,201217
6,Serge Ibaka,12.0,2,4,0,0,1,2,2,3,1,0,2,2,3,5,spain,2012-08-02,great britain,2012080217,Group B,201217
7,Felipe Reyes,11.0,1,3,0,1,2,2,4,5,0,0,1,1,4,4,spain,2012-08-02,great britain,2012080217,Group B,201217
8,Sergio Rodriguez,7.0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,spain,2012-08-02,great britain,2012080217,Group B,201217
9,Victor Claver,6.0,1,3,1,2,0,0,0,1,0,0,0,1,0,3,spain,2012-08-02,great britain,2012080217,Group B,201217
10,Victor Sada,6.0,1,1,0,0,0,0,0,1,0,0,0,0,1,2,spain,2012-08-02,great britain,2012080217,Group B,201217
11,Totals,,27,64,4,17,21,32,12,37,22,3,6,13,17,79,spain,2012-08-02,great britain,2012080217,Group B,201217
