,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Yi Jianlian,30.0,1,9,0,0,3,5,0,6,0,0,2,2,3,5,china,2012-08-04,brazil,2012080420,Group B,201220
1,Wei Liu,28.0,1,2,0,0,3,4,0,2,1,0,0,1,2,5,china,2012-08-04,brazil,2012080420,Group B,201220
2,Guo Ailun,26.0,4,7,0,0,0,0,1,2,0,0,0,1,1,8,china,2012-08-04,brazil,2012080420,Group B,201220
3,Chen Jianghua,25.0,4,12,0,2,2,5,0,4,2,0,0,2,1,10,china,2012-08-04,brazil,2012080420,Group B,201220
4,Zhu Fangyu,24.0,2,6,1,1,8,8,0,3,1,0,0,0,3,13,china,2012-08-04,brazil,2012080420,Group B,201220
5,Wang Shipeng,16.0,1,3,1,1,0,0,0,1,0,0,0,1,0,3,china,2012-08-04,brazil,2012080420,Group B,201220
6,Yi Li,15.0,2,6,0,1,1,2,2,2,0,0,0,0,0,5,china,2012-08-04,brazil,2012080420,Group B,201220
7,Ding Jinhui,15.0,2,7,0,2,1,4,2,4,0,0,0,2,2,5,china,2012-08-04,brazil,2012080420,Group B,201220
8,Zhou Peng,9.0,1,2,0,1,1,2,0,2,0,0,0,0,1,3,china,2012-08-04,brazil,2012080420,Group B,201220
9,Max Zhang,8.0,1,1,0,0,0,0,0,2,1,0,0,0,3,2,china,2012-08-04,brazil,2012080420,Group B,201220
10,Wang Zhizhi,3.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,china,2012-08-04,brazil,2012080420,Group B,201220
11,Totals,,19,55,2,8,19,30,5,29,6,0,2,9,16,59,china,2012-08-04,brazil,2012080420,Group B,201220
0,Guilherme Giovannoni,21.0,5,12,3,5,0,0,2,3,1,0,0,0,4,13,brazil,2012-08-04,china,2012080420,Group B,201220
1,Leandro Barbosa,21.0,4,9,3,5,2,2,0,1,1,0,0,0,2,13,brazil,2012-08-04,china,2012080420,Group B,201220
2,Alex Garcia,21.0,0,4,0,2,0,0,1,5,5,0,0,1,3,0,brazil,2012-08-04,china,2012080420,Group B,201220
3,Marcelinho Machado,19.0,4,9,2,6,0,0,1,3,2,1,0,0,2,10,brazil,2012-08-04,china,2012080420,Group B,201220
4,Anderson Varejao,19.0,3,6,0,0,3,4,5,13,2,0,1,0,2,9,brazil,2012-08-04,china,2012080420,Group B,201220
5,Larry Taylor,18.0,1,3,0,1,0,0,0,3,6,0,1,0,3,2,brazil,2012-08-04,china,2012080420,Group B,201220
6,Marcelo Huertas,17.0,3,4,2,2,0,0,1,1,4,0,0,2,1,8,brazil,2012-08-04,china,2012080420,Group B,201220
7,Marcus Vinicius,17.0,6,9,2,3,0,0,0,3,1,0,0,1,2,14,brazil,2012-08-04,china,2012080420,Group B,201220
8,Caio Torres,16.0,2,5,0,1,2,4,3,4,1,0,0,0,4,6,brazil,2012-08-04,china,2012080420,Group B,201220
9,Tiago Splitter,13.0,5,11,0,0,2,3,3,4,0,1,1,0,2,12,brazil,2012-08-04,china,2012080420,Group B,201220
10,Nene Hilario,11.0,2,2,0,0,2,2,2,5,2,1,0,1,0,6,brazil,2012-08-04,china,2012080420,Group B,201220
11,Raul Neto,8.0,2,4,0,0,1,1,0,0,2,2,0,1,0,5,brazil,2012-08-04,china,2012080420,Group B,201220
12,Totals,,37,78,12,25,12,16,18,45,27,5,3,6,25,98,brazil,2012-08-04,china,2012080420,Group B,201220
