,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Makram Ben Romdhane,35.0,6,13,0,1,5,6,5,8,1,2,1,4,1,17,tunisia,2012-08-04,france,2012080421,Group A,201221
1,Mourad El Mabrouk,32.0,2,7,0,4,0,0,1,1,1,0,0,2,4,4,tunisia,2012-08-04,france,2012080421,Group A,201221
2,Salah Mejri,25.0,5,8,0,1,1,2,5,7,3,2,1,1,3,11,tunisia,2012-08-04,france,2012080421,Group A,201221
3,Radhouane Slimane,24.0,4,8,1,4,0,0,1,5,1,2,0,0,3,9,tunisia,2012-08-04,france,2012080421,Group A,201221
4,Marouan Laghnej,22.0,1,5,0,2,0,0,0,2,3,1,0,3,1,2,tunisia,2012-08-04,france,2012080421,Group A,201221
5,Nizar Knioua,18.0,1,4,1,2,0,0,0,1,2,2,0,6,0,3,tunisia,2012-08-04,france,2012080421,Group A,201221
6,Mokhtar Ghyaza,15.0,1,3,0,0,1,1,0,1,0,1,0,1,0,3,tunisia,2012-08-04,france,2012080421,Group A,201221
7,Mohamed Hadidane,14.0,7,9,3,4,3,4,0,2,1,0,0,0,2,20,tunisia,2012-08-04,france,2012080421,Group A,201221
8,Amine Rzig,10.0,0,3,0,1,0,0,1,2,0,1,0,0,0,0,tunisia,2012-08-04,france,2012080421,Group A,201221
9,Mehdi Labeyrie,5.0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,tunisia,2012-08-04,france,2012080421,Group A,201221
10,Totals,,27,63,5,19,10,13,13,29,12,12,2,17,14,69,tunisia,2012-08-04,france,2012080421,Group A,201221
0,Boris Diaw,31.0,0,0,0,0,0,0,2,4,5,0,2,2,1,0,france,2012-08-04,tunisia,2012080421,Group A,201221
1,Tony Parker,29.0,9,13,2,3,2,2,0,2,3,3,0,3,2,22,france,2012-08-04,tunisia,2012080421,Group A,201221
2,Nicolas Batum,27.0,6,9,2,5,5,5,1,8,3,0,2,2,1,19,france,2012-08-04,tunisia,2012080421,Group A,201221
3,Kevin Seraphin,22.0,5,8,0,0,0,0,0,3,0,2,2,2,2,10,france,2012-08-04,tunisia,2012080421,Group A,201221
4,Nando De Colo,22.0,2,6,0,3,2,2,1,3,4,2,0,4,3,6,france,2012-08-04,tunisia,2012080421,Group A,201221
5,Mickael Gelabale,17.0,3,6,0,2,1,1,1,1,1,1,1,2,1,7,france,2012-08-04,tunisia,2012080421,Group A,201221
6,Yakhouba Diawara,16.0,1,6,0,4,0,0,0,1,2,0,0,1,5,2,france,2012-08-04,tunisia,2012080421,Group A,201221
7,Ali Traore,14.0,2,4,0,0,0,0,1,3,1,1,0,2,1,4,france,2012-08-04,tunisia,2012080421,Group A,201221
8,Yannick Bokolo,11.0,1,1,1,1,0,0,0,0,0,0,1,1,0,3,france,2012-08-04,tunisia,2012080421,Group A,201221
9,Ronny Turiaf,6.0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,france,2012-08-04,tunisia,2012080421,Group A,201221
10,Fabien Causeur,5.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,france,2012-08-04,tunisia,2012080421,Group A,201221
11,Totals,,29,55,5,19,10,10,6,25,19,10,8,20,18,73,france,2012-08-04,tunisia,2012080421,Group A,201221
