,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Nathan Reinking,31.0,4,14,4,10,0,0,0,1,1,1,0,1,2,12,great britain,2012-08-06,china,2012080627,Group B,201227
1,Andrew Lawrence,28.0,1,8,1,5,3,4,1,5,6,2,1,1,3,6,great britain,2012-08-06,china,2012080627,Group B,201227
2,Luol Deng,24.0,3,11,0,4,0,0,0,3,4,1,0,0,2,6,great britain,2012-08-06,china,2012080627,Group B,201227
3,Robert Archibald,24.0,2,3,0,0,4,4,1,9,1,0,0,0,1,8,great britain,2012-08-06,china,2012080627,Group B,201227
4,Andrew Sullivan,23.0,4,6,2,3,1,2,1,5,3,1,0,0,5,11,great britain,2012-08-06,china,2012080627,Group B,201227
5,Kieron Achara,21.0,4,8,3,6,5,7,3,6,1,0,3,0,3,16,great britain,2012-08-06,china,2012080627,Group B,201227
6,Eric Boateng,14.0,4,8,0,0,2,3,2,6,1,0,0,0,2,10,great britain,2012-08-06,china,2012080627,Group B,201227
7,Kyle Johnson,12.0,3,9,3,7,0,0,2,2,0,0,0,1,1,9,great britain,2012-08-06,china,2012080627,Group B,201227
8,Daniel Clark,12.0,1,1,0,0,0,0,1,1,2,0,1,1,1,2,great britain,2012-08-06,china,2012080627,Group B,201227
9,Joel Freeland,10.0,5,9,0,1,0,0,3,6,0,0,0,1,4,10,great britain,2012-08-06,china,2012080627,Group B,201227
10,Totals,,31,77,13,36,15,20,14,44,19,5,5,5,24,90,great britain,2012-08-06,china,2012080627,Group B,201227
0,Yi Jianlian,34.0,2,7,0,0,6,8,3,14,3,1,3,4,2,10,china,2012-08-06,great britain,2012080627,Group B,201227
1,Zhou Peng,26.0,2,5,1,3,3,4,1,3,1,0,0,1,2,8,china,2012-08-06,great britain,2012080627,Group B,201227
2,Wang Zhizhi,25.0,5,13,0,1,1,1,0,5,0,0,0,1,4,11,china,2012-08-06,great britain,2012080627,Group B,201227
3,Yi Li,22.0,3,8,0,2,0,0,0,0,0,0,2,1,2,6,china,2012-08-06,great britain,2012080627,Group B,201227
4,Wei Liu,20.0,2,5,0,1,2,2,0,3,4,0,0,1,2,6,china,2012-08-06,great britain,2012080627,Group B,201227
5,Wang Shipeng,18.0,3,5,3,4,0,3,0,2,0,0,0,3,1,9,china,2012-08-06,great britain,2012080627,Group B,201227
6,Chen Jianghua,16.0,0,4,0,1,0,0,0,2,0,1,0,2,1,0,china,2012-08-06,great britain,2012080627,Group B,201227
7,Max Zhang,14.0,2,2,0,0,0,2,2,3,0,0,1,1,2,4,china,2012-08-06,great britain,2012080627,Group B,201227
8,Zhu Fangyu,13.0,0,2,0,2,1,2,0,0,0,0,0,1,0,1,china,2012-08-06,great britain,2012080627,Group B,201227
9,Ding Jinhui,8.0,0,0,0,0,1,2,0,0,0,0,0,0,3,1,china,2012-08-06,great britain,2012080627,Group B,201227
10,Guo Ailun,5.0,0,1,0,1,2,2,0,0,0,0,0,0,1,2,china,2012-08-06,great britain,2012080627,Group B,201227
11,Totals,,19,52,4,15,16,26,6,32,8,2,6,15,20,58,china,2012-08-06,great britain,2012080627,Group B,201227
