,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Patty Mills,28.0,7,15,4,9,3,4,0,2,5,2,0,0,1,21,australia,2016-08-06,france,201608060,Group A,20160,mens-olympics
1,Matthew Dellavedova,27.0,2,6,0,1,0,0,1,3,10,3,0,1,3,4,australia,2016-08-06,france,201608060,Group A,20160,mens-olympics
2,Joe Ingles,25.0,2,6,0,3,0,0,0,2,6,2,0,1,4,4,australia,2016-08-06,france,201608060,Group A,20160,mens-olympics
3,Aron Baynes,24.0,5,14,0,0,4,6,6,8,1,0,1,2,1,14,australia,2016-08-06,france,201608060,Group A,20160,mens-olympics
4,Andrew Bogut,23.0,9,10,0,0,0,0,0,4,5,0,1,1,2,18,australia,2016-08-06,france,201608060,Group A,20160,mens-olympics
5,Kevin Lisch,21.0,3,4,1,2,0,0,0,0,1,1,0,1,2,7,australia,2016-08-06,france,201608060,Group A,20160,mens-olympics
6,David Andersen,18.0,3,4,0,0,1,1,1,5,0,0,0,0,3,7,australia,2016-08-06,france,201608060,Group A,20160,mens-olympics
7,Ryan Broekhoff,15.0,2,6,1,4,2,4,0,4,0,2,0,1,1,7,australia,2016-08-06,france,201608060,Group A,20160,mens-olympics
8,Cameron Bairstow,14.0,1,2,0,0,0,0,0,3,1,0,0,0,3,2,australia,2016-08-06,france,201608060,Group A,20160,mens-olympics
9,Damian Martin,4.0,1,1,1,1,0,0,0,0,0,0,0,0,1,3,australia,2016-08-06,france,201608060,Group A,20160,mens-olympics
10,Brock Motum,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,australia,2016-08-06,france,201608060,Group A,20160,mens-olympics
11,Chris Goulding,1.0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,australia,2016-08-06,france,201608060,Group A,20160,mens-olympics
12,Totals,,35,70,7,22,10,15,8,31,29,11,2,7,21,87,australia,2016-08-06,france,201608060,Group A,20160,mens-olympics
0,Boris Diaw,31.0,4,11,1,5,0,0,2,5,2,2,2,2,3,9,france,2016-08-06,australia,201608060,Group A,20160,mens-olympics
1,Rudy Gobert,25.0,1,3,0,0,3,4,2,7,0,1,3,3,3,5,france,2016-08-06,australia,201608060,Group A,20160,mens-olympics
2,Nando De Colo,24.0,2,6,0,0,2,2,0,2,3,1,0,1,3,6,france,2016-08-06,australia,201608060,Group A,20160,mens-olympics
3,Nicolas Batum,22.0,2,3,1,2,0,0,0,2,2,1,0,4,2,5,france,2016-08-06,australia,201608060,Group A,20160,mens-olympics
4,Tony Parker,20.0,6,14,1,5,5,6,0,2,2,0,0,0,1,18,france,2016-08-06,australia,201608060,Group A,20160,mens-olympics
5,Mickael Gelabale,19.0,5,5,1,1,2,2,0,4,0,0,0,0,3,13,france,2016-08-06,australia,201608060,Group A,20160,mens-olympics
6,Thomas Heurtel,18.0,4,6,0,1,0,0,0,1,3,0,0,3,1,8,france,2016-08-06,australia,201608060,Group A,20160,mens-olympics
7,Antoine Diot,12.0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,france,2016-08-06,australia,201608060,Group A,20160,mens-olympics
8,Joffrey Lauvergne,10.0,0,4,0,0,0,0,0,3,0,0,0,1,1,0,france,2016-08-06,australia,201608060,Group A,20160,mens-olympics
9,Kim Tillie,9.0,0,2,0,0,2,2,1,2,0,0,0,1,1,2,france,2016-08-06,australia,201608060,Group A,20160,mens-olympics
10,Charles Kahudi,5.0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,france,2016-08-06,australia,201608060,Group A,20160,mens-olympics
11,Florent Pietrus,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,france,2016-08-06,australia,201608060,Group A,20160,mens-olympics
12,Totals,,24,57,4,14,14,16,5,29,12,6,5,16,20,66,france,2016-08-06,australia,201608060,Group A,20160,mens-olympics
