,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Yi Jianlian,30.0,8,19,2,4,7,8,0,6,0,0,1,3,2,25,china,2016-08-06,united-states,201608062,Group A,20162,mens-olympics
1,Zhao Jiwei,24.0,1,6,1,5,0,0,0,6,5,1,0,5,2,3,china,2016-08-06,united-states,201608062,Group A,20162,mens-olympics
2,Ding Yanyuhang,23.0,1,6,0,1,2,2,0,1,1,0,0,0,1,4,china,2016-08-06,united-states,201608062,Group A,20162,mens-olympics
3,Zhou Peng,21.0,0,4,0,1,0,0,0,2,2,0,0,2,1,0,china,2016-08-06,united-states,201608062,Group A,20162,mens-olympics
4,Xiaochuan Di,18.0,1,3,1,3,0,0,0,2,2,2,0,2,3,3,china,2016-08-06,united-states,201608062,Group A,20162,mens-olympics
5,Zhou Qi,18.0,0,2,0,1,3,4,0,1,0,1,1,2,4,3,china,2016-08-06,united-states,201608062,Group A,20162,mens-olympics
6,Guo Ailun,16.0,3,6,0,1,0,0,2,2,4,1,0,5,3,6,china,2016-08-06,united-states,201608062,Group A,20162,mens-olympics
7,Wang Zhelin,16.0,2,5,0,0,1,2,0,1,1,1,0,1,4,5,china,2016-08-06,united-states,201608062,Group A,20162,mens-olympics
8,Sui Ran,10.0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,china,2016-08-06,united-states,201608062,Group A,20162,mens-olympics
9,Li Muhao,9.0,0,0,0,0,1,4,0,0,0,0,0,2,4,1,china,2016-08-06,united-states,201608062,Group A,20162,mens-olympics
10,Li Gen,9.0,2,2,1,1,2,3,0,0,0,1,0,1,2,7,china,2016-08-06,united-states,201608062,Group A,20162,mens-olympics
11,Zou Yuchen,7.0,2,3,0,0,1,1,1,2,0,0,0,0,5,5,china,2016-08-06,united-states,201608062,Group A,20162,mens-olympics
12,Totals,,20,56,5,17,17,24,4,24,16,7,2,23,33,62,china,2016-08-06,united-states,201608062,Group A,20162,mens-olympics
0,Kevin Durant,22.0,10,14,5,8,0,0,0,4,6,2,0,1,0,25,united-states,2016-08-06,china,201608062,Group A,20162,mens-olympics
1,Carmelo Anthony,20.0,2,5,1,3,4,4,1,7,2,0,1,1,0,9,united-states,2016-08-06,china,201608062,Group A,20162,mens-olympics
2,Kyrie Irving,19.0,4,8,4,5,0,0,1,2,5,1,0,1,1,12,united-states,2016-08-06,china,201608062,Group A,20162,mens-olympics
3,Klay Thompson,19.0,1,6,0,3,0,0,0,2,1,2,1,1,3,2,united-states,2016-08-06,china,201608062,Group A,20162,mens-olympics
4,Paul George,18.0,4,10,0,4,7,7,1,3,3,1,1,0,4,15,united-states,2016-08-06,china,201608062,Group A,20162,mens-olympics
5,DeMar DeRozan,18.0,2,5,0,0,2,3,0,0,1,2,0,3,0,6,united-states,2016-08-06,china,201608062,Group A,20162,mens-olympics
6,Jimmy Butler,16.0,2,5,0,1,4,4,3,6,4,1,0,0,0,8,united-states,2016-08-06,china,201608062,Group A,20162,mens-olympics
7,DeMarcus Cousins,15.0,6,8,0,0,5,5,2,5,2,0,0,0,4,17,united-states,2016-08-06,china,201608062,Group A,20162,mens-olympics
8,Draymond Green,14.0,1,3,0,1,1,2,1,4,3,2,0,0,2,3,united-states,2016-08-06,china,201608062,Group A,20162,mens-olympics
9,Kyle Lowry,13.0,0,1,0,1,7,10,1,3,3,2,0,2,1,7,united-states,2016-08-06,china,201608062,Group A,20162,mens-olympics
10,DeAndre Jordan,13.0,2,3,0,0,3,10,4,7,0,1,0,0,2,7,united-states,2016-08-06,china,201608062,Group A,20162,mens-olympics
11,Harrison Barnes,13.0,4,6,0,1,0,0,2,4,1,1,0,0,2,8,united-states,2016-08-06,china,201608062,Group A,20162,mens-olympics
12,Totals,,38,74,10,27,33,45,16,47,31,15,3,9,19,119,united-states,2016-08-06,china,201608062,Group A,20162,mens-olympics
