,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Nestor Colmenares,31.0,5,8,0,0,1,3,2,6,1,2,1,2,1,11,venezuela,2016-08-06,serbia,201608061,Group A,20161,mens-olympics
1,John Cox,29.0,3,9,0,2,0,0,0,1,2,1,0,2,2,6,venezuela,2016-08-06,serbia,201608061,Group A,20161,mens-olympics
2,Jose Vargas,26.0,4,14,2,7,2,2,3,5,1,0,0,1,4,12,venezuela,2016-08-06,serbia,201608061,Group A,20161,mens-olympics
3,Greg Echenique,24.0,5,7,0,0,2,3,4,5,1,0,0,1,4,12,venezuela,2016-08-06,serbia,201608061,Group A,20161,mens-olympics
4,Gregory Vargas,23.0,1,5,0,3,4,5,0,2,5,3,0,2,3,6,venezuela,2016-08-06,serbia,201608061,Group A,20161,mens-olympics
5,Heissler Guillent,15.0,2,7,0,3,0,0,1,1,3,1,0,0,1,4,venezuela,2016-08-06,serbia,201608061,Group A,20161,mens-olympics
6,David Cubillan,14.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,venezuela,2016-08-06,serbia,201608061,Group A,20161,mens-olympics
7,Dwight Lewis,14.0,2,10,1,5,0,0,2,2,0,0,0,2,1,5,venezuela,2016-08-06,serbia,201608061,Group A,20161,mens-olympics
8,Miguel Ruiz,8.0,0,1,0,0,3,4,0,0,0,1,0,0,1,3,venezuela,2016-08-06,serbia,201608061,Group A,20161,mens-olympics
9,Windi Graterol,5.0,0,1,0,1,0,0,0,1,0,0,0,1,3,0,venezuela,2016-08-06,serbia,201608061,Group A,20161,mens-olympics
10,Miguel Marriaga,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,venezuela,2016-08-06,serbia,201608061,Group A,20161,mens-olympics
11,Anthony Perez,5.0,1,1,1,1,0,0,0,0,0,0,0,0,2,3,venezuela,2016-08-06,serbia,201608061,Group A,20161,mens-olympics
12,Totals,,23,63,4,22,12,17,12,23,15,8,1,11,22,62,venezuela,2016-08-06,serbia,201608061,Group A,20161,mens-olympics
0,Bogdan Bogdanovic,26.0,8,12,3,5,0,0,0,1,2,1,1,1,2,19,serbia,2016-08-06,venezuela,201608061,Group A,20161,mens-olympics
1,Milos Teodosic,25.0,1,5,1,4,2,2,0,4,2,0,0,6,2,5,serbia,2016-08-06,venezuela,201608061,Group A,20161,mens-olympics
2,Nikola Jokic,19.0,2,2,0,0,0,0,1,7,3,0,1,2,3,4,serbia,2016-08-06,venezuela,201608061,Group A,20161,mens-olympics
3,Stefan Jovic,18.0,2,5,0,1,1,1,1,3,2,2,0,2,0,5,serbia,2016-08-06,venezuela,201608061,Group A,20161,mens-olympics
4,Milan Macvan,18.0,3,6,0,0,3,4,4,5,1,0,0,0,4,9,serbia,2016-08-06,venezuela,201608061,Group A,20161,mens-olympics
5,Nemanja Nedovic,18.0,3,8,1,4,0,0,0,1,4,1,0,2,1,7,serbia,2016-08-06,venezuela,201608061,Group A,20161,mens-olympics
6,Nikola Kalinic,17.0,0,1,0,1,0,0,0,1,1,0,0,0,3,0,serbia,2016-08-06,venezuela,201608061,Group A,20161,mens-olympics
7,Miroslav Raduljica,15.0,7,8,0,0,4,4,1,4,3,0,0,2,2,18,serbia,2016-08-06,venezuela,201608061,Group A,20161,mens-olympics
8,Stefan Markovic,14.0,1,1,0,0,0,0,0,2,2,0,0,1,0,2,serbia,2016-08-06,venezuela,201608061,Group A,20161,mens-olympics
9,Marko Simonovic,14.0,2,3,1,2,1,2,0,0,1,2,1,0,1,6,serbia,2016-08-06,venezuela,201608061,Group A,20161,mens-olympics
10,Stefan Bircevic,10.0,2,2,0,0,2,2,0,2,1,1,0,0,3,6,serbia,2016-08-06,venezuela,201608061,Group A,20161,mens-olympics
11,Vladimir Stimac,6.0,1,3,0,0,3,6,4,8,0,0,0,0,1,5,serbia,2016-08-06,venezuela,201608061,Group A,20161,mens-olympics
12,Totals,,32,56,6,17,16,21,11,38,22,7,3,16,22,86,serbia,2016-08-06,venezuela,201608061,Group A,20161,mens-olympics
