,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Mantas Kalnietis,31.0,5,8,1,3,10,12,1,4,12,1,1,2,1,21,lithuania,2016-08-09,nigeria,2016080911,Group B,201611,mens-olympics
1,Jonas Maciulis,29.0,8,14,3,3,2,2,0,4,2,1,1,2,0,21,lithuania,2016-08-09,nigeria,2016080911,Group B,201611,mens-olympics
2,Renaldas Seibutis,26.0,5,9,2,3,0,0,1,3,2,2,0,0,2,12,lithuania,2016-08-09,nigeria,2016080911,Group B,201611,mens-olympics
3,Domantas Sabonis,25.0,4,7,0,1,0,0,2,7,1,3,0,1,1,8,lithuania,2016-08-09,nigeria,2016080911,Group B,201611,mens-olympics
4,Jonas Valanciunas,24.0,3,5,0,0,4,4,1,5,0,0,3,3,4,10,lithuania,2016-08-09,nigeria,2016080911,Group B,201611,mens-olympics
5,Paulius Jankunas,21.0,3,6,1,3,0,0,1,4,0,0,1,0,4,7,lithuania,2016-08-09,nigeria,2016080911,Group B,201611,mens-olympics
6,Mindaugas Kuzminskas,15.0,3,5,1,2,1,2,2,5,2,0,0,2,2,8,lithuania,2016-08-09,nigeria,2016080911,Group B,201611,mens-olympics
7,Marius Grigonis,14.0,0,5,0,4,0,0,1,1,2,1,0,1,1,0,lithuania,2016-08-09,nigeria,2016080911,Group B,201611,mens-olympics
8,Vaidas Kariniauskas,9.0,0,5,0,1,0,0,0,0,2,0,0,1,1,0,lithuania,2016-08-09,nigeria,2016080911,Group B,201611,mens-olympics
9,Antanas Kavaliauskas,7.0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,lithuania,2016-08-09,nigeria,2016080911,Group B,201611,mens-olympics
10,Totals,,32,65,8,20,17,20,10,34,23,8,6,12,16,89,lithuania,2016-08-09,nigeria,2016080911,Group B,201611,mens-olympics
0,Ebi Ere,29.0,1,5,0,2,0,0,0,1,4,0,0,2,2,2,nigeria,2016-08-09,lithuania,2016080911,Group B,201611,mens-olympics
1,Ike Diogu,29.0,5,11,3,6,6,8,3,7,1,3,1,3,3,19,nigeria,2016-08-09,lithuania,2016080911,Group B,201611,mens-olympics
2,Champ Oguchi,29.0,2,8,1,5,0,0,0,6,3,1,0,4,1,5,nigeria,2016-08-09,lithuania,2016080911,Group B,201611,mens-olympics
3,Michael Umeh,26.0,7,9,3,4,0,0,0,2,4,1,0,2,0,17,nigeria,2016-08-09,lithuania,2016080911,Group B,201611,mens-olympics
4,Alade Aminu,22.0,5,7,0,0,2,2,0,2,0,0,0,0,1,12,nigeria,2016-08-09,lithuania,2016080911,Group B,201611,mens-olympics
5,Ben Uzoh,21.0,4,10,0,0,0,0,0,0,3,1,1,0,5,8,nigeria,2016-08-09,lithuania,2016080911,Group B,201611,mens-olympics
6,Andy Ogide,16.0,2,3,1,2,0,0,0,0,0,0,1,0,1,5,nigeria,2016-08-09,lithuania,2016080911,Group B,201611,mens-olympics
7,Josh Akognon,15.0,3,9,1,3,0,0,0,1,0,0,0,1,4,7,nigeria,2016-08-09,lithuania,2016080911,Group B,201611,mens-olympics
8,Ekene Ibekwe,14.0,2,3,1,1,0,0,1,3,1,0,1,2,5,5,nigeria,2016-08-09,lithuania,2016080911,Group B,201611,mens-olympics
9,Totals,,31,65,10,23,8,10,4,22,16,6,4,14,22,80,nigeria,2016-08-09,lithuania,2016080911,Group B,201611,mens-olympics
