,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Milos Teodosic,32.0,3,12,2,7,2,2,0,2,9,1,0,2,3,10,serbia,2016-08-10,france,2016081013,Group A,201613
1,Bogdan Bogdanovic,27.0,3,7,3,4,1,2,0,4,2,2,0,3,0,10,serbia,2016-08-10,france,2016081013,Group A,201613
2,Stefan Markovic,25.0,2,8,1,5,2,2,0,3,1,1,0,0,1,7,serbia,2016-08-10,france,2016081013,Group A,201613
3,Miroslav Raduljica,24.0,7,9,0,0,2,4,1,3,1,0,2,0,4,16,serbia,2016-08-10,france,2016081013,Group A,201613
4,Nikola Jokic,21.0,1,4,0,3,0,0,0,7,4,1,0,1,4,2,serbia,2016-08-10,france,2016081013,Group A,201613
5,Nikola Kalinic,14.0,2,2,0,0,0,0,0,0,1,0,0,1,3,4,serbia,2016-08-10,france,2016081013,Group A,201613
6,Nemanja Nedovic,12.0,1,3,1,1,2,2,0,1,3,2,0,4,0,5,serbia,2016-08-10,france,2016081013,Group A,201613
7,Vladimir Stimac,12.0,2,5,0,0,1,2,2,3,0,1,1,2,4,5,serbia,2016-08-10,france,2016081013,Group A,201613
8,Marko Simonovic,11.0,4,5,1,2,0,0,0,2,0,0,0,1,1,9,serbia,2016-08-10,france,2016081013,Group A,201613
9,Milan Macvan,10.0,1,3,0,1,0,0,0,2,0,0,0,0,3,2,serbia,2016-08-10,france,2016081013,Group A,201613
10,Stefan Jovic,9.0,2,2,1,1,0,0,1,1,1,0,0,1,0,5,serbia,2016-08-10,france,2016081013,Group A,201613
11,Stefan Bircevic,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,serbia,2016-08-10,france,2016081013,Group A,201613
12,Totals,,28,60,9,24,10,14,4,28,22,8,3,15,24,75,serbia,2016-08-10,france,2016081013,Group A,201613
0,Nando De Colo,30.0,6,10,2,4,8,8,1,2,1,3,0,2,3,22,france,2016-08-10,serbia,2016081013,Group A,201613
1,Boris Diaw,29.0,3,5,0,0,5,6,2,9,9,0,0,3,3,11,france,2016-08-10,serbia,2016081013,Group A,201613
2,Nicolas Batum,27.0,4,9,3,4,0,0,0,1,3,2,0,1,1,11,france,2016-08-10,serbia,2016081013,Group A,201613
3,Rudy Gobert,23.0,0,1,0,0,3,6,3,6,1,1,2,1,2,3,france,2016-08-10,serbia,2016081013,Group A,201613
4,Tony Parker,22.0,3,5,0,0,0,0,0,1,2,2,0,3,2,6,france,2016-08-10,serbia,2016081013,Group A,201613
5,Thomas Heurtel,18.0,2,6,1,3,0,0,0,4,3,2,0,0,0,5,france,2016-08-10,serbia,2016081013,Group A,201613
6,Joffrey Lauvergne,17.0,6,11,0,1,0,0,0,2,0,0,0,1,3,12,france,2016-08-10,serbia,2016081013,Group A,201613
7,Florent Pietrus,11.0,0,2,0,1,1,2,0,1,1,0,0,1,3,1,france,2016-08-10,serbia,2016081013,Group A,201613
8,Mickael Gelabale,10.0,1,3,1,2,2,2,0,0,0,0,0,0,1,5,france,2016-08-10,serbia,2016081013,Group A,201613
9,Antoine Diot,7.0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,france,2016-08-10,serbia,2016081013,Group A,201613
10,Charles Kahudi,6.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,france,2016-08-10,serbia,2016081013,Group A,201613
11,Totals,,25,54,7,16,19,24,6,28,20,11,2,13,19,76,france,2016-08-10,serbia,2016081013,Group A,201613
