,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Jose Vargas,32.0,4,8,2,6,0,0,0,3,4,1,1,1,5,10,venezuela,2016-08-10,china,2016081012,Group A,201612,mens-olympics
1,Nestor Colmenares,26.0,8,11,0,1,0,0,4,5,4,0,0,1,4,16,venezuela,2016-08-10,china,2016081012,Group A,201612,mens-olympics
2,Gregory Vargas,24.0,2,7,1,2,8,8,0,3,5,1,0,2,2,13,venezuela,2016-08-10,china,2016081012,Group A,201612,mens-olympics
3,John Cox,20.0,1,10,1,2,2,2,2,3,1,0,0,2,3,5,venezuela,2016-08-10,china,2016081012,Group A,201612,mens-olympics
4,Greg Echenique,19.0,1,2,0,0,2,2,0,2,2,1,0,2,2,4,venezuela,2016-08-10,china,2016081012,Group A,201612,mens-olympics
5,Miguel Ruiz,19.0,2,2,0,0,1,2,1,4,0,2,0,1,3,5,venezuela,2016-08-10,china,2016081012,Group A,201612,mens-olympics
6,Anthony Perez,15.0,3,4,1,2,0,1,0,0,0,1,0,1,2,7,venezuela,2016-08-10,china,2016081012,Group A,201612,mens-olympics
7,David Cubillan,14.0,1,2,1,2,0,0,0,1,2,0,0,1,1,3,venezuela,2016-08-10,china,2016081012,Group A,201612,mens-olympics
8,Heissler Guillent,13.0,2,4,0,1,5,6,0,0,2,2,0,2,3,9,venezuela,2016-08-10,china,2016081012,Group A,201612,mens-olympics
9,Dwight Lewis,9.0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,venezuela,2016-08-10,china,2016081012,Group A,201612,mens-olympics
10,Miguel Marriaga,5.0,0,2,0,0,0,0,1,1,1,0,0,0,1,0,venezuela,2016-08-10,china,2016081012,Group A,201612,mens-olympics
11,Windi Graterol,3.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,venezuela,2016-08-10,china,2016081012,Group A,201612,mens-olympics
12,Totals,,24,53,6,17,18,21,10,24,21,8,1,13,27,72,venezuela,2016-08-10,china,2016081012,Group A,201612,mens-olympics
0,Zhou Peng,34.0,2,5,0,1,2,3,0,2,3,1,0,3,4,6,china,2016-08-10,venezuela,2016081012,Group A,201612,mens-olympics
1,Yi Jianlian,34.0,6,13,0,0,6,8,3,10,1,3,0,0,1,18,china,2016-08-10,venezuela,2016081012,Group A,201612,mens-olympics
2,Zhou Qi,26.0,4,5,0,1,3,7,2,2,0,2,2,5,3,11,china,2016-08-10,venezuela,2016081012,Group A,201612,mens-olympics
3,Guo Ailun,25.0,5,9,1,3,6,9,0,2,3,1,0,3,5,17,china,2016-08-10,venezuela,2016081012,Group A,201612,mens-olympics
4,Xiaochuan Di,21.0,1,4,0,1,0,0,2,2,0,0,0,1,2,2,china,2016-08-10,venezuela,2016081012,Group A,201612,mens-olympics
5,Li Gen,15.0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,china,2016-08-10,venezuela,2016081012,Group A,201612,mens-olympics
6,Zhao Jiwei,15.0,0,2,0,2,2,2,0,2,2,0,0,1,0,2,china,2016-08-10,venezuela,2016081012,Group A,201612,mens-olympics
7,Wang Zhelin,11.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,china,2016-08-10,venezuela,2016081012,Group A,201612,mens-olympics
8,Zou Yuchen,10.0,0,0,0,0,3,4,0,3,0,0,1,1,0,3,china,2016-08-10,venezuela,2016081012,Group A,201612,mens-olympics
9,Ding Yanyuhang,9.0,3,5,1,3,0,0,0,0,0,0,0,0,2,7,china,2016-08-10,venezuela,2016081012,Group A,201612,mens-olympics
10,Sui Ran,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,china,2016-08-10,venezuela,2016081012,Group A,201612,mens-olympics
11,Totals,,22,45,2,11,22,33,7,23,9,7,3,15,20,68,china,2016-08-10,venezuela,2016081012,Group A,201612,mens-olympics
