,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Leandro Barbosa,34.0,7,18,2,8,0,0,0,3,4,1,0,2,3,16,brazil,2016-08-11,croatia,2016081116,Group B,201616
1,Nene Hilario,31.0,2,10,0,0,1,2,0,2,2,3,0,2,2,5,brazil,2016-08-11,croatia,2016081116,Group B,201616
2,Marcelo Huertas,26.0,3,5,2,2,2,2,0,2,9,2,0,0,1,10,brazil,2016-08-11,croatia,2016081116,Group B,201616
3,Marcus Vinicius,22.0,4,7,3,6,1,2,1,3,3,0,0,1,2,12,brazil,2016-08-11,croatia,2016081116,Group B,201616
4,Augusto Lima,22.0,5,8,0,0,1,1,3,6,2,0,0,1,1,11,brazil,2016-08-11,croatia,2016081116,Group B,201616
5,Alex Garcia,18.0,2,3,1,2,1,2,3,4,2,0,0,1,3,6,brazil,2016-08-11,croatia,2016081116,Group B,201616
6,Raul Neto,14.0,0,4,0,1,0,0,0,0,0,1,0,1,2,0,brazil,2016-08-11,croatia,2016081116,Group B,201616
7,Guilherme Giovannoni,10.0,3,4,2,3,3,3,2,3,0,0,0,1,2,11,brazil,2016-08-11,croatia,2016081116,Group B,201616
8,Cristiano Felicio,10.0,0,2,0,0,0,0,2,4,0,0,0,0,2,0,brazil,2016-08-11,croatia,2016081116,Group B,201616
9,Rafael Hettsheimeir,7.0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,brazil,2016-08-11,croatia,2016081116,Group B,201616
10,Vitor Benite,6.0,2,3,0,1,1,1,0,1,0,0,0,0,2,5,brazil,2016-08-11,croatia,2016081116,Group B,201616
11,Rafa Luz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brazil,2016-08-11,croatia,2016081116,Group B,201616
12,Totals,,28,68,10,26,10,13,11,28,22,7,0,9,20,76,brazil,2016-08-11,croatia,2016081116,Group B,201616
0,Bojan Bogdanovic,38.0,10,16,3,6,10,11,0,6,3,0,0,4,2,33,croatia,2016-08-11,brazil,2016081116,Group B,201616
1,Dario Saric,35.0,5,11,3,5,2,2,3,7,3,1,1,6,4,15,croatia,2016-08-11,brazil,2016081116,Group B,201616
2,Krunoslav Simon,27.0,2,7,2,4,0,0,1,4,3,0,0,1,3,6,croatia,2016-08-11,brazil,2016081116,Group B,201616
3,Mario Hezonja,25.0,2,3,2,3,0,0,0,2,1,1,0,2,1,6,croatia,2016-08-11,brazil,2016081116,Group B,201616
4,Miro Bilan,21.0,3,7,0,0,0,0,1,4,1,1,0,1,2,6,croatia,2016-08-11,brazil,2016081116,Group B,201616
5,Roko Ukic,21.0,3,5,1,3,0,0,0,0,4,1,0,1,4,7,croatia,2016-08-11,brazil,2016081116,Group B,201616
6,Darko Planinic,18.0,1,1,0,0,3,4,1,5,0,0,0,0,1,5,croatia,2016-08-11,brazil,2016081116,Group B,201616
7,Luka Babic,15.0,1,2,0,1,0,0,1,4,3,0,0,0,0,2,croatia,2016-08-11,brazil,2016081116,Group B,201616
8,Totals,,27,52,11,22,15,17,7,32,18,4,1,15,17,80,croatia,2016-08-11,brazil,2016081116,Group B,201616
