,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Guo Ailun,35.0,3,10,1,6,4,4,1,2,5,0,0,5,2,11,china,2016-08-12,australia,2016081218,Group A,201618
1,Yi Jianlian,33.0,9,18,2,3,0,1,3,9,2,0,2,2,3,20,china,2016-08-12,australia,2016081218,Group A,201618
2,Ding Yanyuhang,26.0,1,1,0,0,6,8,0,0,1,0,0,0,3,8,china,2016-08-12,australia,2016081218,Group A,201618
3,Zhou Peng,20.0,0,1,0,0,2,2,0,0,0,1,0,0,0,2,china,2016-08-12,australia,2016081218,Group A,201618
4,Li Gen,20.0,1,3,0,1,3,4,0,1,1,0,0,2,3,5,china,2016-08-12,australia,2016081218,Group A,201618
5,Zhou Qi,18.0,2,3,0,1,2,4,0,2,3,2,1,0,1,6,china,2016-08-12,australia,2016081218,Group A,201618
6,Zhao Jiwei,16.0,2,2,0,0,0,0,0,1,4,0,0,5,2,4,china,2016-08-12,australia,2016081218,Group A,201618
7,Zou Yuchen,14.0,3,4,0,0,2,2,1,2,1,0,0,0,5,8,china,2016-08-12,australia,2016081218,Group A,201618
8,Wang Zhelin,10.0,0,2,0,0,0,0,0,3,1,1,0,1,2,0,china,2016-08-12,australia,2016081218,Group A,201618
9,Xiaochuan Di,7.0,1,1,0,0,2,2,0,1,1,0,0,1,1,4,china,2016-08-12,australia,2016081218,Group A,201618
10,Sui Ran,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,china,2016-08-12,australia,2016081218,Group A,201618
11,Totals,,22,45,3,11,21,27,5,21,19,4,3,16,22,68,china,2016-08-12,australia,2016081218,Group A,201618
0,Aron Baynes,26.0,5,8,0,0,2,2,0,4,2,1,0,1,1,12,australia,2016-08-12,china,2016081218,Group A,201618
1,Joe Ingles,23.0,2,4,0,1,0,0,0,2,4,1,0,0,2,4,australia,2016-08-12,china,2016081218,Group A,201618
2,Matthew Dellavedova,20.0,3,4,0,0,0,0,1,1,8,0,0,0,3,6,australia,2016-08-12,china,2016081218,Group A,201618
3,Patty Mills,19.0,2,4,1,3,0,0,0,3,3,3,0,1,2,5,australia,2016-08-12,china,2016081218,Group A,201618
4,Cameron Bairstow,19.0,7,13,1,1,2,6,4,9,0,1,1,5,2,17,australia,2016-08-12,china,2016081218,Group A,201618
5,Kevin Lisch,18.0,1,2,1,1,2,2,2,2,6,0,0,0,1,5,australia,2016-08-12,china,2016081218,Group A,201618
6,Ryan Broekhoff,17.0,5,10,2,5,0,0,1,1,2,0,0,0,3,12,australia,2016-08-12,china,2016081218,Group A,201618
7,Brock Motum,16.0,6,9,0,1,3,4,3,3,2,0,0,0,3,15,australia,2016-08-12,china,2016081218,Group A,201618
8,Damian Martin,16.0,1,1,1,1,0,0,1,1,3,2,0,0,2,3,australia,2016-08-12,china,2016081218,Group A,201618
9,David Andersen,15.0,5,9,1,3,1,2,1,3,0,2,0,2,3,12,australia,2016-08-12,china,2016081218,Group A,201618
10,Chris Goulding,10.0,0,2,0,2,2,2,0,2,4,0,0,0,3,2,australia,2016-08-12,china,2016081218,Group A,201618
11,Totals,,37,66,7,18,12,18,13,31,34,10,1,9,25,93,australia,2016-08-12,china,2016081218,Group A,201618
