,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Rudy Fernandez,30.0,8,10,4,5,3,4,0,7,2,1,0,2,1,23,spain,2016-08-15,argentina,2016081527,Group B,201627,mens-olympics
1,Pau Gasol,28.0,8,17,1,3,2,3,2,13,1,0,2,3,2,19,spain,2016-08-15,argentina,2016081527,Group B,201627,mens-olympics
2,Nikola Mirotic,28.0,3,8,2,5,2,2,0,5,3,0,1,2,2,10,spain,2016-08-15,argentina,2016081527,Group B,201627,mens-olympics
3,Sergio Rodriguez,21.0,2,4,1,3,0,1,1,2,6,1,0,5,3,5,spain,2016-08-15,argentina,2016081527,Group B,201627,mens-olympics
4,Sergio Llull,21.0,4,8,0,1,2,2,1,1,5,1,0,1,4,10,spain,2016-08-15,argentina,2016081527,Group B,201627,mens-olympics
5,Ricky Rubio,19.0,0,4,0,1,2,4,1,5,4,3,0,1,1,2,spain,2016-08-15,argentina,2016081527,Group B,201627,mens-olympics
6,Felipe Reyes,15.0,2,6,0,0,1,3,1,5,0,0,1,1,3,5,spain,2016-08-15,argentina,2016081527,Group B,201627,mens-olympics
7,Juan Carlos Navarro,12.0,2,2,1,1,1,1,0,1,1,1,0,0,4,6,spain,2016-08-15,argentina,2016081527,Group B,201627,mens-olympics
8,Victor Claver,11.0,0,1,0,0,0,0,0,2,0,0,0,1,2,0,spain,2016-08-15,argentina,2016081527,Group B,201627,mens-olympics
9,Jose Calderon,7.0,2,4,0,2,2,2,0,0,0,1,0,0,1,6,spain,2016-08-15,argentina,2016081527,Group B,201627,mens-olympics
10,Willy Hernangomez,6.0,1,1,0,0,2,2,1,2,0,0,0,1,1,4,spain,2016-08-15,argentina,2016081527,Group B,201627,mens-olympics
11,Alex Abrines,1.0,0,1,0,1,2,2,0,0,0,0,1,0,0,2,spain,2016-08-15,argentina,2016081527,Group B,201627,mens-olympics
12,Totals,,32,66,9,22,19,26,7,43,22,8,5,17,24,92,spain,2016-08-15,argentina,2016081527,Group B,201627,mens-olympics
0,Nicolas Laprovittola,29.0,5,14,1,5,10,11,0,1,4,4,0,5,4,21,argentina,2016-08-15,spain,2016081527,Group B,201627,mens-olympics
1,Luis Scola,27.0,2,6,1,3,2,2,1,5,1,0,0,1,4,7,argentina,2016-08-15,spain,2016081527,Group B,201627,mens-olympics
2,Facu Campazzo,21.0,4,8,1,4,1,2,0,1,1,0,0,0,4,10,argentina,2016-08-15,spain,2016081527,Group B,201627,mens-olympics
3,Manu Ginobili,19.0,6,11,4,6,0,0,1,5,2,0,0,0,2,16,argentina,2016-08-15,spain,2016081527,Group B,201627,mens-olympics
4,Andres Nocioni,19.0,2,7,0,2,2,2,0,2,0,2,1,3,3,6,argentina,2016-08-15,spain,2016081527,Group B,201627,mens-olympics
5,Patricio Garino,18.0,0,3,0,1,0,0,0,1,0,3,0,1,4,0,argentina,2016-08-15,spain,2016081527,Group B,201627,mens-olympics
6,Carlos Delfino,13.0,0,5,0,3,1,2,0,4,1,1,0,0,0,1,argentina,2016-08-15,spain,2016081527,Group B,201627,mens-olympics
7,Leo Mainoldi,13.0,2,2,2,2,0,0,0,2,0,0,0,1,0,6,argentina,2016-08-15,spain,2016081527,Group B,201627,mens-olympics
8,Roberto Acuna,12.0,0,1,0,0,2,2,0,0,0,1,1,3,2,2,argentina,2016-08-15,spain,2016081527,Group B,201627,mens-olympics
9,Gabriel Deck,11.0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,argentina,2016-08-15,spain,2016081527,Group B,201627,mens-olympics
10,Marcos Delia,10.0,1,2,0,0,0,0,2,5,0,0,0,1,1,2,argentina,2016-08-15,spain,2016081527,Group B,201627,mens-olympics
11,Nicolas Brussino,8.0,1,3,0,1,0,0,0,2,0,0,0,0,1,2,argentina,2016-08-15,spain,2016081527,Group B,201627,mens-olympics
12,Totals,,23,64,9,28,18,21,4,29,9,11,2,15,26,73,argentina,2016-08-15,spain,2016081527,Group B,201627,mens-olympics
