,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Bojan Bogdanovic,39.0,7,15,4,8,10,12,0,3,2,0,0,4,4,28,croatia,2016-08-17,serbia,2016081733,Quarter-Finals,201633
1,Dario Saric,30.0,3,7,0,0,1,4,3,4,1,0,0,3,4,7,croatia,2016-08-17,serbia,2016081733,Quarter-Finals,201633
2,Mario Hezonja,27.0,4,8,2,5,6,6,0,8,2,0,0,1,2,16,croatia,2016-08-17,serbia,2016081733,Quarter-Finals,201633
3,Krunoslav Simon,26.0,3,7,0,4,2,2,1,2,5,1,0,5,3,8,croatia,2016-08-17,serbia,2016081733,Quarter-Finals,201633
4,Miro Bilan,21.0,4,8,0,0,2,2,0,4,0,1,0,2,5,10,croatia,2016-08-17,serbia,2016081733,Quarter-Finals,201633
5,Roko Ukic,19.0,1,4,1,2,1,2,0,1,4,0,0,0,4,4,croatia,2016-08-17,serbia,2016081733,Quarter-Finals,201633
6,Luka Babic,19.0,1,1,0,0,2,4,0,1,2,1,0,2,3,4,croatia,2016-08-17,serbia,2016081733,Quarter-Finals,201633
7,Darko Planinic,18.0,0,1,0,0,6,6,4,9,0,0,0,0,3,6,croatia,2016-08-17,serbia,2016081733,Quarter-Finals,201633
8,Totals,,23,51,7,19,30,38,8,32,16,3,0,17,28,83,croatia,2016-08-17,serbia,2016081733,Quarter-Finals,201633
0,Milos Teodosic,33.0,2,11,1,5,4,5,0,2,10,0,0,2,5,9,serbia,2016-08-17,croatia,2016081733,Quarter-Finals,201633
1,Stefan Markovic,29.0,4,9,0,3,4,5,3,4,3,3,0,1,3,12,serbia,2016-08-17,croatia,2016081733,Quarter-Finals,201633
2,Bogdan Bogdanovic,26.0,7,11,3,4,1,1,0,1,5,3,0,0,5,18,serbia,2016-08-17,croatia,2016081733,Quarter-Finals,201633
3,Nikola Jokic,24.0,3,8,1,2,5,6,0,3,3,2,0,1,2,12,serbia,2016-08-17,croatia,2016081733,Quarter-Finals,201633
4,Nikola Kalinic,22.0,2,7,0,3,2,2,1,4,0,1,1,1,5,6,serbia,2016-08-17,croatia,2016081733,Quarter-Finals,201633
5,Miroslav Raduljica,18.0,4,11,0,0,4,6,3,3,0,0,1,2,4,12,serbia,2016-08-17,croatia,2016081733,Quarter-Finals,201633
6,Milan Macvan,16.0,3,7,2,4,0,0,3,3,0,1,0,0,3,8,serbia,2016-08-17,croatia,2016081733,Quarter-Finals,201633
7,Stefan Jovic,14.0,4,5,1,1,0,0,2,4,1,0,0,2,2,9,serbia,2016-08-17,croatia,2016081733,Quarter-Finals,201633
8,Marko Simonovic,11.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,serbia,2016-08-17,croatia,2016081733,Quarter-Finals,201633
9,Nemanja Nedovic,4.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,serbia,2016-08-17,croatia,2016081733,Quarter-Finals,201633
10,Vladimir Stimac,3.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,serbia,2016-08-17,croatia,2016081733,Quarter-Finals,201633
11,Totals,,29,71,8,23,20,25,12,27,22,10,2,9,31,86,serbia,2016-08-17,croatia,2016081733,Quarter-Finals,201633
