,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number,competition
0,Joe Ingles,30.0,5,10,0,4,2,2,1,7,1,2,0,5,3,12,australia,2016-08-19,serbia,2016081934,Semi-Finals,201634,mens-olympics
1,Patty Mills,29.0,6,16,1,9,0,0,0,0,2,1,0,1,0,13,australia,2016-08-19,serbia,2016081934,Semi-Finals,201634,mens-olympics
2,Andrew Bogut,22.0,1,4,0,0,2,4,0,1,0,0,2,1,4,4,australia,2016-08-19,serbia,2016081934,Semi-Finals,201634,mens-olympics
3,Ryan Broekhoff,22.0,1,6,1,6,3,3,1,2,4,1,0,1,2,6,australia,2016-08-19,serbia,2016081934,Semi-Finals,201634,mens-olympics
4,Matthew Dellavedova,22.0,1,6,0,2,1,2,0,2,2,0,0,3,2,3,australia,2016-08-19,serbia,2016081934,Semi-Finals,201634,mens-olympics
5,Aron Baynes,21.0,2,5,0,0,3,4,5,8,2,0,1,2,2,7,australia,2016-08-19,serbia,2016081934,Semi-Finals,201634,mens-olympics
6,David Andersen,16.0,0,3,0,1,0,0,0,4,2,0,0,1,3,0,australia,2016-08-19,serbia,2016081934,Semi-Finals,201634,mens-olympics
7,Brock Motum,11.0,5,8,1,2,2,4,2,2,0,0,0,0,4,13,australia,2016-08-19,serbia,2016081934,Semi-Finals,201634,mens-olympics
8,Kevin Lisch,10.0,1,4,1,4,0,0,0,0,1,1,0,0,1,3,australia,2016-08-19,serbia,2016081934,Semi-Finals,201634,mens-olympics
9,Chris Goulding,8.0,0,4,0,3,0,0,0,0,0,0,0,1,0,0,australia,2016-08-19,serbia,2016081934,Semi-Finals,201634,mens-olympics
10,Damian Martin,8.0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,australia,2016-08-19,serbia,2016081934,Semi-Finals,201634,mens-olympics
11,Totals,,22,66,4,31,13,19,10,27,14,6,4,16,22,61,australia,2016-08-19,serbia,2016081934,Semi-Finals,201634,mens-olympics
0,Stefan Markovic,27.0,5,5,2,2,2,2,0,3,5,0,0,3,2,14,serbia,2016-08-19,australia,2016081934,Semi-Finals,201634,mens-olympics
1,Nikola Kalinic,27.0,2,5,0,1,2,2,2,6,3,2,0,2,4,6,serbia,2016-08-19,australia,2016081934,Semi-Finals,201634,mens-olympics
2,Nikola Jokic,24.0,2,7,0,0,5,6,3,11,2,3,1,1,1,9,serbia,2016-08-19,australia,2016081934,Semi-Finals,201634,mens-olympics
3,Bogdan Bogdanovic,24.0,3,7,0,4,0,0,1,6,1,0,0,3,3,6,serbia,2016-08-19,australia,2016081934,Semi-Finals,201634,mens-olympics
4,Milos Teodosic,22.0,9,14,2,4,2,3,0,2,5,0,0,1,2,22,serbia,2016-08-19,australia,2016081934,Semi-Finals,201634,mens-olympics
5,Miroslav Raduljica,22.0,4,7,0,0,3,4,2,6,3,2,0,5,3,11,serbia,2016-08-19,australia,2016081934,Semi-Finals,201634,mens-olympics
6,Milan Macvan,20.0,4,9,1,3,3,4,1,3,2,2,0,0,4,12,serbia,2016-08-19,australia,2016081934,Semi-Finals,201634,mens-olympics
7,Stefan Jovic,18.0,1,3,0,2,0,0,0,1,1,0,0,1,3,2,serbia,2016-08-19,australia,2016081934,Semi-Finals,201634,mens-olympics
8,Marko Simonovic,7.0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,serbia,2016-08-19,australia,2016081934,Semi-Finals,201634,mens-olympics
9,Nemanja Nedovic,5.0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,serbia,2016-08-19,australia,2016081934,Semi-Finals,201634,mens-olympics
10,Vladimir Stimac,2.0,2,2,0,0,0,0,1,1,0,0,0,0,0,4,serbia,2016-08-19,australia,2016081934,Semi-Finals,201634,mens-olympics
11,Stefan Bircevic,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,serbia,2016-08-19,australia,2016081934,Semi-Finals,201634,mens-olympics
12,Totals,,32,60,5,16,18,23,10,41,23,9,1,17,22,87,serbia,2016-08-19,australia,2016081934,Semi-Finals,201634,mens-olympics
