,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Vince Carter,23.0,6,11,0,2,4,4,3,4,4,0,0,0,2,16,united states,2000-09-17,china,200009172,Group A,W
1,Ray Allen,22.0,8,10,3,5,2,2,1,6,1,1,0,1,3,21,united states,2000-09-17,china,200009172,Group A,W
2,Tim Hardaway,20.0,4,9,3,6,1,1,0,3,3,0,0,1,0,12,united states,2000-09-17,china,200009172,Group A,W
3,Gary Payton,20.0,3,7,0,0,1,2,1,4,7,1,1,0,3,7,united states,2000-09-17,china,200009172,Group A,W
4,Antonio McDyess,18.0,3,7,0,0,1,2,4,7,2,0,0,3,3,7,united states,2000-09-17,china,200009172,Group A,W
5,Kevin Garnett,18.0,3,7,0,0,1,3,3,8,2,2,1,3,1,7,united states,2000-09-17,china,200009172,Group A,W
6,Jason Kidd,18.0,2,6,0,0,0,0,2,5,3,2,0,1,2,4,united states,2000-09-17,china,200009172,Group A,W
7,Steve Smith,17.0,4,5,1,1,3,3,0,3,4,0,0,1,1,12,united states,2000-09-17,china,200009172,Group A,W
8,Alonzo Mourning,16.0,2,3,0,0,6,8,0,5,1,0,0,0,3,10,united states,2000-09-17,china,200009172,Group A,W
9,Shareef Abdur-Rahim,15.0,6,8,0,1,0,0,1,4,0,0,1,0,2,12,united states,2000-09-17,china,200009172,Group A,W
10,Vin Baker,13.0,3,4,0,0,5,9,1,1,2,0,0,1,3,11,united states,2000-09-17,china,200009172,Group A,W
11,Totals,,44,77,7,15,24,34,16,50,29,6,3,11,23,119,united states,2000-09-17,china,200009172,Group A,W
0,Guo Shiqiang,33.0,1,3,0,1,6,6,1,5,6,1,0,4,1,8,china,2000-09-17,united states,200009172,Group A,L
1,Sun Jun,25.0,4,9,3,5,0,0,2,3,4,0,0,1,1,11,china,2000-09-17,united states,200009172,Group A,L
2,Li Nan,20.0,1,8,1,6,2,3,1,1,1,0,0,0,1,5,china,2000-09-17,united states,200009172,Group A,L
3,Wang Zhizhi,18.0,4,7,1,2,4,5,0,2,1,1,0,2,4,13,china,2000-09-17,united states,200009172,Group A,L
4,Bateer Mengke,18.0,1,4,0,0,0,0,1,4,0,0,1,1,4,2,china,2000-09-17,united states,200009172,Group A,L
5,Liu Yudong,16.0,5,11,1,3,1,1,0,1,0,1,0,0,1,12,china,2000-09-17,united states,200009172,Group A,L
6,Hu Weidong,16.0,2,9,0,6,2,4,0,0,0,0,0,1,2,6,china,2000-09-17,united states,200009172,Group A,L
7,Yao Ming,16.0,1,2,0,0,3,4,0,3,2,0,0,1,5,5,china,2000-09-17,united states,200009172,Group A,L
8,Zheng Wu,16.0,1,4,1,2,0,0,0,3,0,1,0,1,2,3,china,2000-09-17,united states,200009172,Group A,L
9,Zhang Jinsong,15.0,1,3,1,2,2,2,1,2,0,0,0,3,3,5,china,2000-09-17,united states,200009172,Group A,L
10,Li Xiaoyong,7.0,1,2,0,0,0,0,0,0,0,0,2,1,0,2,china,2000-09-17,united states,200009172,Group A,L
11,Totals,,22,62,8,27,20,25,6,24,14,4,3,15,24,72,china,2000-09-17,united states,200009172,Group A,L
