,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Sean Marks,34.0,7,13,1,4,6,8,2,4,1,0,0,4,3,21,new zealand,2000-09-25,lithuania,2000092529,Group A,L
1,Phill Jones,32.0,7,14,3,6,3,3,2,2,1,1,0,2,1,20,new zealand,2000-09-25,lithuania,2000092529,Group A,L
2,Pero Cameron,28.0,4,9,2,6,4,4,1,6,4,4,1,3,5,14,new zealand,2000-09-25,lithuania,2000092529,Group A,L
3,Kirk Penney,22.0,3,10,1,3,1,2,0,1,1,0,0,2,0,8,new zealand,2000-09-25,lithuania,2000092529,Group A,L
4,Paul Henare,21.0,0,0,0,0,0,0,0,1,3,3,0,2,1,0,new zealand,2000-09-25,lithuania,2000092529,Group A,L
5,Mark Dickel,19.0,1,1,0,0,1,1,1,1,1,1,0,1,1,3,new zealand,2000-09-25,lithuania,2000092529,Group A,L
6,Ralph Lattimore,18.0,2,3,1,2,0,0,1,3,1,1,2,0,3,5,new zealand,2000-09-25,lithuania,2000092529,Group A,L
7,Tony Rampton,14.0,2,7,0,0,0,2,1,1,0,0,0,1,3,4,new zealand,2000-09-25,lithuania,2000092529,Group A,L
8,Brad Riley,8.0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,new zealand,2000-09-25,lithuania,2000092529,Group A,L
9,Rob Hickey,4.0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,new zealand,2000-09-25,lithuania,2000092529,Group A,L
10,Totals,,26,59,8,22,15,20,8,20,13,10,3,15,20,75,new zealand,2000-09-25,lithuania,2000092529,Group A,L
0,Tomas Masiulis,25.0,4,5,0,0,2,2,2,4,2,0,1,4,3,10,lithuania,2000-09-25,new zealand,2000092529,Group A,L
1,Dainius Adomaitis,24.0,7,8,4,5,2,2,0,2,0,1,0,4,3,20,lithuania,2000-09-25,new zealand,2000092529,Group A,L
2,Sarunas Jasikevicius,24.0,6,10,2,4,0,0,0,2,3,3,0,3,2,14,lithuania,2000-09-25,new zealand,2000092529,Group A,L
3,Gintaras Einikis,24.0,4,9,0,0,2,2,0,3,2,0,0,1,2,10,lithuania,2000-09-25,new zealand,2000092529,Group A,L
4,Ramunas Siskauskas,20.0,4,7,2,4,1,1,1,3,2,1,0,1,3,11,lithuania,2000-09-25,new zealand,2000092529,Group A,L
5,Darius Maskoliunas,20.0,0,0,0,0,0,0,1,1,7,0,0,1,1,0,lithuania,2000-09-25,new zealand,2000092529,Group A,L
6,Eurelijus Zukauskas,16.0,4,6,0,0,2,3,2,5,1,0,0,3,3,10,lithuania,2000-09-25,new zealand,2000092529,Group A,L
7,Darius Songaila,15.0,2,6,0,0,1,1,7,7,0,0,0,3,2,5,lithuania,2000-09-25,new zealand,2000092529,Group A,L
8,Mindaugas Timinskas,12.0,0,1,0,0,0,2,0,3,0,1,0,1,1,0,lithuania,2000-09-25,new zealand,2000092529,Group A,L
9,Saulius Stombergas,10.0,1,7,1,2,0,0,1,3,0,0,0,0,1,3,lithuania,2000-09-25,new zealand,2000092529,Group A,L
10,Andrius Giedraitis,7.0,0,1,0,0,2,2,0,0,0,0,1,0,0,2,lithuania,2000-09-25,new zealand,2000092529,Group A,L
11,Kestutis Marciulonis,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,lithuania,2000-09-25,new zealand,2000092529,Group A,L
12,Totals,,32,60,9,15,12,15,14,33,17,6,2,21,22,85,lithuania,2000-09-25,new zealand,2000092529,Group A,L
