,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Laurent Sciarra,38.0,6.0,9.0,4.0,7.0,0.0,0.0,0.0,2,7,1,0,0,3.0,16,france,2000-09-29,australia,2000092936,Semi-Finals,W
1,Antoine Rigaudeau,31.0,5.0,14.0,3.0,7.0,0.0,0.0,2.0,3,2,0,0,2,1.0,13,france,2000-09-29,australia,2000092936,Semi-Finals,W
2,Stephane Risacher,29.0,4.0,10.0,0.0,1.0,3.0,4.0,1.0,3,1,1,0,1,2.0,11,france,2000-09-29,australia,2000092936,Semi-Finals,W
3,Frederic Weis,27.0,5.0,6.0,0.0,0.0,1.0,2.0,4.0,9,0,0,0,1,1.0,11,france,2000-09-29,australia,2000092936,Semi-Finals,W
4,Jim Bilba,27.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,4,1,2,1,1,2.0,7,france,2000-09-29,australia,2000092936,Semi-Finals,W
5,Laurent Foirest,19.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,1,2,1,0,1,2.0,4,france,2000-09-29,australia,2000092936,Semi-Finals,W
6,Cyril Julian,15.0,3.0,4.0,0.0,0.0,2.0,2.0,2.0,4,0,1,0,0,2.0,8,france,2000-09-29,australia,2000092936,Semi-Finals,W
7,Crawford Palmer,9.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,3,0,0,2,0,2.0,4,france,2000-09-29,australia,2000092936,Semi-Finals,W
8,Moustapha Sonko,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,1,1.0,2,france,2000-09-29,australia,2000092936,Semi-Finals,W
9,Makan Dioumassi,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,france,2000-09-29,australia,2000092936,Semi-Finals,W
10,Thierry Gadou,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0,france,2000-09-29,australia,2000092936,Semi-Finals,W
11,Totals,,30.0,60.0,8.0,19.0,8.0,10.0,11.0,30,13,6,4,7,16.0,76,france,2000-09-29,australia,2000092936,Semi-Finals,W
0,Andrew Gaze,40.0,5.0,7.0,0.0,2.0,0.0,0.0,0.0,2,2,1,0,2,3.0,10,australia,2000-09-29,france,2000092936,Semi-Finals,L
1,Shane Heal,38.0,2.0,10.0,2.0,6.0,4.0,4.0,1.0,2,5,0,0,4,1.0,10,australia,2000-09-29,france,2000092936,Semi-Finals,L
2,Mark Bradtke,23.0,3.0,7.0,0.0,0.0,2.0,4.0,1.0,5,1,0,0,1,2.0,8,australia,2000-09-29,france,2000092936,Semi-Finals,L
3,Luc Longley,22.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0,2,2.0,8,australia,2000-09-29,france,2000092936,Semi-Finals,L
4,Sam MacKinnon,22.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,4,2,1,0,2,1.0,1,australia,2000-09-29,france,2000092936,Semi-Finals,L
5,Paul Rogers,18.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,4,0,0,0,2,4.0,2,australia,2000-09-29,france,2000092936,Semi-Finals,L
6,Jason Smith,15.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0,0,0,1,0,0.0,3,australia,2000-09-29,france,2000092936,Semi-Finals,L
7,Chris Anstey,8.0,2.0,4.0,0.0,0.0,2.0,3.0,0.0,1,0,0,0,1,1.0,6,australia,2000-09-29,france,2000092936,Semi-Finals,L
8,Andrew Vlahov,8.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,0,0.0,2,australia,2000-09-29,france,2000092936,Semi-Finals,L
9,Brett Maher,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0.0,2,australia,2000-09-29,france,2000092936,Semi-Finals,L
10,Martin Cattalini,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0.0,0,australia,2000-09-29,france,2000092936,Semi-Finals,L
11,Ricky Grace,,,,,,,,,0,0,0,1,0,,0,australia,2000-09-29,france,2000092936,Semi-Finals,L
12,Totals,,,,,,,,,23,13,2,2,15,,52,australia,2000-09-29,france,2000092936,Semi-Finals,L
