,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Dejan Bodiroga,34.0,6,10,0,1,3,5,0,4,4,0,0,3,3,15,serbia and montenegro,2004-08-17,italy,2004081710,Group A,W
1,Dejan Tomasevic,32.0,1,4,0,0,3,6,4,12,5,2,0,1,1,5,serbia and montenegro,2004-08-17,italy,2004081710,Group A,W
2,Vladimir Radmanovic,27.0,4,9,3,5,2,4,1,4,0,0,1,3,2,13,serbia and montenegro,2004-08-17,italy,2004081710,Group A,W
3,Igor Rakocevic,26.0,7,10,3,4,2,4,2,3,3,0,0,2,2,19,serbia and montenegro,2004-08-17,italy,2004081710,Group A,W
4,Milos Vujanic,24.0,2,6,1,3,2,2,1,2,0,1,0,2,4,7,serbia and montenegro,2004-08-17,italy,2004081710,Group A,W
5,Vule Avdalovic,15.0,1,2,1,2,0,0,0,0,1,0,0,0,1,3,serbia and montenegro,2004-08-17,italy,2004081710,Group A,W
6,Nenad Krstic,13.0,2,5,0,1,2,2,2,3,0,0,1,2,2,6,serbia and montenegro,2004-08-17,italy,2004081710,Group A,W
7,Vlado Scepanovic,11.0,1,2,1,2,0,0,0,1,0,0,0,0,1,3,serbia and montenegro,2004-08-17,italy,2004081710,Group A,W
8,Predrag Drobnjak,9.0,1,4,1,1,0,0,0,0,0,0,0,2,2,3,serbia and montenegro,2004-08-17,italy,2004081710,Group A,W
9,Sasha Pavlovic,9.0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,serbia and montenegro,2004-08-17,italy,2004081710,Group A,W
10,Totals,,25,53,10,19,14,23,10,30,13,3,2,16,20,74,serbia and montenegro,2004-08-17,italy,2004081710,Group A,W
0,Massimo Bulleri,30.0,5,11,1,3,4,4,2,2,2,2,0,1,3,15,italy,2004-08-17,serbia and montenegro,2004081710,Group A,L
1,Roberto Chiacig,26.0,5,8,0,0,1,2,2,5,0,2,0,3,4,11,italy,2004-08-17,serbia and montenegro,2004081710,Group A,L
2,Giacomo Galanda,26.0,4,8,2,4,0,0,1,3,0,2,0,1,5,10,italy,2004-08-17,serbia and montenegro,2004081710,Group A,L
3,Nikola Radulovic,23.0,2,2,1,1,2,2,1,5,0,2,0,2,3,7,italy,2004-08-17,serbia and montenegro,2004081710,Group A,L
4,Matteo Soragna,20.0,0,4,0,2,1,1,0,2,0,0,0,1,3,1,italy,2004-08-17,serbia and montenegro,2004081710,Group A,L
5,Gianluca Basile,19.0,2,7,1,4,0,0,0,0,0,1,0,1,2,5,italy,2004-08-17,serbia and montenegro,2004081710,Group A,L
6,Gianmarco Pozzecco,16.0,2,5,1,1,0,0,0,2,2,0,0,2,3,5,italy,2004-08-17,serbia and montenegro,2004081710,Group A,L
7,Luca Garri,13.0,4,6,2,2,0,0,1,4,0,0,1,1,0,10,italy,2004-08-17,serbia and montenegro,2004081710,Group A,L
8,Rodolfo Rombaldoni,13.0,2,5,0,1,0,0,0,1,0,0,0,1,0,4,italy,2004-08-17,serbia and montenegro,2004081710,Group A,L
9,Denis Marconato,9.0,2,3,0,0,0,0,0,0,0,0,0,3,3,4,italy,2004-08-17,serbia and montenegro,2004081710,Group A,L
10,Michele Mian,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,italy,2004-08-17,serbia and montenegro,2004081710,Group A,L
11,Totals,,28,59,8,18,8,9,7,24,4,9,1,16,27,72,italy,2004-08-17,serbia and montenegro,2004081710,Group A,L
