,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,LeBron James,27.0,5,5,1,1,0,0,1,4,5,2,0,4,0,11,united states,2004-08-23,angola,2004082324,Group B,W
1,Dwyane Wade,23.0,2,4,0,0,5,5,0,4,1,4,1,3,4,9,united states,2004-08-23,angola,2004082324,Group B,W
2,Amare Stoudemire,19.0,3,6,0,0,3,4,1,6,0,0,3,1,2,9,united states,2004-08-23,angola,2004082324,Group B,W
3,Carmelo Anthony,18.0,3,10,0,3,0,0,1,2,0,1,0,1,4,6,united states,2004-08-23,angola,2004082324,Group B,W
4,Stephon Marbury,17.0,0,0,0,0,2,2,0,3,2,0,0,0,2,2,united states,2004-08-23,angola,2004082324,Group B,W
5,Lamar Odom,17.0,0,3,0,0,0,0,2,5,2,1,0,0,1,0,united states,2004-08-23,angola,2004082324,Group B,W
6,Carlos Boozer,15.0,4,6,0,0,3,5,2,9,1,0,1,1,0,11,united states,2004-08-23,angola,2004082324,Group B,W
7,Richard Jefferson,14.0,3,4,1,1,0,2,1,2,0,0,0,2,3,7,united states,2004-08-23,angola,2004082324,Group B,W
8,Tim Duncan,13.0,6,10,0,0,3,4,4,7,2,0,1,1,2,15,united states,2004-08-23,angola,2004082324,Group B,W
9,Allen Iverson,13.0,3,4,0,0,4,4,0,1,2,1,0,3,0,10,united states,2004-08-23,angola,2004082324,Group B,W
10,Shawn Marion,12.0,4,6,1,1,0,0,4,6,1,0,1,0,1,9,united states,2004-08-23,angola,2004082324,Group B,W
11,Emeka Okafor,12.0,0,2,0,0,0,0,0,3,0,0,0,1,1,0,united states,2004-08-23,angola,2004082324,Group B,W
12,Totals,,33,60,3,6,20,26,16,52,16,9,7,17,20,89,united states,2004-08-23,angola,2004082324,Group B,W
0,Walter Costa,38.0,4,11,1,5,0,3,1,2,0,2,0,2,3,9,angola,2004-08-23,united states,2004082324,Group B,L
1,Valter Monteiro,36.0,6,13,4,8,4,4,0,2,2,0,0,3,2,20,angola,2004-08-23,united states,2004082324,Group B,L
2,Olimpio Cipriano,30.0,3,9,1,3,2,3,0,1,1,2,0,2,3,9,angola,2004-08-23,united states,2004082324,Group B,L
3,Abdel Moussa,22.0,1,3,0,0,0,0,2,3,2,0,2,0,2,2,angola,2004-08-23,united states,2004082324,Group B,L
4,Eduardo Mingas,21.0,3,5,0,0,0,0,0,2,0,0,2,1,2,6,angola,2004-08-23,united states,2004082324,Group B,L
5,Joaquim Gomes,18.0,1,5,0,1,2,6,2,6,1,0,0,2,1,4,angola,2004-08-23,united states,2004082324,Group B,L
6,Carlos Almeida,16.0,0,6,0,5,0,0,0,1,1,1,0,2,2,0,angola,2004-08-23,united states,2004082324,Group B,L
7,Victor Muzadi,13.0,1,8,0,3,0,0,0,0,0,0,0,0,1,2,angola,2004-08-23,united states,2004082324,Group B,L
8,Angelo Victoriano,5.0,0,1,0,0,1,2,0,0,0,0,0,0,3,1,angola,2004-08-23,united states,2004082324,Group B,L
9,Totals,,19,61,6,25,9,18,5,17,7,5,4,12,19,53,angola,2004-08-23,united states,2004082324,Group B,L
