,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Sarunas Jasikevicius,33.0,2.0,10.0,0.0,4.0,6.0,6.0,1.0,4,8,0,0,5,1.0,10,lithuania,2008-08-10,argentina,200808101,Group A,W
1,Ramunas Siskauskas,30.0,3.0,7.0,2.0,3.0,2.0,3.0,0.0,2,4,2,1,1,3.0,10,lithuania,2008-08-10,argentina,200808101,Group A,W
2,Ksistof Lavrinovic,25.0,4.0,10.0,1.0,5.0,0.0,0.0,0.0,7,0,2,4,1,2.0,9,lithuania,2008-08-10,argentina,200808101,Group A,W
3,Rimantas Kaukenas,24.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,2,4,1,0,3,4.0,3,lithuania,2008-08-10,argentina,200808101,Group A,W
4,Marijonas Petravicius,20.0,4.0,6.0,0.0,0.0,2.0,3.0,1.0,4,0,2,0,2,5.0,10,lithuania,2008-08-10,argentina,200808101,Group A,W
5,Simas Jasaitis,19.0,2.0,5.0,1.0,4.0,0.0,0.0,1.0,4,0,1,0,0,2.0,5,lithuania,2008-08-10,argentina,200808101,Group A,W
6,Linas Kleiza,17.0,3.0,4.0,3.0,3.0,4.0,4.0,0.0,1,0,0,0,2,0.0,13,lithuania,2008-08-10,argentina,200808101,Group A,W
7,Robertas Javtokas,17.0,4.0,7.0,0.0,0.0,4.0,6.0,2.0,5,0,0,1,1,4.0,12,lithuania,2008-08-10,argentina,200808101,Group A,W
8,Mindaugas Lukauskis,14.0,2.0,6.0,2.0,4.0,1.0,2.0,0.0,1,0,1,0,1,3.0,7,lithuania,2008-08-10,argentina,200808101,Group A,W
9,Totals,,25.0,58.0,10.0,25.0,19.0,24.0,6.0,30,16,9,6,16,24.0,79,lithuania,2008-08-10,argentina,200808101,Group A,W
0,Andres Nocioni,38.0,5.0,14.0,1.0,7.0,4.0,4.0,1.0,9,0,1,0,5,4.0,15,argentina,2008-08-10,lithuania,200808101,Group A,L
1,Fabricio Oberto,34.0,4.0,6.0,0.0,0.0,1.0,2.0,4.0,11,3,0,0,4,4.0,9,argentina,2008-08-10,lithuania,200808101,Group A,L
2,Carlos Delfino,32.0,4.0,9.0,2.0,5.0,3.0,4.0,2.0,6,2,3,0,3,1.0,13,argentina,2008-08-10,lithuania,200808101,Group A,L
3,Manu Ginobili,30.0,6.0,15.0,1.0,7.0,6.0,6.0,0.0,3,2,0,0,2,4.0,19,argentina,2008-08-10,lithuania,200808101,Group A,L
4,Luis Scola,28.0,4.0,11.0,0.0,0.0,2.0,4.0,1.0,6,0,0,1,2,4.0,10,argentina,2008-08-10,lithuania,200808101,Group A,L
5,Pablo Prigioni,25.0,1.0,4.0,0.0,1.0,2.0,2.0,1.0,2,3,4,0,1,3.0,4,argentina,2008-08-10,lithuania,200808101,Group A,L
6,Paulo Quinteros,6.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1,0,0,0,0,1.0,3,argentina,2008-08-10,lithuania,200808101,Group A,L
7,Roman Gonzalez,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,2,argentina,2008-08-10,lithuania,200808101,Group A,L
8,Juan Gutierrez,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,2.0,0,argentina,2008-08-10,lithuania,200808101,Group A,L
9,Leo Gutierrez,,,,,,,,,0,0,0,0,0,,0,argentina,2008-08-10,lithuania,200808101,Group A,L
10,Totals,,,,,,,,,39,10,8,1,18,,75,argentina,2008-08-10,lithuania,200808101,Group A,L
