,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Dirk Nowitzki,36.0,7,20,3,7,7,7,1,17,0,0,0,7,3,24,germany,2008-08-16,china,2008081621,Group B,L
1,Steffen Hamann,28.0,2,5,0,0,2,2,0,2,2,2,0,2,3,6,germany,2008-08-16,china,2008081621,Group B,L
2,Demond Greene,28.0,0,3,0,1,0,0,1,1,0,0,0,2,2,0,germany,2008-08-16,china,2008081621,Group B,L
3,Pascal Roller,25.0,5,9,3,6,0,0,0,4,0,2,0,0,1,13,germany,2008-08-16,china,2008081621,Group B,L
4,Chris Kaman,24.0,4,11,0,0,2,2,5,12,0,0,1,1,4,10,germany,2008-08-16,china,2008081621,Group B,L
5,Robert Garrett,19.0,0,4,0,1,0,0,0,1,2,1,0,0,2,0,germany,2008-08-16,china,2008081621,Group B,L
6,Sven Schultze,16.0,0,5,0,4,0,0,1,3,0,1,0,1,2,0,germany,2008-08-16,china,2008081621,Group B,L
7,Patrick Femerling,15.0,0,1,0,0,2,2,3,4,0,1,0,1,3,2,germany,2008-08-16,china,2008081621,Group B,L
8,Jan Jagla,6.0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,germany,2008-08-16,china,2008081621,Group B,L
9,Konrad Wysocki,4.0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,germany,2008-08-16,china,2008081621,Group B,L
10,Totals,,18,62,6,22,13,13,12,47,4,7,1,14,20,55,germany,2008-08-16,china,2008081621,Group B,L
0,Wei Liu,36.0,2,10,1,5,1,2,0,5,3,1,0,4,2,6,china,2008-08-16,germany,2008081621,Group B,L
1,Yi Jianlian,35.0,3,8,1,2,2,2,2,11,0,2,1,0,3,9,china,2008-08-16,germany,2008081621,Group B,L
2,Yao Ming,34.0,9,19,1,1,6,10,4,11,2,0,1,2,3,25,china,2008-08-16,germany,2008081621,Group B,L
3,Zhu Fangyu,31.0,0,7,0,3,2,4,1,3,0,1,0,1,0,2,china,2008-08-16,germany,2008081621,Group B,L
4,Sun Yue,28.0,2,3,1,2,0,0,1,5,1,2,2,1,2,5,china,2008-08-16,germany,2008081621,Group B,L
5,Wang Shipeng,15.0,1,8,0,4,1,1,0,3,0,0,0,0,1,3,china,2008-08-16,germany,2008081621,Group B,L
6,Wang Zhizhi,11.0,2,3,1,1,0,0,0,1,1,0,0,0,1,5,china,2008-08-16,germany,2008081621,Group B,L
7,Li Nan,7.0,0,2,0,2,2,2,1,2,0,0,0,0,1,2,china,2008-08-16,germany,2008081621,Group B,L
8,Chen Jianghua,4.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,china,2008-08-16,germany,2008081621,Group B,L
9,Du Feng,1.0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,china,2008-08-16,germany,2008081621,Group B,L
10,Totals,,19,60,5,20,14,21,10,42,8,6,4,9,14,59,china,2008-08-16,germany,2008081621,Group B,L
