,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Salah Mejri,37.0,8,20,0,2,3,6,3,14,0,0,7,1,4,19,tunisia,2012-08-02,argentina,2012080212,Group A,L
1,Makram Ben Romdhane,33.0,4,10,0,1,4,6,1,6,3,3,1,3,3,12,tunisia,2012-08-02,argentina,2012080212,Group A,L
2,Mourad El Mabrouk,31.0,5,10,5,10,1,2,0,1,0,0,0,0,3,16,tunisia,2012-08-02,argentina,2012080212,Group A,L
3,Amine Rzig,25.0,2,9,0,1,0,0,1,4,3,0,0,1,0,4,tunisia,2012-08-02,argentina,2012080212,Group A,L
4,Marouan Laghnej,23.0,3,5,3,5,0,0,0,2,6,0,0,2,3,9,tunisia,2012-08-02,argentina,2012080212,Group A,L
5,Nizar Knioua,17.0,3,3,0,0,0,0,1,1,2,0,0,2,1,6,tunisia,2012-08-02,argentina,2012080212,Group A,L
6,Mohamed Hadidane,11.0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,tunisia,2012-08-02,argentina,2012080212,Group A,L
7,Radhouane Slimane,10.0,1,3,1,2,0,0,1,3,1,0,0,0,0,3,tunisia,2012-08-02,argentina,2012080212,Group A,L
8,Mehdi Labeyrie,7.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,tunisia,2012-08-02,argentina,2012080212,Group A,L
9,Mokhtar Ghyaza,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,tunisia,2012-08-02,argentina,2012080212,Group A,L
10,Youssef Gaddour,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tunisia,2012-08-02,argentina,2012080212,Group A,L
11,Totals,,26,65,9,23,8,14,7,31,15,3,8,9,14,69,tunisia,2012-08-02,argentina,2012080212,Group A,L
0,Facu Campazzo,40.0,4,9,2,6,2,2,2,9,7,1,1,2,3,12,argentina,2012-08-02,tunisia,2012080212,Group A,L
1,Luis Scola,36.0,8,14,0,1,4,8,4,10,5,1,0,2,3,20,argentina,2012-08-02,tunisia,2012080212,Group A,L
2,Carlos Delfino,32.0,10,15,1,5,0,0,1,4,2,1,0,2,2,21,argentina,2012-08-02,tunisia,2012080212,Group A,L
3,Manu Ginobili,25.0,9,12,4,4,2,2,1,6,3,2,0,0,0,24,argentina,2012-08-02,tunisia,2012080212,Group A,L
4,Andres Nocioni,20.0,0,6,0,3,3,5,0,1,3,0,0,2,3,3,argentina,2012-08-02,tunisia,2012080212,Group A,L
5,Marcos Mata,16.0,2,4,1,1,0,0,0,1,2,1,2,0,1,5,argentina,2012-08-02,tunisia,2012080212,Group A,L
6,Leo Gutierrez,14.0,1,4,1,4,0,0,0,1,1,0,0,0,0,3,argentina,2012-08-02,tunisia,2012080212,Group A,L
7,Juan Gutierrez,10.0,1,4,0,0,0,0,1,4,0,0,1,0,1,2,argentina,2012-08-02,tunisia,2012080212,Group A,L
8,Hernan Jasen,8.0,1,3,0,1,0,0,0,1,0,0,0,0,1,2,argentina,2012-08-02,tunisia,2012080212,Group A,L
9,Totals,,36,71,9,25,11,17,9,37,23,6,4,8,14,92,argentina,2012-08-02,tunisia,2012080212,Group A,L
