,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Kevin Love,23.0,6,9,3,6,0,0,2,6,2,0,1,1,0,15,united states,2012-08-02,nigeria,2012080216,Group A,W
1,Chris Paul,22.0,3,5,1,3,0,0,0,2,7,2,0,1,1,7,united states,2012-08-02,nigeria,2012080216,Group A,W
2,Andre Iguodala,21.0,3,3,3,3,0,0,1,4,1,1,0,1,0,9,united states,2012-08-02,nigeria,2012080216,Group A,W
3,James Harden,20.0,3,8,1,5,0,0,0,2,4,1,0,1,0,7,united states,2012-08-02,nigeria,2012080216,Group A,W
4,Deron Williams,18.0,5,6,2,3,1,2,0,0,11,0,0,0,1,13,united states,2012-08-02,nigeria,2012080216,Group A,W
5,Kevin Durant,17.0,5,9,4,7,0,0,0,1,6,1,0,0,1,14,united states,2012-08-02,nigeria,2012080216,Group A,W
6,Anthony Davis,15.0,4,4,0,0,1,2,0,6,0,0,0,0,3,9,united states,2012-08-02,nigeria,2012080216,Group A,W
7,Carmelo Anthony,14.0,13,16,10,12,1,3,1,4,1,1,0,1,2,37,united states,2012-08-02,nigeria,2012080216,Group A,W
8,Russell Westbrook,14.0,7,8,3,4,4,5,0,0,2,3,0,1,0,21,united states,2012-08-02,nigeria,2012080216,Group A,W
9,Tyson Chandler,14.0,1,2,0,0,0,0,3,5,0,0,0,0,1,2,united states,2012-08-02,nigeria,2012080216,Group A,W
10,Kobe Bryant,11.0,6,8,2,2,2,2,2,3,2,2,0,0,2,16,united states,2012-08-02,nigeria,2012080216,Group A,W
11,LeBron James,11.0,3,5,0,1,0,0,0,2,5,1,0,1,1,6,united states,2012-08-02,nigeria,2012080216,Group A,W
12,Totals,,59,83,29,46,9,14,9,35,41,12,1,7,12,156,united states,2012-08-02,nigeria,2012080216,Group A,W
0,Ike Diogu,30.0,11,17,0,2,5,6,4,7,0,0,0,4,3,27,nigeria,2012-08-02,united states,2012080216,Group A,L
1,Al-Farouq Aminu,26.0,2,8,0,5,3,4,0,3,4,1,1,2,1,7,nigeria,2012-08-02,united states,2012080216,Group A,L
2,Tony Skinn,22.0,1,7,1,4,0,0,0,1,2,0,0,6,1,3,nigeria,2012-08-02,united states,2012080216,Group A,L
3,Alade Aminu,20.0,1,3,0,0,0,0,2,6,1,0,0,1,0,2,nigeria,2012-08-02,united states,2012080216,Group A,L
4,Champ Oguchi,20.0,4,11,2,7,1,2,1,3,0,1,0,1,3,11,nigeria,2012-08-02,united states,2012080216,Group A,L
5,Derrick Obasohan,20.0,2,5,2,5,2,2,1,4,2,0,0,4,2,8,nigeria,2012-08-02,united states,2012080216,Group A,L
6,Richard Oruche,18.0,3,7,1,4,0,0,0,0,2,0,0,5,0,7,nigeria,2012-08-02,united states,2012080216,Group A,L
7,Ejike Ugboaja,16.0,4,6,0,0,0,0,1,2,1,0,0,0,0,8,nigeria,2012-08-02,united states,2012080216,Group A,L
8,Koko Archibong,14.0,0,2,0,0,0,0,1,1,2,0,0,0,0,0,nigeria,2012-08-02,united states,2012080216,Group A,L
9,Olumide Oyedeji,9.0,0,2,0,0,0,0,1,2,1,0,0,1,1,0,nigeria,2012-08-02,united states,2012080216,Group A,L
10,Ekene Ibekwe,4.0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,nigeria,2012-08-02,united states,2012080216,Group A,L
11,Totals,,28,68,6,27,11,14,11,30,15,2,1,24,13,73,nigeria,2012-08-02,united states,2012080216,Group A,L
