,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Bojan Bogdanovic,36.0,8,15,3,8,4,5,0,3,2,0,1,4,4,23,croatia,2016-08-07,spain,201608075,Group B,W
1,Dario Saric,34.0,1,7,0,4,3,6,3,7,5,0,1,3,2,5,croatia,2016-08-07,spain,201608075,Group B,W
2,Roko Ukic,28.0,3,7,2,3,0,0,1,7,2,2,0,1,2,8,croatia,2016-08-07,spain,201608075,Group B,W
3,Krunoslav Simon,24.0,3,10,0,5,4,4,0,5,4,1,0,0,4,10,croatia,2016-08-07,spain,201608075,Group B,W
4,Darko Planinic,23.0,1,2,0,0,9,10,3,6,0,0,1,2,3,11,croatia,2016-08-07,spain,201608075,Group B,W
5,Mario Hezonja,16.0,2,5,1,2,0,0,0,2,1,0,0,0,0,5,croatia,2016-08-07,spain,201608075,Group B,W
6,Miro Bilan,15.0,3,4,0,0,0,0,2,2,0,0,0,2,2,6,croatia,2016-08-07,spain,201608075,Group B,W
7,Luka Babic,14.0,2,5,0,1,0,0,1,7,1,0,0,0,2,4,croatia,2016-08-07,spain,201608075,Group B,W
8,Rok Stipcevic,6.0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,croatia,2016-08-07,spain,201608075,Group B,W
9,Zeljko Sakic,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,croatia,2016-08-07,spain,201608075,Group B,W
10,Totals,,23,56,6,24,20,25,10,41,16,3,3,12,20,72,croatia,2016-08-07,spain,201608075,Group B,W
0,Pau Gasol,32.0,11,17,3,4,1,2,1,9,1,0,0,0,4,26,spain,2016-08-07,croatia,201608075,Group B,L
1,Nikola Mirotic,31.0,7,14,4,8,1,2,2,6,3,1,0,1,1,19,spain,2016-08-07,croatia,201608075,Group B,L
2,Rudy Fernandez,29.0,0,3,0,3,0,0,1,5,1,2,0,1,2,0,spain,2016-08-07,croatia,201608075,Group B,L
3,Sergio Llull,28.0,2,6,1,4,4,4,0,2,3,0,0,1,3,9,spain,2016-08-07,croatia,201608075,Group B,L
4,Sergio Rodriguez,28.0,3,11,2,7,2,2,1,2,7,1,0,4,2,10,spain,2016-08-07,croatia,201608075,Group B,L
5,Felipe Reyes,14.0,2,4,1,1,0,0,1,1,0,1,0,1,3,5,spain,2016-08-07,croatia,201608075,Group B,L
6,Ricky Rubio,12.0,0,3,0,3,0,0,0,1,1,2,0,1,3,0,spain,2016-08-07,croatia,201608075,Group B,L
7,Juan Carlos Navarro,12.0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,spain,2016-08-07,croatia,201608075,Group B,L
8,Victor Claver,11.0,0,0,0,0,1,2,0,1,1,0,0,0,2,1,spain,2016-08-07,croatia,201608075,Group B,L
9,Willy Hernangomez,4.0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,spain,2016-08-07,croatia,201608075,Group B,L
10,Totals,,25,63,11,32,9,12,6,27,17,8,0,10,22,70,spain,2016-08-07,croatia,201608075,Group B,L
