,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Bogdan Bogdanovic,30.0,5,14,0,3,2,2,4,8,3,0,0,1,2,12,serbia,2016-08-08,australia,201608086,Group A,L
1,Miroslav Raduljica,29.0,7,13,0,0,11,13,1,1,3,1,0,1,4,25,serbia,2016-08-08,australia,201608086,Group A,L
2,Stefan Markovic,22.0,0,4,0,2,0,0,1,2,4,2,0,1,3,0,serbia,2016-08-08,australia,201608086,Group A,L
3,Milos Teodosic,22.0,5,14,3,8,4,5,0,1,3,0,0,3,2,17,serbia,2016-08-08,australia,201608086,Group A,L
4,Nemanja Nedovic,21.0,4,7,1,3,0,0,2,4,2,0,0,1,4,9,serbia,2016-08-08,australia,201608086,Group A,L
5,Nikola Jokic,18.0,3,6,0,1,1,2,1,3,2,1,0,0,1,7,serbia,2016-08-08,australia,201608086,Group A,L
6,Milan Macvan,17.0,1,4,0,2,2,2,0,2,3,0,0,0,0,4,serbia,2016-08-08,australia,201608086,Group A,L
7,Nikola Kalinic,16.0,0,2,0,2,0,0,1,4,0,1,0,1,0,0,serbia,2016-08-08,australia,201608086,Group A,L
8,Stefan Jovic,13.0,0,3,0,0,1,2,2,7,3,1,0,0,0,1,serbia,2016-08-08,australia,201608086,Group A,L
9,Stefan Bircevic,10.0,2,2,1,1,0,0,0,0,0,0,0,0,5,5,serbia,2016-08-08,australia,201608086,Group A,L
10,Vladimir Stimac,2.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,serbia,2016-08-08,australia,201608086,Group A,L
11,Totals,,27,69,5,22,21,26,12,34,23,6,0,8,21,80,serbia,2016-08-08,australia,201608086,Group A,L
0,Patty Mills,33.0,8,17,2,9,8,8,0,2,0,0,0,4,1,26,australia,2016-08-08,serbia,201608086,Group A,L
1,Joe Ingles,30.0,2,5,2,4,4,4,0,3,5,1,0,3,3,10,australia,2016-08-08,serbia,201608086,Group A,L
2,Matthew Dellavedova,29.0,7,8,3,4,6,7,0,0,13,2,0,0,4,23,australia,2016-08-08,serbia,201608086,Group A,L
3,Andrew Bogut,25.0,3,4,1,1,2,4,2,12,6,0,3,2,4,9,australia,2016-08-08,serbia,201608086,Group A,L
4,Aron Baynes,23.0,4,10,0,0,2,2,2,7,1,0,0,3,2,10,australia,2016-08-08,serbia,201608086,Group A,L
5,David Andersen,21.0,4,7,1,2,0,0,1,6,0,0,0,0,4,9,australia,2016-08-08,serbia,201608086,Group A,L
6,Kevin Lisch,18.0,0,3,0,2,2,2,1,1,0,1,0,1,3,2,australia,2016-08-08,serbia,201608086,Group A,L
7,Cameron Bairstow,12.0,1,3,0,0,0,2,2,3,0,0,0,0,2,2,australia,2016-08-08,serbia,201608086,Group A,L
8,Ryan Broekhoff,10.0,1,4,0,3,2,2,0,0,0,0,0,0,1,4,australia,2016-08-08,serbia,201608086,Group A,L
9,Totals,,30,61,9,25,26,31,8,34,25,4,3,13,24,95,australia,2016-08-08,serbia,201608086,Group A,L
