,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Luis Scola,36.0,8,15,3,5,4,9,2,9,0,1,1,4,3,23,argentina,2016-08-09,croatia,2016080910,Group B,W
1,Andres Nocioni,31.0,3,12,2,3,3,3,1,5,0,0,0,2,4,11,argentina,2016-08-09,croatia,2016080910,Group B,W
2,Facu Campazzo,29.0,4,13,1,9,1,2,1,4,8,2,0,5,3,10,argentina,2016-08-09,croatia,2016080910,Group B,W
3,Patricio Garino,25.0,2,5,1,3,0,0,1,4,1,0,0,1,2,5,argentina,2016-08-09,croatia,2016080910,Group B,W
4,Carlos Delfino,23.0,3,9,1,4,0,0,0,2,1,0,0,0,1,7,argentina,2016-08-09,croatia,2016080910,Group B,W
5,Manu Ginobili,19.0,2,5,1,4,8,9,0,1,2,1,0,0,4,13,argentina,2016-08-09,croatia,2016080910,Group B,W
6,Nicolas Laprovittola,17.0,5,6,3,4,0,0,1,3,4,0,0,2,2,13,argentina,2016-08-09,croatia,2016080910,Group B,W
7,Roberto Acuna,8.0,1,1,0,0,0,0,2,4,1,0,3,0,0,2,argentina,2016-08-09,croatia,2016080910,Group B,W
8,Gabriel Deck,8.0,2,3,0,0,0,1,2,2,0,1,0,0,1,4,argentina,2016-08-09,croatia,2016080910,Group B,W
9,Marcos Delia,4.0,1,1,0,0,0,0,0,1,0,0,0,0,1,2,argentina,2016-08-09,croatia,2016080910,Group B,W
10,Totals,,31,70,12,32,16,24,10,35,17,5,4,14,21,90,argentina,2016-08-09,croatia,2016080910,Group B,W
0,Dario Saric,35.0,7,16,0,4,5,8,2,10,7,0,0,1,4,19,croatia,2016-08-09,argentina,2016080910,Group B,L
1,Bojan Bogdanovic,29.0,5,13,1,6,7,11,0,7,2,0,1,3,3,18,croatia,2016-08-09,argentina,2016080910,Group B,L
2,Krunoslav Simon,27.0,3,12,2,9,0,0,2,5,6,2,0,4,3,8,croatia,2016-08-09,argentina,2016080910,Group B,L
3,Mario Hezonja,25.0,6,9,4,6,0,0,0,3,1,0,1,1,3,16,croatia,2016-08-09,argentina,2016080910,Group B,L
4,Luka Babic,23.0,3,5,2,3,0,0,0,2,5,2,1,1,2,8,croatia,2016-08-09,argentina,2016080910,Group B,L
5,Roko Ukic,21.0,1,5,0,2,0,0,1,3,3,0,0,0,3,2,croatia,2016-08-09,argentina,2016080910,Group B,L
6,Darko Planinic,18.0,3,4,0,0,1,2,4,7,0,0,0,0,0,7,croatia,2016-08-09,argentina,2016080910,Group B,L
7,Miro Bilan,12.0,2,4,0,0,0,0,1,3,0,1,0,2,4,4,croatia,2016-08-09,argentina,2016080910,Group B,L
8,Zeljko Sakic,5.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,croatia,2016-08-09,argentina,2016080910,Group B,L
9,Rok Stipcevic,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,croatia,2016-08-09,argentina,2016080910,Group B,L
10,Totals,,30,70,9,31,13,21,10,40,24,5,3,13,22,82,croatia,2016-08-09,argentina,2016080910,Group B,L
