,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Laurent Sciarra,33.0,4,12,3,9,6,7,0,7,3,2,0,1,2,17,france,2000-09-28,canada,2000092833,Quarter-Finals,W
1,Antoine Rigaudeau,33.0,6,15,3,8,0,0,2,3,4,1,0,2,2,15,france,2000-09-28,canada,2000092833,Quarter-Finals,W
2,Jim Bilba,33.0,4,8,1,1,0,0,0,3,3,0,0,0,2,9,france,2000-09-28,canada,2000092833,Quarter-Finals,W
3,Makan Dioumassi,30.0,3,7,0,2,0,2,0,3,2,0,0,0,4,6,france,2000-09-28,canada,2000092833,Quarter-Finals,W
4,Frederic Weis,19.0,2,4,0,0,0,0,0,2,0,0,0,1,2,4,france,2000-09-28,canada,2000092833,Quarter-Finals,W
5,Crawford Palmer,17.0,2,5,0,0,3,3,2,4,0,0,0,2,3,7,france,2000-09-28,canada,2000092833,Quarter-Finals,W
6,Stephane Risacher,11.0,2,6,0,1,0,0,1,1,0,0,0,1,0,4,france,2000-09-28,canada,2000092833,Quarter-Finals,W
7,Yann Bonato,10.0,2,3,0,1,2,3,0,3,0,0,0,1,1,6,france,2000-09-28,canada,2000092833,Quarter-Finals,W
8,Cyril Julian,10.0,0,4,0,0,0,0,4,5,2,0,4,1,2,0,france,2000-09-28,canada,2000092833,Quarter-Finals,W
9,Laurent Foirest,4.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,france,2000-09-28,canada,2000092833,Quarter-Finals,W
10,Totals,,25,64,7,22,11,15,9,34,14,3,4,9,18,68,france,2000-09-28,canada,2000092833,Quarter-Finals,W
0,Steve Nash,37.0,4,12,1,5,1,2,0,1,8,0,2,9,3,10,canada,2000-09-28,france,2000092833,Quarter-Finals,L
1,Rowan Barrett,36.0,4,12,0,1,0,0,3,8,2,1,0,2,3,8,canada,2000-09-28,france,2000092833,Quarter-Finals,L
2,Michael Meeks,32.0,4,7,1,3,3,3,0,5,0,1,0,2,2,12,canada,2000-09-28,france,2000092833,Quarter-Finals,L
3,Sherman Hamilton,27.0,2,4,0,2,0,2,0,1,1,0,0,0,2,4,canada,2000-09-28,france,2000092833,Quarter-Finals,L
4,Todd MacCulloch,24.0,9,11,0,0,5,9,3,9,0,0,0,0,1,23,canada,2000-09-28,france,2000092833,Quarter-Finals,L
5,Peter Guarasci,19.0,2,6,0,0,0,0,2,6,0,0,0,1,1,4,canada,2000-09-28,france,2000092833,Quarter-Finals,L
6,Greg Francis,7.0,0,1,0,1,2,2,0,0,1,0,0,0,0,2,canada,2000-09-28,france,2000092833,Quarter-Finals,L
7,Andrew Mavis,7.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,canada,2000-09-28,france,2000092833,Quarter-Finals,L
8,Greg Newton,6.0,0,2,0,0,0,0,0,2,1,0,0,1,2,0,canada,2000-09-28,france,2000092833,Quarter-Finals,L
9,David Daniels,3.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,canada,2000-09-28,france,2000092833,Quarter-Finals,L
10,Shawn Swords,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,canada,2000-09-28,france,2000092833,Quarter-Finals,L
11,Totals,,25,56,2,13,11,18,8,34,13,2,2,16,15,63,canada,2000-09-28,france,2000092833,Quarter-Finals,L
