,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Lazaros Papadopoulos,35.0,7,12,0,0,7,9,2,9,1,1,1,2,3,21,greece,2004-08-15,australia,200408152,Group B,W
1,Theodoros Papaloukas,31.0,5,7,1,3,0,2,3,5,4,4,0,0,1,11,greece,2004-08-15,australia,200408152,Group B,W
2,Nikos Hatzivrettas,27.0,5,10,0,5,3,4,0,2,0,0,0,0,3,13,greece,2004-08-15,australia,200408152,Group B,W
3,Dimos Dikoudis,25.0,4,8,1,2,3,7,1,4,0,0,0,0,3,12,greece,2004-08-15,australia,200408152,Group B,W
4,Michalis Kakiouzis,22.0,2,4,0,0,0,0,0,3,0,0,0,0,1,4,greece,2004-08-15,australia,200408152,Group B,W
5,Antonis Fotsis,16.0,4,6,1,2,0,0,0,2,1,1,1,1,3,9,greece,2004-08-15,australia,200408152,Group B,W
6,Fragiskos Alvertis,11.0,0,2,0,1,3,3,1,2,0,0,0,2,2,3,greece,2004-08-15,australia,200408152,Group B,W
7,Nikos Zisis,11.0,1,1,1,1,0,0,0,0,0,1,0,1,1,3,greece,2004-08-15,australia,200408152,Group B,W
8,Dimitris Diamantidis,9.0,0,1,0,0,0,0,0,2,3,2,0,1,2,0,greece,2004-08-15,australia,200408152,Group B,W
9,Kostas Tsartsaris,7.0,0,1,0,0,0,0,2,3,0,0,0,2,3,0,greece,2004-08-15,australia,200408152,Group B,W
10,Vassilis Spanoulis,6.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,greece,2004-08-15,australia,200408152,Group B,W
11,Totals,,28,54,4,14,16,25,9,32,9,9,2,9,22,76,greece,2004-08-15,australia,200408152,Group B,W
0,Shane Heal,32.0,4,9,2,5,2,2,0,1,1,0,0,4,4,12,australia,2004-08-15,greece,200408152,Group B,L
1,Brett Maher,28.0,4,6,1,3,3,3,0,1,0,3,0,0,0,12,australia,2004-08-15,greece,200408152,Group B,L
2,Andrew Bogut,27.0,3,10,0,1,5,6,2,5,0,0,0,1,4,11,australia,2004-08-15,greece,200408152,Group B,L
3,Matt Nielsen,24.0,3,10,0,1,1,1,1,6,0,1,0,6,5,7,australia,2004-08-15,greece,200408152,Group B,L
4,Jason Smith,24.0,0,2,0,2,0,0,0,4,0,0,0,1,3,0,australia,2004-08-15,greece,200408152,Group B,L
5,David Andersen,23.0,2,5,0,0,1,2,2,4,1,0,1,2,3,5,australia,2004-08-15,greece,200408152,Group B,L
6,C.J. Bruton,19.0,1,2,1,1,0,0,0,0,0,0,0,0,3,3,australia,2004-08-15,greece,200408152,Group B,L
7,Glen Saville,13.0,0,2,0,0,2,2,0,1,0,0,0,1,1,2,australia,2004-08-15,greece,200408152,Group B,L
8,Martin Cattalini,4.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,australia,2004-08-15,greece,200408152,Group B,L
9,Tony Ronaldson,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,australia,2004-08-15,greece,200408152,Group B,L
10,Paul Rogers,2.0,1,1,0,0,0,0,0,1,0,0,0,0,2,2,australia,2004-08-15,greece,200408152,Group B,L
11,Totals,,18,47,4,13,14,16,5,25,2,4,1,15,26,54,australia,2004-08-15,greece,200408152,Group B,L
