,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Tim Duncan,36.0,4.0,11.0,0.0,1.0,7.0,9.0,11.0,16,4,5,2,7,3.0,15,united states,2004-08-15,puerto-rico,200408155,Group B,L
1,Allen Iverson,31.0,5.0,14.0,1.0,10.0,4.0,6.0,1.0,4,3,1,0,3,4.0,15,united states,2004-08-15,puerto-rico,200408155,Group B,L
2,Richard Jefferson,26.0,3.0,16.0,0.0,6.0,2.0,5.0,3.0,5,1,0,0,4,3.0,8,united states,2004-08-15,puerto-rico,200408155,Group B,L
3,Stephon Marbury,25.0,1.0,5.0,0.0,2.0,0.0,0.0,1.0,1,1,0,0,0,3.0,2,united states,2004-08-15,puerto-rico,200408155,Group B,L
4,Dwyane Wade,21.0,4.0,9.0,0.0,0.0,2.0,4.0,1.0,3,1,3,1,1,4.0,10,united states,2004-08-15,puerto-rico,200408155,Group B,L
5,Lamar Odom,16.0,6.0,7.0,1.0,1.0,0.0,1.0,3.0,5,0,0,0,3,5.0,13,united states,2004-08-15,puerto-rico,200408155,Group B,L
6,Shawn Marion,16.0,2.0,8.0,0.0,1.0,0.0,0.0,3.0,6,0,1,0,1,2.0,4,united states,2004-08-15,puerto-rico,200408155,Group B,L
7,LeBron James,13.0,1.0,3.0,1.0,3.0,2.0,2.0,0.0,1,1,1,0,1,2.0,5,united states,2004-08-15,puerto-rico,200408155,Group B,L
8,Carlos Boozer,11.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,4,0,1,0,1,1.0,1,united states,2004-08-15,puerto-rico,200408155,Group B,L
9,Carmelo Anthony,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,1,1.0,0,united states,2004-08-15,puerto-rico,200408155,Group B,L
10,Amare Stoudemire,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,united states,2004-08-15,puerto-rico,200408155,Group B,L
11,Totals,,26.0,76.0,3.0,24.0,18.0,29.0,25.0,46,11,12,3,22,28.0,73,united states,2004-08-15,puerto-rico,200408155,Group B,L
0,Larry Ayuso,35.0,2.0,8.0,2.0,7.0,9.0,10.0,0.0,3,1,1,0,0,1.0,15,puerto-rico,2004-08-15,united states,200408155,Group B,L
1,Carlos Arroyo,33.0,9.0,16.0,1.0,4.0,5.0,8.0,0.0,4,7,4,0,2,2.0,24,puerto-rico,2004-08-15,united states,200408155,Group B,L
2,Rolando Hourruitiner,31.0,4.0,5.0,1.0,1.0,0.0,2.0,0.0,5,1,1,0,1,4.0,9,puerto-rico,2004-08-15,united states,200408155,Group B,L
3,Piculin Ortiz,26.0,4.0,7.0,0.0,0.0,0.0,0.0,2.0,6,0,0,0,3,4.0,8,puerto-rico,2004-08-15,united states,200408155,Group B,L
4,Daniel Santiago,25.0,3.0,7.0,0.0,0.0,1.0,2.0,1.0,3,0,0,0,2,5.0,7,puerto-rico,2004-08-15,united states,200408155,Group B,L
5,Sharif Fajardo,20.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,3,0,0,0,3,5.0,4,puerto-rico,2004-08-15,united states,200408155,Group B,L
6,Eddie Casiano,14.0,6.0,7.0,4.0,4.0,2.0,4.0,0.0,0,1,0,0,4,1.0,18,puerto-rico,2004-08-15,united states,200408155,Group B,L
7,Peter John Ramos,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0,0,2.0,2,puerto-rico,2004-08-15,united states,200408155,Group B,L
8,Bobby Joe Hatton,7.0,1.0,2.0,0.0,0.0,3.0,5.0,0.0,1,1,0,0,3,1.0,5,puerto-rico,2004-08-15,united states,200408155,Group B,L
9,Rick Apodaca,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,puerto-rico,2004-08-15,united states,200408155,Group B,L
10,Jorge Rivera,,,,,,,,,0,0,0,0,0,,0,puerto-rico,2004-08-15,united states,200408155,Group B,L
11,Totals,,,,,,,,,27,11,7,0,18,,92,puerto-rico,2004-08-15,united states,200408155,Group B,L
