,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Jose Calderon,34.0,6,9,2,2,3,6,0,1,5,2,1,2,0,17,spain,2004-08-17,argentina,200408177,Group A,W
1,Pau Gasol,31.0,9,13,0,2,8,10,3,8,1,2,5,4,3,26,spain,2004-08-17,argentina,200408177,Group A,W
2,Jorge Garbajosa,29.0,3,5,2,4,4,4,0,3,1,2,0,1,2,12,spain,2004-08-17,argentina,200408177,Group A,W
3,Rodrigo De La Fuente,24.0,4,5,2,2,0,0,0,1,0,1,0,1,4,10,spain,2004-08-17,argentina,200408177,Group A,W
4,Carlos Jimenez,24.0,1,3,0,1,0,2,1,2,1,1,0,0,1,2,spain,2004-08-17,argentina,200408177,Group A,W
5,Juan Carlos Navarro,20.0,0,6,0,2,4,4,0,0,1,0,0,2,2,4,spain,2004-08-17,argentina,200408177,Group A,W
6,Felipe Reyes,16.0,1,5,0,0,3,6,3,7,1,0,0,4,2,5,spain,2004-08-17,argentina,200408177,Group A,W
7,Iker Iturbe,11.0,2,3,1,2,6,6,0,1,1,0,0,1,3,11,spain,2004-08-17,argentina,200408177,Group A,W
8,Jaume Comas,5.0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,spain,2004-08-17,argentina,200408177,Group A,W
9,Roberto Duenas,5.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,spain,2004-08-17,argentina,200408177,Group A,W
10,Rudy Fernandez,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spain,2004-08-17,argentina,200408177,Group A,W
11,Totals,,26,50,7,15,28,38,7,24,11,8,6,17,20,87,spain,2004-08-17,argentina,200408177,Group A,W
0,Luis Scola,30.0,12,18,0,0,4,4,8,9,2,1,1,3,5,28,argentina,2004-08-17,spain,200408177,Group A,L
1,Manu Ginobili,30.0,6,12,1,7,4,7,3,4,4,4,0,2,3,17,argentina,2004-08-17,spain,200408177,Group A,L
2,Alejandro Montecchia,26.0,2,9,2,7,1,2,2,4,4,1,0,2,4,7,argentina,2004-08-17,spain,200408177,Group A,L
3,Andres Nocioni,23.0,2,7,1,2,3,4,0,1,1,0,1,3,3,8,argentina,2004-08-17,spain,200408177,Group A,L
4,Fabricio Oberto,19.0,5,10,0,0,0,0,1,3,0,3,0,4,5,10,argentina,2004-08-17,spain,200408177,Group A,L
5,Hugo Sconochini,19.0,0,6,0,3,0,0,1,2,4,0,0,1,1,0,argentina,2004-08-17,spain,200408177,Group A,L
6,Pepe Sanchez,14.0,0,1,0,0,0,0,0,1,2,0,1,0,1,0,argentina,2004-08-17,spain,200408177,Group A,L
7,Ruben Wolkowyski,13.0,1,2,0,0,0,0,0,1,0,0,0,1,3,2,argentina,2004-08-17,spain,200408177,Group A,L
8,Gabriel Fernandez,12.0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,argentina,2004-08-17,spain,200408177,Group A,L
9,Carlos Delfino,11.0,2,4,0,0,0,0,0,1,0,1,0,1,1,4,argentina,2004-08-17,spain,200408177,Group A,L
10,Leo Gutierrez,3.0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,argentina,2004-08-17,spain,200408177,Group A,L
11,Totals,,30,70,4,20,12,17,15,29,17,10,3,19,30,76,argentina,2004-08-17,spain,200408177,Group A,L
