,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Giacomo Galanda,32.0,7,10,6,8,2,2,1,3,0,1,1,0,1,22,italy,2004-08-21,china,2004082121,Group A,W
1,Gianluca Basile,28.0,2,8,2,7,2,2,0,3,3,1,1,1,2,8,italy,2004-08-21,china,2004082121,Group A,W
2,Gianmarco Pozzecco,25.0,4,10,1,4,1,1,0,4,12,3,0,3,3,10,italy,2004-08-21,china,2004082121,Group A,W
3,Matteo Soragna,25.0,3,4,1,2,0,0,1,5,2,2,1,1,0,7,italy,2004-08-21,china,2004082121,Group A,W
4,Denis Marconato,18.0,2,5,0,0,0,0,0,4,1,0,2,1,3,4,italy,2004-08-21,china,2004082121,Group A,W
5,Luca Garri,14.0,2,4,1,2,0,0,0,4,0,0,2,1,3,5,italy,2004-08-21,china,2004082121,Group A,W
6,Massimo Bulleri,14.0,1,4,1,2,0,0,0,0,3,0,0,1,1,3,italy,2004-08-21,china,2004082121,Group A,W
7,Roberto Chiacig,13.0,7,9,0,0,0,2,1,2,0,1,0,0,3,14,italy,2004-08-21,china,2004082121,Group A,W
8,Michele Mian,9.0,4,4,1,1,1,1,0,1,3,2,0,0,0,10,italy,2004-08-21,china,2004082121,Group A,W
9,Alex Righetti,8.0,1,2,0,1,0,0,0,1,1,0,0,0,2,2,italy,2004-08-21,china,2004082121,Group A,W
10,Nikola Radulovic,7.0,2,4,0,2,0,0,1,3,0,0,0,1,3,4,italy,2004-08-21,china,2004082121,Group A,W
11,Rodolfo Rombaldoni,6.0,0,2,0,2,0,0,0,1,1,0,0,0,1,0,italy,2004-08-21,china,2004082121,Group A,W
12,Totals,,35,66,13,31,6,8,4,31,26,10,7,9,22,89,italy,2004-08-21,china,2004082121,Group A,W
0,Yao Ming,28.0,3,12,0,0,3,3,3,6,2,0,0,4,2,9,china,2004-08-21,italy,2004082121,Group A,L
1,Zhu Fangyu,25.0,2,4,2,3,1,2,2,5,0,0,0,3,2,7,china,2004-08-21,italy,2004082121,Group A,L
2,Li Nan,23.0,3,7,2,2,1,2,1,4,0,1,0,2,0,9,china,2004-08-21,italy,2004082121,Group A,L
3,Yi Jianlian,21.0,0,2,0,0,3,6,2,7,0,0,1,1,3,3,china,2004-08-21,italy,2004082121,Group A,L
4,Guo Shiqiang,19.0,2,4,2,3,1,1,0,1,1,0,0,2,2,7,china,2004-08-21,italy,2004082121,Group A,L
5,Mo Ke,19.0,1,4,0,1,2,2,1,3,0,0,0,2,2,4,china,2004-08-21,italy,2004082121,Group A,L
6,Wei Liu,16.0,1,8,0,1,5,6,0,0,0,0,0,1,3,7,china,2004-08-21,italy,2004082121,Group A,L
7,Zhang Jinsong,13.0,0,2,0,1,1,2,0,0,0,0,0,1,2,1,china,2004-08-21,italy,2004082121,Group A,L
8,Bateer Mengke,12.0,0,2,0,0,1,2,1,4,0,0,0,0,1,1,china,2004-08-21,italy,2004082121,Group A,L
9,Du Feng,12.0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,china,2004-08-21,italy,2004082121,Group A,L
10,Chen Ke,7.0,1,2,0,0,0,0,0,1,1,0,0,1,0,2,china,2004-08-21,italy,2004082121,Group A,L
11,Zhang Yunsong,4.0,1,4,0,1,0,0,0,1,1,0,0,2,1,2,china,2004-08-21,italy,2004082121,Group A,L
12,Totals,,14,53,6,13,18,26,10,32,5,1,1,21,18,52,china,2004-08-21,italy,2004082121,Group A,L
