,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Kirk Penney,32.0,4,12,3,10,2,4,1,3,0,1,0,1,2,13,new zealand,2004-08-21,argentina,2004082119,Group A,L
1,Mark Dickel,32.0,4,6,0,1,3,3,0,1,7,0,0,2,2,11,new zealand,2004-08-21,argentina,2004082119,Group A,L
2,Pero Cameron,30.0,7,13,6,10,1,2,1,3,1,0,1,3,4,21,new zealand,2004-08-21,argentina,2004082119,Group A,L
3,Phill Jones,26.0,8,14,4,6,5,6,0,3,1,0,0,0,4,25,new zealand,2004-08-21,argentina,2004082119,Group A,L
4,Sean Marks,23.0,2,3,0,0,2,4,1,5,0,0,0,2,5,6,new zealand,2004-08-21,argentina,2004082119,Group A,L
5,Ed Book,22.0,4,7,1,2,2,3,3,6,0,0,1,1,5,11,new zealand,2004-08-21,argentina,2004082119,Group A,L
6,Dillon Boucher,17.0,2,3,0,0,1,2,1,1,1,2,0,0,3,5,new zealand,2004-08-21,argentina,2004082119,Group A,L
7,Paul Henare,8.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,new zealand,2004-08-21,argentina,2004082119,Group A,L
8,Aaron Olson,5.0,0,1,0,1,2,2,0,0,0,0,0,1,2,2,new zealand,2004-08-21,argentina,2004082119,Group A,L
9,Tony Rampton,5.0,0,2,0,0,0,0,1,2,1,0,0,1,3,0,new zealand,2004-08-21,argentina,2004082119,Group A,L
10,Totals,,31,62,14,30,18,26,8,24,11,3,2,12,30,94,new zealand,2004-08-21,argentina,2004082119,Group A,L
0,Manu Ginobili,31.0,7,13,2,3,3,4,1,2,3,0,1,1,4,19,argentina,2004-08-21,new zealand,2004082119,Group A,L
1,Fabricio Oberto,24.0,6,7,0,0,2,4,1,9,5,0,0,0,3,14,argentina,2004-08-21,new zealand,2004082119,Group A,L
2,Pepe Sanchez,24.0,2,3,1,1,3,3,0,1,3,1,0,1,3,8,argentina,2004-08-21,new zealand,2004082119,Group A,L
3,Andres Nocioni,22.0,3,6,2,4,2,2,0,0,0,0,0,2,4,10,argentina,2004-08-21,new zealand,2004082119,Group A,L
4,Luis Scola,21.0,9,10,0,0,7,12,2,2,1,0,0,0,4,25,argentina,2004-08-21,new zealand,2004082119,Group A,L
5,Gabriel Fernandez,19.0,4,8,1,5,2,4,1,1,2,1,1,1,0,11,argentina,2004-08-21,new zealand,2004082119,Group A,L
6,Ruben Wolkowyski,17.0,2,5,0,1,0,0,1,5,0,0,0,1,1,4,argentina,2004-08-21,new zealand,2004082119,Group A,L
7,Alejandro Montecchia,16.0,0,1,0,1,0,0,0,0,5,1,0,2,3,0,argentina,2004-08-21,new zealand,2004082119,Group A,L
8,Hugo Sconochini,14.0,2,3,0,0,0,2,0,3,1,1,0,2,3,4,argentina,2004-08-21,new zealand,2004082119,Group A,L
9,Walter Herrmann,8.0,1,1,0,0,1,2,2,3,0,0,0,0,1,3,argentina,2004-08-21,new zealand,2004082119,Group A,L
10,Carlos Delfino,5.0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,argentina,2004-08-21,new zealand,2004082119,Group A,L
11,Totals,,36,60,6,16,20,33,8,26,20,4,2,11,26,98,argentina,2004-08-21,new zealand,2004082119,Group A,L
