,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Allen Iverson,31.0,3,12,1,2,3,3,1,3,3,2,0,1,0,10,united states,2004-08-27,argentina,2004082736,Semi-Finals,L
1,Stephon Marbury,28.0,8,15,0,3,2,3,0,1,1,1,1,3,3,18,united states,2004-08-27,argentina,2004082736,Semi-Finals,L
2,Shawn Marion,27.0,4,10,1,2,0,0,2,5,1,3,0,0,2,9,united states,2004-08-27,argentina,2004082736,Semi-Finals,L
3,Lamar Odom,26.0,6,12,0,0,2,6,5,8,3,2,0,1,4,14,united states,2004-08-27,argentina,2004082736,Semi-Finals,L
4,Carlos Boozer,25.0,3,6,0,0,2,2,3,9,1,3,0,2,2,8,united states,2004-08-27,argentina,2004082736,Semi-Finals,L
5,Tim Duncan,20.0,4,8,0,0,2,2,3,6,0,0,1,3,5,10,united states,2004-08-27,argentina,2004082736,Semi-Finals,L
6,Richard Jefferson,19.0,2,5,0,2,3,4,2,2,0,0,1,0,1,7,united states,2004-08-27,argentina,2004082736,Semi-Finals,L
7,Dwyane Wade,19.0,1,8,0,1,0,0,1,2,2,2,0,3,4,2,united states,2004-08-27,argentina,2004082736,Semi-Finals,L
8,LeBron James,3.0,1,1,1,1,0,0,0,1,0,0,0,1,0,3,united states,2004-08-27,argentina,2004082736,Semi-Finals,L
9,Amare Stoudemire,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,united states,2004-08-27,argentina,2004082736,Semi-Finals,L
10,Totals,,32,77,3,11,14,20,17,37,11,13,3,14,21,81,united states,2004-08-27,argentina,2004082736,Semi-Finals,L
0,Manu Ginobili,32.0,9,13,4,6,7,8,0,3,3,1,0,4,3,29,argentina,2004-08-27,united states,2004082736,Semi-Finals,L
1,Andres Nocioni,28.0,5,8,1,3,2,2,0,5,1,1,1,1,2,13,argentina,2004-08-27,united states,2004082736,Semi-Finals,L
2,Luis Scola,26.0,5,12,0,1,0,1,1,4,0,2,2,5,3,10,argentina,2004-08-27,united states,2004082736,Semi-Finals,L
3,Ruben Wolkowyski,22.0,1,2,1,2,0,0,0,4,0,1,0,0,2,3,argentina,2004-08-27,united states,2004082736,Semi-Finals,L
4,Pepe Sanchez,21.0,1,3,1,2,1,2,1,2,7,0,0,2,3,4,argentina,2004-08-27,united states,2004082736,Semi-Finals,L
5,Alejandro Montecchia,20.0,4,7,3,6,1,2,0,1,2,2,0,2,5,12,argentina,2004-08-27,united states,2004082736,Semi-Finals,L
6,Fabricio Oberto,18.0,3,4,0,0,0,2,2,6,4,0,1,3,4,6,argentina,2004-08-27,united states,2004082736,Semi-Finals,L
7,Walter Herrmann,14.0,4,8,1,1,2,2,2,4,0,1,0,2,0,11,argentina,2004-08-27,united states,2004082736,Semi-Finals,L
8,Gabriel Fernandez,11.0,0,0,0,0,1,2,0,3,0,0,0,0,2,1,argentina,2004-08-27,united states,2004082736,Semi-Finals,L
9,Hugo Sconochini,6.0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,argentina,2004-08-27,united states,2004082736,Semi-Finals,L
10,Carlos Delfino,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,argentina,2004-08-27,united states,2004082736,Semi-Finals,L
11,Totals,,32,59,11,22,14,21,6,32,18,9,4,20,24,89,argentina,2004-08-27,united states,2004082736,Semi-Finals,L
