,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Roko Ukic,30.0,4,10,1,3,0,0,0,1,4,1,0,4,1,9,croatia,2008-08-10,australia,200808102,Group A,W
1,Marko Banic,26.0,7,8,0,0,2,2,1,2,2,0,0,0,2,16,croatia,2008-08-10,australia,200808102,Group A,W
2,Marko Popovic,24.0,2,3,1,2,1,2,0,0,5,0,0,1,2,6,croatia,2008-08-10,australia,200808102,Group A,W
3,Marko Tomas,23.0,4,6,4,4,0,2,1,4,1,1,0,3,2,12,croatia,2008-08-10,australia,200808102,Group A,W
4,Kresimir Loncar,22.0,4,9,1,1,1,2,3,10,2,0,0,1,3,10,croatia,2008-08-10,australia,200808102,Group A,W
5,Davor Kus,20.0,2,3,2,3,1,2,0,0,2,1,0,4,4,7,croatia,2008-08-10,australia,200808102,Group A,W
6,Zoran Planinic,16.0,5,6,2,2,0,0,0,2,2,1,0,1,1,12,croatia,2008-08-10,australia,200808102,Group A,W
7,Nikola Prkacin,11.0,5,5,0,0,6,7,1,1,0,0,0,0,2,16,croatia,2008-08-10,australia,200808102,Group A,W
8,Sandro Nicevic,10.0,0,1,0,0,2,2,0,3,1,0,1,1,2,2,croatia,2008-08-10,australia,200808102,Group A,W
9,Marin Rozic,8.0,1,1,1,1,0,0,0,2,0,0,0,1,2,3,croatia,2008-08-10,australia,200808102,Group A,W
10,Stanko Barac,6.0,2,2,0,0,0,0,0,2,0,0,0,1,2,4,croatia,2008-08-10,australia,200808102,Group A,W
11,Damjan Rudez,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,croatia,2008-08-10,australia,200808102,Group A,W
12,Totals,,36,54,12,16,13,19,6,27,19,4,1,17,23,97,croatia,2008-08-10,australia,200808102,Group A,W
0,Brad Newley,27.0,2,4,1,2,1,2,0,2,0,1,0,1,3,6,australia,2008-08-10,croatia,200808102,Group A,L
1,David Barlow,25.0,5,12,2,5,0,0,1,2,3,0,0,0,4,12,australia,2008-08-10,croatia,200808102,Group A,L
2,C.J. Bruton,24.0,2,5,1,2,0,0,1,2,2,2,0,1,1,5,australia,2008-08-10,croatia,200808102,Group A,L
3,Matt Nielsen,22.0,5,10,1,2,2,7,3,5,1,1,1,2,3,13,australia,2008-08-10,croatia,200808102,Group A,L
4,Andrew Bogut,21.0,3,3,0,0,4,6,1,1,2,0,0,4,4,10,australia,2008-08-10,croatia,200808102,Group A,L
5,Patty Mills,19.0,3,6,1,1,2,2,0,1,0,2,0,1,1,9,australia,2008-08-10,croatia,200808102,Group A,L
6,Chris Anstey,19.0,3,5,0,2,0,0,2,7,0,0,0,0,1,6,australia,2008-08-10,croatia,200808102,Group A,L
7,David Andersen,13.0,2,3,0,1,0,0,0,1,1,0,0,2,2,4,australia,2008-08-10,croatia,200808102,Group A,L
8,Mark Worthington,11.0,1,3,0,1,2,2,0,0,0,2,0,2,0,4,australia,2008-08-10,croatia,200808102,Group A,L
9,Glen Saville,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,australia,2008-08-10,croatia,200808102,Group A,L
10,Shawn Redhage,6.0,2,5,0,2,2,2,1,1,1,1,0,0,0,6,australia,2008-08-10,croatia,200808102,Group A,L
11,Joe Ingles,4.0,2,3,0,1,3,3,0,0,0,1,0,0,1,7,australia,2008-08-10,croatia,200808102,Group A,L
12,Totals,,30,59,6,19,16,24,9,22,10,10,1,13,20,82,australia,2008-08-10,croatia,200808102,Group A,L
