,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Vassilis Spanoulis,30.0,9,13,4,6,1,1,2,3,5,0,0,2,1,23,greece,2008-08-12,germany,2008081210,Group B,W
1,Dimitris Diamantidis,27.0,3,7,1,3,5,5,0,2,2,2,0,0,4,12,greece,2008-08-12,germany,2008081210,Group B,W
2,Theodoros Papaloukas,24.0,4,8,1,3,6,6,0,5,2,0,1,3,0,15,greece,2008-08-12,germany,2008081210,Group B,W
3,Kostas Tsartsaris,22.0,0,0,0,0,0,0,2,6,2,0,2,0,0,0,greece,2008-08-12,germany,2008081210,Group B,W
4,Panagiotis Vasilopoulos,20.0,3,4,1,2,0,0,0,1,1,2,0,0,2,7,greece,2008-08-12,germany,2008081210,Group B,W
5,Ioannis Bourousis,19.0,2,3,0,0,1,2,2,8,2,3,0,0,3,5,greece,2008-08-12,germany,2008081210,Group B,W
6,Nikos Zisis,17.0,1,5,0,1,0,0,0,1,0,0,0,0,1,2,greece,2008-08-12,germany,2008081210,Group B,W
7,Antonis Fotsis,16.0,3,4,1,2,2,2,1,4,0,0,0,2,3,9,greece,2008-08-12,germany,2008081210,Group B,W
8,Andreas Glyniadakis,10.0,3,4,0,0,2,2,1,2,1,2,1,2,3,8,greece,2008-08-12,germany,2008081210,Group B,W
9,Giorgos Printezis,9.0,3,5,0,1,0,0,0,1,0,0,0,3,1,6,greece,2008-08-12,germany,2008081210,Group B,W
10,Michalis Pelekanos,5.0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,greece,2008-08-12,germany,2008081210,Group B,W
11,Sofoklis Schortsanitis,2.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,greece,2008-08-12,germany,2008081210,Group B,W
12,Totals,,31,54,8,19,17,20,8,33,15,10,4,13,19,87,greece,2008-08-12,germany,2008081210,Group B,W
0,Dirk Nowitzki,25.0,3,8,2,4,5,6,1,6,1,1,0,1,4,13,germany,2008-08-12,greece,2008081210,Group B,L
1,Pascal Roller,25.0,2,6,2,5,0,0,1,3,0,1,0,2,0,6,germany,2008-08-12,greece,2008081210,Group B,L
2,Robert Garrett,22.0,0,4,0,2,0,0,0,2,1,1,0,0,2,0,germany,2008-08-12,greece,2008081210,Group B,L
3,Demond Greene,21.0,3,7,3,7,2,3,0,0,2,0,0,0,2,11,germany,2008-08-12,greece,2008081210,Group B,L
4,Patrick Femerling,19.0,2,3,0,0,3,5,2,3,0,0,1,2,3,7,germany,2008-08-12,greece,2008081210,Group B,L
5,Sven Schultze,18.0,4,7,3,5,0,0,0,4,0,1,0,0,4,11,germany,2008-08-12,greece,2008081210,Group B,L
6,Konrad Wysocki,17.0,2,4,2,3,1,2,0,2,1,0,0,1,2,7,germany,2008-08-12,greece,2008081210,Group B,L
7,Chris Kaman,17.0,1,3,0,0,2,2,2,2,1,0,1,5,1,4,germany,2008-08-12,greece,2008081210,Group B,L
8,Steffen Hamann,15.0,0,1,0,0,0,0,0,0,1,0,1,2,3,0,germany,2008-08-12,greece,2008081210,Group B,L
9,Jan Jagla,14.0,2,10,0,3,0,0,3,3,0,2,0,0,1,4,germany,2008-08-12,greece,2008081210,Group B,L
10,Tim Ohlbrecht,8.0,0,0,0,0,1,2,0,1,0,0,1,1,1,1,germany,2008-08-12,greece,2008081210,Group B,L
11,Totals,,19,53,12,29,14,20,9,26,7,6,4,14,23,64,germany,2008-08-12,greece,2008081210,Group B,L
